# File Name: Plate 1 noQuench.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-08 01:14:55 PM UTC
# Run End Date/Time: 2021-03-08 02:16:07 PM UTC
# Run Duration: 61 minutes 11 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:01:55 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:03:59 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","129009.65","26240.791","120293.18"
"2","A2","1","131383.88","26148.05","126957.31"
"3","A3","1","117721.59","24950.348","118810.7"
"4","A4","1","136973.73","27066.926","121869.44"
"5","A5","1","115434.42","24200.424","115697.3"
"6","A6","1","105173.38","23063.332","111946.03"
"7","A7","1","53169.04","26595.18","167857.92"
"8","A8","1","44995.027","27424.092","177379.47"
"9","A9","1","34598.28","22794.383","148901.0"
"10","A10","1","13999.61","20210.162","148832.58"
"11","A11","1","17316.336","23473.365","181972.7"
"12","A12","1","20727.809","25009.492","192267.77"
"13","B1","1","160907.78","32080.156","143915.58"
"14","B2","1","157826.7","30441.363","134236.78"
"15","B3","1","167024.62","30136.611","129087.39"
"16","B4","1","142015.88","27215.521","125592.5"
"17","B5","1","139540.7","26144.936","123640.51"
"18","B6","1","146160.72","27836.648","131767.47"
"19","B7","1","110035.87","27972.336","143614.5"
"20","B8","1","107844.83","26069.408","140000.78"
"21","B9","1","110778.97","26981.572","141053.72"
"22","B10","1","170595.19","25945.848","93763.38"
"23","B11","1","181423.95","26504.758","89439.35"
"24","B12","1","151882.78","26918.607","97416.37"
"25","C1","1","143115.06","30506.42","140806.33"
"26","C2","1","152916.56","31720.96","138410.23"
"27","C3","1","158275.3","30763.395","139362.11"
"28","C4","1","156064.17","28925.57","131578.0"
"29","C5","1","138041.11","26002.537","120973.12"
"30","C6","1","159299.0","29535.332","140771.27"
"31","C7","1","87055.58","26870.492","147946.6"
"32","C8","1","82819.625","25324.564","140583.22"
"33","C9","1","83650.24","25898.586","141126.61"
"34","C10","1","196008.98","28973.602","105515.125"
"35","C11","1","130320.51","20139.44","77489.96"
"36","C12","1","140909.98","22783.55","83281.06"
"37","D1","1","150478.39","30941.541","136189.2"
"38","D2","1","145364.6","29231.25","131930.53"
"39","D3","1","145823.45","28720.57","128364.86"
"40","D4","1","162891.25","29880.828","137299.97"
"41","D5","1","161223.14","29217.998","136414.53"
"42","D6","1","121295.94","22533.793","107732.71"
"43","D7","1","85704.414","27634.473","151771.27"
"44","D8","1","85444.06","25549.156","145596.92"
"45","D9","1","79208.984","23606.781","132382.1"
"46","D10","1","150367.05","24527.586","101692.91"
"47","D11","1","130552.31","22931.182","92929.43"
"48","D12","1","121571.734","22408.838","87705.125"
"49","E1","1","163037.19","31170.61","140047.88"
"50","E2","1","157722.16","30288.56","136409.4"
"51","E3","1","108974.74","21777.768","102669.3"
