# File Name: Plate2_NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-09 11:21:00 AM UTC
# Run End Date/Time: 2021-03-09 12:21:49 PM UTC
# Run Duration: 60 minutes 48 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:06:53 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:07:34 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","180116.25","30601.16","112881.19"
"2","A2","1","193824.7","31807.387","120037.44"
"3","A3","1","169755.62","28481.814","112456.21"
"4","A4","1","195726.8","31216.266","117586.984"
"5","A5","1","178741.67","29148.914","115389.44"
"6","A6","1","181709.45","28435.459","121342.79"
"7","A7","1","151069.84","27946.076","128720.24"
"8","A8","1","156821.6","29625.252","133099.75"
"9","A9","1","133382.5","26112.682","118243.16"
"10","A10","1","133245.17","22862.09","90893.1"
"11","A11","1","167751.38","27800.639","109833.6"
"12","A12","1","192755.69","33926.664","123768.06"
"13","B1","1","69883.664","26910.479","164599.1"
"14","B2","1","73671.62","25812.67","155967.83"
"15","B3","1","60438.55","24419.72","145830.98"
"16","B4","1","96991.875","25623.576","137292.58"
"17","B5","1","101271.25","25690.611","142472.25"
"18","B6","1","95494.81","25633.73","138462.05"
"19","B7","1","103350.516","27094.455","142681.97"
"20","B8","1","90107.27","23556.89","132281.3"
"21","B9","1","101430.516","26093.062","142180.27"
"22","B10","1","119724.0","23997.375","109644.875"
"23","B11","1","116049.05","23028.02","106016.68"
"24","B12","1","115052.13","25473.71","115593.195"
