# File Name: Plate2_NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-09 11:21:00 AM UTC
# Run End Date/Time: 2021-03-09 12:21:49 PM UTC
# Run Duration: 60 minutes 48 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:06:53 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:07:34 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","10_7","Standard Curve","STANDARD","FAM","None","Amp","1.4787956676513074","","","19.473872037601744","0.7017359796979643","19.552114254435594","0.0698255131909004","true","0.07456161433742176","true","3","16"
"2","A2","false","10_7","Standard Curve","STANDARD","FAM","None","Amp","1.484848043614287","","","19.574376569269944","0.7216092309459188","19.552114254435594","0.0698255131909004","true","0.07456161433742176","true","3","16"
"3","A3","false","10_7","Standard Curve","STANDARD","FAM","None","Amp","1.4871060968767291","","","19.608094156435094","0.7330651293208341","19.552114254435594","0.0698255131909004","true","0.07456161433742176","true","3","16"
"4","A4","false","AA_0804","Unknown","UNKNOWN","FAM","None","Amp","1.449013846019766","","","32.52446772853243","0.9829446776653243","32.63316805423298","0.1956350021300794","true","0.2114626201603826","true","3","26"
"5","A5","false","AA_0804","Unknown","UNKNOWN","FAM","None","Amp","1.4525601812070683","","","32.51602118080196","0.9807082899543574","32.63316805423298","0.1956350021300794","true","0.2114626201603826","true","3","27"
"6","A6","false","AA_0804","Unknown","UNKNOWN","FAM","None","Amp","1.45363899250706","","","32.85901525336456","0.9762505246958935","32.63316805423298","0.1956350021300794","true","0.2114626201603826","true","3","26"
"7","A7","false","AA_0740","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"8","A8","false","AA_0740","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"9","A9","false","AA_0740","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"10","A10","false","AA_0761","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"11","A11","false","AA_0761","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"12","A12","false","AA_0761","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"13","B1","false","10_6","Standard Curve","STANDARD","FAM","None","Amp","1.256128011354244","","","21.501371615324018","0.9815879448391447","21.480147458693363","0.15870278472481028","true","0.07456161433742176","true","3","17"
"14","B2","false","10_6","Standard Curve","STANDARD","FAM","None","Amp","1.2581654800674649","","","21.6271701648038","0.927363276876874","21.480147458693363","0.15870278472481028","true","0.07456161433742176","true","3","18"
"15","B3","false","10_6","Standard Curve","STANDARD","FAM","None","Amp","1.2620542959685186","","","21.311900595952267","0.9640863378980644","21.480147458693363","0.15870278472481028","true","0.07456161433742176","true","3","17"
"16","B4","false","AA_0821 II","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"17","B5","false","AA_0821 II","Unknown","UNKNOWN","FAM","None","Inconclusive","1.1015682843830608","","","37.96691672079653","0.9017316469137335","37.96691672079653","","true","0.2114626201603826","true","3","32"
"18","B6","false","AA_0821 II","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"19","B7","false","AA_0735","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"20","B8","false","AA_0735","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"21","B9","false","AA_0735","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"22","B10","false","AA_0704","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"23","B11","false","AA_0704","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"24","B12","false","AA_0704","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","9"
"25","C1","false","10_5","Standard Curve","STANDARD","FAM","None","Amp","1.1483398007234855","","","22.895816381451603","0.970712645400098","22.957089885560404","0.07543711407058483","true","0.07456161433742176","true","3","18"
"26","C2","false","10_5","Standard Curve","STANDARD","FAM","None","Amp","1.1522018276387818","","","22.934108297002986","0.9721361152317141","22.957089885560404","0.07543711407058483","true","0.07456161433742176","true","3","17"
"27","C3","false","10_5","Standard Curve","STANDARD","FAM","None","Amp","1.1517192683015987","","","23.04134497822662","0.9662776695725581","22.957089885560404","0.07543711407058483","true","0.07456161433742176","true","3","19"
"28","C4","false","AA_0790","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"29","C5","false","AA_0790","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
"30","C6","false","AA_0790","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2114626201603826","true","3","39"
