# File Name: Plate2_NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-09 11:21:00 AM UTC
# Run End Date/Time: 2021-03-09 12:21:49 PM UTC
# Run Duration: 60 minutes 48 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:06:53 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:07:34 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"4","A4","AA_0804","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.52446772853243","32.63316805423298","0.9829446776653243","0.1956350021300794","","","true","0.2114626201603826","true","3","26","","","","","","","","","","","false"
"5","A5","AA_0804","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.51602118080196","32.63316805423298","0.9807082899543574","0.1956350021300794","","","true","0.2114626201603826","true","3","27","","","","","","","","","","","false"
"6","A6","AA_0804","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.85901525336456","32.63316805423298","0.9762505246958935","0.1956350021300794","","","true","0.2114626201603826","true","3","26","","","","","","","","","","","false"
"7","A7","AA_0740","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"8","A8","AA_0740","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"9","A9","AA_0740","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"10","A10","AA_0761","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"11","A11","AA_0761","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0761","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"16","B4","AA_0821 II","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","37.96691672079653","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"17","B5","AA_0821 II","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.96691672079653","37.96691672079653","0.9017316469137335","","","","true","0.2114626201603826","true","3","32","","","","","","","","","","","false"
"18","B6","AA_0821 II","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","37.96691672079653","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"19","B7","AA_0735","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"20","B8","AA_0735","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"21","B9","AA_0735","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"22","B10","AA_0704","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"23","B11","AA_0704","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"24","B12","AA_0704","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","9","","","","","","","","","","","false"
"28","C4","AA_0790","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"29","C5","AA_0790","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"30","C6","AA_0790","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"31","C7","AA_0850","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"32","C8","AA_0850","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"33","C9","AA_0850","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"34","C10","AA_0718","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"35","C11","AA_0718","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"36","C12","AA_0718","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"40","D4","AA_0696","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"41","D5","AA_0696","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"42","D6","AA_0696","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"43","D7","AA_0844","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"44","D8","AA_0844","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"45","D9","AA_0844","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"46","D10","AA_0765","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"47","D11","AA_0765","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"48","D12","AA_0765","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"52","E4","AA_0774","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"53","E5","AA_0774","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"54","E6","AA_0774","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"55","E7","AA_0755 I","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.041141507068104","34.16807787532566","0.9550058308116467","0.4601840212056619","","","true","0.2114626201603826","true","3","28","","","","","","","","","","","false"
"56","E8","AA_0755 I","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.67840700223532","34.16807787532566","0.9827265899453929","0.4601840212056619","","","true","0.2114626201603826","true","3","29","","","","","","","","","","","false"
"57","E9","AA_0755 I","","Unknown","FAM","UNKNOWN","FAM","None","Amp","33.78468511667354","34.16807787532566","0.979349880240553","0.4601840212056619","","","true","0.2114626201603826","true","3","27","","","","","","","","","","","false"
"58","E10","AA_0743","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"59","E11","AA_0743","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","35","","","","","","","","","","","false"
"60","E12","AA_0743","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"64","F4","AA_0720","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"65","F5","AA_0720","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"66","F6","AA_0720","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"67","F7","AA_0821 I","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
"68","F8","AA_0821 I","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2114626201603826","true","3","39","","","","","","","","","","","false"
