# File Name: Plate_4.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 12:05:36 PM UTC
# Run End Date/Time: 2021-05-27 01:06:15 PM UTC
# Run Duration: 60 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 12:45:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:47:56 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","1x10_6 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.421765738116805","","","22.17963368130973","0.9904256164400624","22.19756024301023","0.028994933652993687","true","0.2087154269128504","true","3","16"
"2","A2","false","1x10_6 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.426539082863393","","","22.182035057867374","0.9872627535401537","22.19756024301023","0.028994933652993687","true","0.2087154269128504","true","3","16"
"3","A3","false","1x10_6 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.430554707796079","","","22.23101198985359","0.9840385402399633","22.19756024301023","0.028994933652993687","true","0.2087154269128504","true","3","17"
"4","A4","false","AA_0773","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"5","A5","false","AA_0773","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"6","A6","false","AA_0773","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"7","A7","false","AA_0717","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"8","A8","false","AA_0717","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"9","A9","false","AA_0717","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"10","A10","false","AA_0786","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"11","A11","false","AA_0786","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"12","A12","false","AA_0786","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"13","B1","false","1.25x10_5 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.4222645096230302","","","25.509799152769645","0.9862629246728722","25.40638419464351","0.12368359067322458","true","0.2087154269128504","true","3","21"
"14","B2","false","1.25x10_5 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.4227015050709177","","","25.269373489214672","0.9817904879892311","25.40638419464351","0.12368359067322458","true","0.2087154269128504","true","3","19"
"15","B3","false","1.25x10_5 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.4241616812679858","","","25.439979941946227","0.9786511736282939","25.40638419464351","0.12368359067322458","true","0.2087154269128504","true","3","19"
"16","B4","false","AA_0801 I","Unknown","UNKNOWN","FAM","None","Amp","1.2842453234375548","","","33.527599482197786","0.9726801426774914","33.5880815742144","0.6884325574448453","true","0.03999999910593033","true","3","31"
"17","B5","false","AA_0801 I","Unknown","UNKNOWN","FAM","None","Amp","1.336801716116425","","","32.93188557026188","0.9593188744471148","33.5880815742144","0.6884325574448453","true","0.03999999910593033","true","3","30"
"18","B6","false","AA_0801 I","Unknown","UNKNOWN","FAM","None","Amp","1.2406222138235687","","","34.30475967018353","0.9075358676058216","33.5880815742144","0.6884325574448453","true","0.03999999910593033","true","3","31"
"19","B7","false","AA_0848","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"20","B8","false","AA_0848","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"21","B9","false","AA_0848","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"22","B10","false","AA_0784","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"23","B11","false","AA_0784","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"24","B12","false","AA_0784","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.03999999910593033","true","3","39"
"25","C1","false","1.56x10_4 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.422237847510665","","","28.280673453607477","0.9885378567159264","28.415620985307978","0.11728529110942487","true","0.2087154269128504","true","3","22"
"26","C2","false","1.56x10_4 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.4190471821571677","","","28.4929797031811","0.9868457219573813","28.415620985307978","0.11728529110942487","true","0.2087154269128504","true","3","23"
