# File Name: Plate_5.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 01:23:33 PM UTC
# Run End Date/Time: 2021-05-27 02:24:11 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 01:28:10 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:59:31 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","156410.12","132652.72"
"1","A1","2","157192.52","132724.48"
"1","A1","3","157950.11","132825.4"
"1","A1","4","157551.16","133157.7"
"1","A1","5","157487.19","133001.11"
"1","A1","6","158184.69","132976.86"
"1","A1","7","158697.94","133338.67"
"1","A1","8","160014.06","133596.14"
"1","A1","9","160237.27","133698.0"
"1","A1","10","160077.48","133236.05"
"1","A1","11","160173.03","133125.19"
"1","A1","12","160318.81","133378.52"
"1","A1","13","160922.16","133313.55"
"1","A1","14","160670.08","133040.0"
"1","A1","15","160413.62","133020.25"
"1","A1","16","160847.25","133423.34"
"1","A1","17","162343.36","133678.55"
"1","A1","18","162798.0","133606.12"
"1","A1","19","163982.27","133441.56"
"1","A1","20","167602.39","133301.9"
"1","A1","21","173171.84","133129.3"
"1","A1","22","184619.69","133104.62"
"1","A1","23","203204.31","133413.44"
"1","A1","24","230971.1","133694.25"
"1","A1","25","268034.94","133709.77"
"1","A1","26","312846.4","133245.9"
"1","A1","27","360407.5","133039.52"
"1","A1","28","408253.25","132892.84"
"1","A1","29","455713.53","132896.38"
"1","A1","30","501141.0","133179.39"
"1","A1","31","541760.3","133230.05"
"1","A1","32","578977.75","133360.31"
"1","A1","33","610939.2","133325.3"
"1","A1","34","637824.25","133282.17"
"1","A1","35","661717.3","133247.7"
"1","A1","36","679324.56","133325.73"
"1","A1","37","693038.75","133147.8"
"1","A1","38","706318.3","133102.9"
"1","A1","39","715643.3","133324.44"
"1","A1","40","721214.5","133312.27"
"2","A2","1","158699.28","143181.2"
"2","A2","2","158815.62","143268.89"
"2","A2","3","159071.61","143471.89"
"2","A2","4","159379.14","144018.08"
"2","A2","5","160659.0","144066.98"
"2","A2","6","161073.38","144044.06"
"2","A2","7","161085.89","144126.72"
"2","A2","8","161185.72","144276.0"
"2","A2","9","161271.08","144673.6"
"2","A2","10","162183.81","144726.38"
"2","A2","11","163161.42","144533.11"
"2","A2","12","163224.94","144432.17"
"2","A2","13","162952.22","144520.11"
"2","A2","14","162443.44","144367.19"
"2","A2","15","162376.16","144293.72"
"2","A2","16","163288.56","144471.58"
"2","A2","17","164237.53","144349.0"
"2","A2","18","165233.69","144327.05"
"2","A2","19","166512.52","144720.94"
"2","A2","20","170354.02","144785.58"
"2","A2","21","177491.11","144839.47"
"2","A2","22","188916.89","144506.86"
"2","A2","23","207785.67","144342.92"
"2","A2","24","239271.11","144407.31"
"2","A2","25","280119.9","144486.5"
"2","A2","26","330282.66","144456.5"
"2","A2","27","385222.6","144554.97"
"2","A2","28","440525.97","144757.0"
"2","A2","29","494805.1","144499.86"
"2","A2","30","545192.9","144373.38"
"2","A2","31","591534.6","144448.92"
"2","A2","32","634337.1","144180.22"
"2","A2","33","670774.94","144143.31"
"2","A2","34","701063.6","144595.94"
"2","A2","35","725357.7","144797.03"
"2","A2","36","744598.06","145082.2"
