# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","14595.288","173596.6"
"1","A1","2","14640.434","173566.56"
"1","A1","3","15114.717","173759.23"
"1","A1","4","15161.654","173742.97"
"1","A1","5","15101.067","173843.16"
"1","A1","6","15051.441","173766.22"
"1","A1","7","15092.431","173713.84"
"1","A1","8","15042.959","173594.58"
"1","A1","9","15029.05","173511.66"
"1","A1","10","15209.012","173312.17"
"1","A1","11","15494.21","172919.16"
"1","A1","12","15283.063","172856.45"
"1","A1","13","15389.049","173278.67"
"1","A1","14","16210.143","173459.2"
"1","A1","15","15881.914","173491.61"
"1","A1","16","15626.025","173297.05"
"1","A1","17","15458.687","172802.05"
"1","A1","18","15645.07","172700.3"
"1","A1","19","16656.14","172960.4"
"1","A1","20","16103.297","172737.78"
"1","A1","21","15108.729","172624.44"
"1","A1","22","15075.234","172800.05"
"1","A1","23","15937.176","173042.39"
"1","A1","24","16212.976","172985.48"
"1","A1","25","16568.559","172761.9"
"1","A1","26","16464.725","172262.69"
"1","A1","27","16079.653","172071.02"
"1","A1","28","16017.295","171970.55"
"1","A1","29","16824.406","171967.05"
"1","A1","30","18475.045","172136.61"
"1","A1","31","19320.008","172215.31"
"1","A1","32","20277.15","172420.4"
"1","A1","33","23042.959","172042.52"
"1","A1","34","25790.633","171924.92"
"1","A1","35","26864.63","171969.6"
"1","A1","36","28004.742","171824.64"
"1","A1","37","28647.908","171814.4"
"1","A1","38","29653.672","171952.14"
"1","A1","39","30986.988","171983.81"
"1","A1","40","31495.125","171950.3"
"1","A1","41","42915.895","0.0"
"1","A1","42","41344.684","0.0"
"1","A1","43","41340.246","0.0"
"1","A1","44","41363.71","0.0"
"1","A1","45","39745.727","0.0"
"1","A1","46","40646.477","0.0"
"1","A1","47","40778.24","0.0"
"1","A1","48","40362.613","0.0"
"1","A1","49","40663.805","0.0"
"1","A1","50","40105.58","0.0"
"1","A1","51","41013.62","0.0"
"1","A1","52","38573.812","0.0"
"1","A1","53","39282.363","0.0"
"1","A1","54","38761.805","0.0"
"1","A1","55","38097.402","0.0"
"1","A1","56","37683.945","0.0"
"1","A1","57","39112.934","0.0"
"1","A1","58","37039.266","0.0"
"1","A1","59","38471.227","0.0"
"1","A1","60","38616.688","0.0"
"1","A1","61","37734.0","0.0"
"1","A1","62","37842.1","0.0"
"1","A1","63","36638.234","0.0"
"1","A1","64","37652.297","0.0"
"1","A1","65","35667.316","0.0"
"1","A1","66","36646.684","0.0"
"1","A1","67","35523.516","0.0"
"1","A1","68","35704.406","0.0"
"1","A1","69","35864.805","0.0"
"1","A1","70","33967.047","0.0"
"1","A1","71","33944.16","0.0"
"1","A1","72","34120.383","0.0"
"1","A1","73","34575.293","0.0"
"1","A1","74","34313.934","0.0"
"1","A1","75","32773.098","0.0"
"1","A1","76","32519.225","0.0"
"1","A1","77","33338.465","0.0"
"1","A1","78","32686.375","0.0"
"1","A1","79","32698.494","0.0"
"1","A1","80","33232.367","0.0"
"1","A1","81","30954.922","0.0"
"1","A1","82","31847.916","0.0"
"1","A1","83","30454.78","0.0"
"1","A1","84","31303.12","0.0"
"1","A1","85","31001.312","0.0"
"1","A1","86","29097.768","0.0"
"1","A1","87","29699.605","0.0"
"1","A1","88","30310.9","0.0"
"1","A1","89","30014.805","0.0"
"1","A1","90","28860.375","0.0"
"1","A1","91","30879.2","0.0"
"1","A1","92","28676.357","0.0"
"1","A1","93","29207.297","0.0"
"1","A1","94","28470.07","0.0"
"1","A1","95","28882.797","0.0"
"1","A1","96","28229.705","0.0"
"1","A1","97","28007.943","0.0"
"1","A1","98","28437.496","0.0"
"1","A1","99","29158.592","0.0"
"1","A1","100","28339.082","0.0"
"1","A1","101","28524.102","0.0"
"1","A1","102","27648.477","0.0"
"1","A1","103","28788.088","0.0"
"1","A1","104","27496.068","0.0"
"1","A1","105","27821.11","0.0"
"1","A1","106","26518.746","0.0"
"1","A1","107","27004.068","0.0"
"1","A1","108","26770.418","0.0"
"1","A1","109","26484.166","0.0"
"1","A1","110","26593.31","0.0"
"1","A1","111","27646.432","0.0"
"1","A1","112","28344.562","0.0"
"1","A1","113","27479.201","0.0"
"1","A1","114","25195.271","0.0"
"1","A1","115","27497.457","0.0"
"1","A1","116","25881.902","0.0"
"1","A1","117","25077.83","0.0"
"1","A1","118","26026.9","0.0"
"1","A1","119","25722.895","0.0"
"1","A1","120","26044.113","0.0"
"1","A1","121","24454.648","0.0"
"1","A1","122","24717.629","0.0"
"1","A1","123","26070.088","0.0"
"1","A1","124","25266.865","0.0"
"1","A1","125","26401.148","0.0"
"1","A1","126","25734.434","0.0"
"1","A1","127","25159.303","0.0"
"1","A1","128","25630.654","0.0"
"1","A1","129","24756.264","0.0"
"1","A1","130","25746.166","0.0"
"1","A1","131","25134.64","0.0"
"1","A1","132","24276.691","0.0"
"1","A1","133","24836.113","0.0"
"1","A1","134","24587.49","0.0"
"1","A1","135","23488.018","0.0"
"1","A1","136","25322.865","0.0"
"1","A1","137","23903.871","0.0"
"1","A1","138","22714.898","0.0"
"1","A1","139","23555.674","0.0"
"1","A1","140","25765.078","0.0"
"1","A1","141","23684.771","0.0"
"1","A1","142","23307.357","0.0"
"1","A1","143","24344.732","0.0"
"1","A1","144","24523.0","0.0"
"1","A1","145","24723.69","0.0"
"1","A1","146","24495.828","0.0"
"1","A1","147","22413.516","0.0"
"1","A1","148","22746.39","0.0"
"1","A1","149","23894.414","0.0"
"1","A1","150","22140.346","0.0"
"1","A1","151","21065.766","0.0"
"1","A1","152","22822.035","0.0"
"1","A1","153","22684.215","0.0"
"1","A1","154","22763.951","0.0"
"1","A1","155","21723.064","0.0"
"1","A1","156","21852.047","0.0"
"2","A2","1","5791.2373","176646.92"
"2","A2","2","6392.213","176713.19"
"2","A2","3","6707.8413","177731.88"
"2","A2","4","7234.5156","177829.2"
"2","A2","5","7499.0107","177703.06"
"2","A2","6","7561.6333","177743.73"
"2","A2","7","8256.988","177748.86"
"2","A2","8","8810.83","177974.28"
"2","A2","9","8902.946","177498.4"
"2","A2","10","9416.015","177317.39"
"2","A2","11","9420.59","177494.28"
"2","A2","12","9473.371","177449.5"
"2","A2","13","9355.586","177425.75"
"2","A2","14","9367.263","177330.3"
"2","A2","15","9214.021","177390.11"
"2","A2","16","9116.885","177649.86"
"2","A2","17","8983.481","177483.28"
"2","A2","18","9339.071","177350.25"
"2","A2","19","10305.191","177402.0"
"2","A2","20","9905.37","177300.34"
"2","A2","21","8024.9473","177269.98"
"2","A2","22","7693.2124","177602.08"
"2","A2","23","8761.018","177540.5"
"2","A2","24","9403.892","177274.88"
"2","A2","25","9383.186","177127.62"
"2","A2","26","9331.786","177095.67"
"2","A2","27","9865.781","177033.47"
"2","A2","28","10304.202","177105.6"
"2","A2","29","11532.439","177050.22"
"2","A2","30","12042.0205","176924.89"
"2","A2","31","12752.464","176855.7"
"2","A2","32","14882.988","176901.39"
"2","A2","33","16624.26","176615.94"
"2","A2","34","18345.73","176335.52"
"2","A2","35","20538.688","176211.89"
"2","A2","36","22050.592","176115.75"
"2","A2","37","22449.559","176085.97"
"2","A2","38","23799.889","176128.27"
"2","A2","39","24449.66","175850.48"
"2","A2","40","25591.168","175771.3"
"2","A2","41","35980.645","0.0"
"2","A2","42","34584.92","0.0"
"2","A2","43","37388.633","0.0"
"2","A2","44","33474.76","0.0"
"2","A2","45","34958.113","0.0"
"2","A2","46","34757.44","0.0"
"2","A2","47","34086.09","0.0"
"2","A2","48","35121.836","0.0"
"2","A2","49","35226.406","0.0"
"2","A2","50","32955.957","0.0"
"2","A2","51","34455.848","0.0"
"2","A2","52","33264.195","0.0"
"2","A2","53","32247.434","0.0"
"2","A2","54","33909.184","0.0"
"2","A2","55","32665.719","0.0"
"2","A2","56","32248.53","0.0"
"2","A2","57","33065.82","0.0"
"2","A2","58","33408.895","0.0"
"2","A2","59","32450.807","0.0"
"2","A2","60","32250.719","0.0"
"2","A2","61","32762.332","0.0"
"2","A2","62","30672.18","0.0"
"2","A2","63","31586.414","0.0"
"2","A2","64","30058.004","0.0"
"2","A2","65","30499.73","0.0"
"2","A2","66","31504.041","0.0"
"2","A2","67","30606.494","0.0"
"2","A2","68","29252.76","0.0"
"2","A2","69","30289.492","0.0"
"2","A2","70","30362.408","0.0"
"2","A2","71","28792.484","0.0"
"2","A2","72","28045.223","0.0"
"2","A2","73","28212.74","0.0"
"2","A2","74","27894.28","0.0"
"2","A2","75","27009.658","0.0"
"2","A2","76","26877.52","0.0"
"2","A2","77","27465.771","0.0"
"2","A2","78","27130.223","0.0"
"2","A2","79","26185.61","0.0"
"2","A2","80","25988.297","0.0"
"2","A2","81","25418.12","0.0"
"2","A2","82","26551.537","0.0"
"2","A2","83","24308.324","0.0"
"2","A2","84","26703.318","0.0"
"2","A2","85","25410.635","0.0"
"2","A2","86","25345.533","0.0"
"2","A2","87","24026.121","0.0"
"2","A2","88","23378.355","0.0"
"2","A2","89","25307.34","0.0"
"2","A2","90","23123.826","0.0"
"2","A2","91","23367.219","0.0"
"2","A2","92","23640.04","0.0"
"2","A2","93","24117.512","0.0"
"2","A2","94","23011.697","0.0"
"2","A2","95","23203.936","0.0"
"2","A2","96","23311.756","0.0"
"2","A2","97","22869.627","0.0"
"2","A2","98","23783.97","0.0"
"2","A2","99","21058.941","0.0"
"2","A2","100","23049.998","0.0"
"2","A2","101","22156.432","0.0"
"2","A2","102","21766.186","0.0"
"2","A2","103","23000.744","0.0"
"2","A2","104","22095.93","0.0"
"2","A2","105","21623.861","0.0"
"2","A2","106","21391.68","0.0"
"2","A2","107","21478.14","0.0"
"2","A2","108","20999.5","0.0"
"2","A2","109","21102.975","0.0"
"2","A2","110","20442.283","0.0"
"2","A2","111","20032.906","0.0"
"2","A2","112","21877.805","0.0"
"2","A2","113","20513.447","0.0"
"2","A2","114","19536.229","0.0"
"2","A2","115","20798.791","0.0"
"2","A2","116","19314.672","0.0"
"2","A2","117","19936.404","0.0"
"2","A2","118","20357.209","0.0"
"2","A2","119","19268.957","0.0"
"2","A2","120","20824.97","0.0"
"2","A2","121","20081.615","0.0"
"2","A2","122","21274.547","0.0"
"2","A2","123","19659.312","0.0"
"2","A2","124","19388.682","0.0"
"2","A2","125","20886.86","0.0"
"2","A2","126","18525.383","0.0"
"2","A2","127","19482.775","0.0"
"2","A2","128","19299.664","0.0"
"2","A2","129","20283.418","0.0"
"2","A2","130","19090.63","0.0"
"2","A2","131","18845.889","0.0"
"2","A2","132","18592.164","0.0"
"2","A2","133","18452.357","0.0"
"2","A2","134","18133.387","0.0"
"2","A2","135","18659.748","0.0"
"2","A2","136","19447.541","0.0"
"2","A2","137","18537.834","0.0"
"2","A2","138","18192.9","0.0"
"2","A2","139","19457.836","0.0"
"2","A2","140","17971.746","0.0"
"2","A2","141","17906.133","0.0"
"2","A2","142","16859.14","0.0"
"2","A2","143","18289.184","0.0"
"2","A2","144","17786.08","0.0"
"2","A2","145","17630.574","0.0"
"2","A2","146","18689.36","0.0"
"2","A2","147","16881.268","0.0"
"2","A2","148","16697.316","0.0"
"2","A2","149","17671.76","0.0"
"2","A2","150","17509.244","0.0"
"2","A2","151","15930.776","0.0"
"2","A2","152","17087.963","0.0"
"2","A2","153","16353.443","0.0"
"2","A2","154","17594.646","0.0"
"2","A2","155","16631.887","0.0"
"2","A2","156","17079.748","0.0"
"3","A3","1","1207.1166","171151.03"
"3","A3","2","1206.9443","171189.55"
"3","A3","3","1544.468","171779.3"
"3","A3","4","1686.3081","172494.14"
"3","A3","5","2019.7194","172347.31"
"3","A3","6","2000.5837","172229.48"
"3","A3","7","1927.1545","172358.34"
"3","A3","8","1980.4966","172289.38"
"3","A3","9","2561.9922","172168.81"
"3","A3","10","2612.1548","172138.97"
"3","A3","11","2613.815","172448.44"
"3","A3","12","2471.128","172682.61"
"3","A3","13","2300.4841","172775.69"
"3","A3","14","2150.8838","172792.06"
"3","A3","15","2330.0176","172481.11"
"3","A3","16","3352.4119","172203.97"
"3","A3","17","2835.6829","172123.16"
"3","A3","18","2625.7751","172308.19"
"3","A3","19","2997.2017","172419.66"
"3","A3","20","2893.5334","172424.61"
"3","A3","21","2518.2524","171981.83"
"3","A3","22","2402.8425","171841.83"
"3","A3","23","2794.5598","171976.8"
"3","A3","24","3330.1606","172053.23"
"3","A3","25","3564.2986","172432.77"
"3","A3","26","3853.1765","172311.47"
"3","A3","27","4433.1733","172167.2"
"3","A3","28","4572.278","172106.81"
"3","A3","29","3000.1206","172082.75"
"3","A3","30","1929.3767","172326.72"
"3","A3","31","728.00116","172408.7"
"3","A3","32","681.33203","172244.48"
"3","A3","33","1910.2633","172058.84"
"3","A3","34","3702.696","171774.2"
"3","A3","35","5448.893","171787.4"
"3","A3","36","6530.511","172304.05"
"3","A3","37","7555.503","172325.78"
"3","A3","38","8553.719","172232.14"
"3","A3","39","8627.085","172253.83"
"3","A3","40","8947.644","172179.83"
"3","A3","41","29208.736","0.0"
"3","A3","42","28929.82","0.0"
"3","A3","43","29860.438","0.0"
"3","A3","44","28494.857","0.0"
"3","A3","45","29526.729","0.0"
"3","A3","46","30872.54","0.0"
"3","A3","47","30240.902","0.0"
"3","A3","48","29855.56","0.0"
"3","A3","49","29376.875","0.0"
"3","A3","50","28744.053","0.0"
"3","A3","51","28148.068","0.0"
"3","A3","52","27983.486","0.0"
"3","A3","53","27864.014","0.0"
"3","A3","54","27907.309","0.0"
"3","A3","55","27889.352","0.0"
"3","A3","56","27335.672","0.0"
"3","A3","57","28146.617","0.0"
"3","A3","58","26685.32","0.0"
"3","A3","59","27689.844","0.0"
"3","A3","60","26850.463","0.0"
"3","A3","61","27752.348","0.0"
"3","A3","62","27493.367","0.0"
"3","A3","63","25426.793","0.0"
"3","A3","64","25642.742","0.0"
"3","A3","65","25647.52","0.0"
"3","A3","66","25351.768","0.0"
"3","A3","67","25763.303","0.0"
"3","A3","68","25207.682","0.0"
"3","A3","69","26192.203","0.0"
"3","A3","70","24531.234","0.0"
"3","A3","71","24430.705","0.0"
"3","A3","72","25184.484","0.0"
"3","A3","73","23822.695","0.0"
"3","A3","74","23568.062","0.0"
"3","A3","75","22164.459","0.0"
"3","A3","76","22407.855","0.0"
"3","A3","77","22184.229","0.0"
"3","A3","78","21609.068","0.0"
"3","A3","79","22349.535","0.0"
"3","A3","80","20667.05","0.0"
"3","A3","81","20132.78","0.0"
"3","A3","82","21152.92","0.0"
"3","A3","83","20115.184","0.0"
"3","A3","84","20609.258","0.0"
"3","A3","85","19914.393","0.0"
"3","A3","86","18195.498","0.0"
"3","A3","87","19075.506","0.0"
"3","A3","88","20214.889","0.0"
"3","A3","89","19930.406","0.0"
"3","A3","90","19465.953","0.0"
"3","A3","91","19756.367","0.0"
