# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","23699.553","19553.773","173599.94"
"2","A2","1","14685.266","20403.902","176713.48"
"3","A3","1","11327.105","22976.422","171149.86"
"4","A4","1","59103.707","21769.611","130389.25"
"5","A5","1","42432.9","21522.244","139709.28"
"6","A6","1","33499.75","19714.92","138748.45"
"7","A7","1","16858.703","21635.598","165990.05"
"8","A8","1","23425.697","22393.67","166173.78"
"9","A9","1","17540.225","21391.496","153704.12"
"10","A10","1","24682.324","15875.084","115046.96"
"11","A11","1","37831.766","19630.6","143952.73"
"12","A12","1","37218.08","20821.32","155086.06"
"13","B1","1","24666.85","24296.879","177933.67"
"14","B2","1","36252.195","24553.414","162910.2"
"15","B3","1","39032.484","25307.332","163037.27"
"16","B4","1","97662.94","24831.531","124827.81"
"17","B5","1","86748.96","22712.656","127066.42"
"18","B6","1","93991.6","24201.2","129115.39"
"19","B7","1","36433.465","23709.861","156594.31"
"20","B8","1","44147.55","25258.525","169594.1"
"21","B9","1","40712.26","22998.18","161201.48"
"22","B10","1","99543.23","21621.969","103945.66"
"23","B11","1","83856.53","18985.787","96335.414"
"24","B12","1","72132.766","20213.39","105461.9"
"25","C1","1","38964.54","23489.709","167315.45"
"26","C2","1","55396.617","26768.395","162609.14"
"27","C3","1","50669.04","26617.969","156495.56"
"28","C4","1","160146.81","28171.201","122764.06"
"29","C5","1","142229.73","24952.17","118565.46"
"30","C6","1","150086.25","26969.225","129277.18"
"31","C7","1","47996.016","27572.9","175040.3"
"32","C8","1","23880.422","22861.814","157854.88"
"33","C9","1","21954.66","23997.428","164723.89"
"34","C10","1","149313.39","26996.592","111931.086"
"35","C11","1","97847.82","18066.533","81823.53"
"36","C12","1","98960.5","19169.723","83527.72"
"37","D1","1","49156.5","22207.195","141009.42"
"38","D2","1","46406.21","23548.838","140412.6"
"39","D3","1","50675.113","24128.334","138133.17"
"40","D4","1","238185.95","31093.53","113906.25"
"41","D5","1","235484.02","30837.908","114173.95"
"42","D6","1","174804.02","22151.854","85712.43"
"43","D7","1","24525.832","25549.771","173689.61"
"44","D8","1","17060.5","23259.504","170974.5"
"45","D9","1","36152.523","22525.604","153380.61"
"46","D10","1","207751.81","27338.092","91586.734"
"47","D11","1","169709.45","23346.89","80490.13"
"48","D12","1","150301.17","21954.482","75136.16"
"49","E1","1","97917.305","24372.822","129240.84"
"50","E2","1","101808.99","24868.398","125140.34"
"51","E3","1","56899.98","17154.97","94125.09"
"52","E4","1","260188.36","27907.07","85233.9"
"53","E5","1","281096.06","29030.555","94735.305"
"54","E6","1","261603.42","28013.342","86722.305"
"55","E7","1","29297.111","25033.17","169585.14"
"56","E8","1","24288.05","21004.781","139906.19"
