# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"4","A4","AA_0746 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","87.47467803955078","66.94332885742188","71.92520141601562","78.41673278808594","","","","","","","false"
"5","A5","AA_0746 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","87.33702087402344","66.49382019042969","78.12371826171875","83.56108093261719","","","","","","","false"
"6","A6","AA_0746 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","88.69635772705078","72.2332534790039","78.42579650878906","66.64485931396484","","","","","","","false"
"7","A7","AA_0766 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","78.2747573852539","89.60258483886719","82.95692443847656","62.71788024902344","","","","","","","false"
"8","A8","AA_0766 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","69.06146240234375","71.9311752319336","92.9254150390625","86.73286437988281","","","","","","","false"
"9","A9","AA_0766 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","78.59539031982422","87.96887969970703","73.60627746582031","66.80294036865234","","","","","","","false"
"10","A10","AA_0845 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","87.66650390625","93.10917663574219","73.30390930175781","78.74657440185547","","","","","","","false"
"11","A11","AA_0845 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","77.23472595214844","72.85034942626953","70.12901306152344","89.7831039428711","","","","","","","false"
"12","A12","AA_0845 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09264752831052908","true","3","39","69.97782897949219","78.29302215576172","85.24754333496094","74.05982971191406","","","","","","","false"
"16","B4","AA_0750 R","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.28970091076961","32.29373459408739","0.9537028176662888","0.1636982051290715","","","true","0.09264752831052908","true","3","29","71.6232681274414","83.24763488769531","63.6220817565918","87.17274475097656","","","","","","","false"
