# File Name: Plate7.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-18 08:28:39 AM UTC
# Run End Date/Time: 2021-06-18 09:29:26 AM UTC
# Run Duration: 60 minutes 46 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-29 01:58:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-29 01:59:18 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","49924.59","170147.28"
"1","A1","2","50276.035","170164.16"
"1","A1","3","50631.46","170917.81"
"1","A1","4","51517.86","171035.83"
"1","A1","5","51069.848","171007.38"
"1","A1","6","50975.67","171159.28"
"1","A1","7","51641.03","170925.81"
"1","A1","8","51827.457","170605.31"
"1","A1","9","52336.984","170549.5"
"1","A1","10","52432.566","170926.38"
"1","A1","11","52295.7","170553.7"
"1","A1","12","51522.434","170378.02"
"1","A1","13","51187.65","170620.55"
"1","A1","14","51129.605","170674.62"
"1","A1","15","51405.19","170521.89"
"1","A1","16","51488.484","170331.25"
"1","A1","17","51586.766","170060.4"
"1","A1","18","50223.027","169965.55"
"1","A1","19","50018.07","170198.38"
"1","A1","20","51055.066","170148.78"
"1","A1","21","51950.38","170054.27"
"1","A1","22","52012.96","169777.3"
"1","A1","23","51887.652","169552.55"
"1","A1","24","51866.75","169267.33"
"1","A1","25","51458.117","169158.64"
"1","A1","26","51172.57","169347.81"
"1","A1","27","50844.777","169559.25"
"1","A1","28","50818.723","169240.55"
"1","A1","29","51430.64","169035.75"
"1","A1","30","51819.71","168857.7"
"1","A1","31","51855.492","168692.17"
"1","A1","32","52170.79","168640.19"
"1","A1","33","51626.28","168760.77"
"1","A1","34","49759.86","168721.33"
"1","A1","35","49675.406","168650.84"
"1","A1","36","51180.625","168621.55"
"1","A1","37","51241.26","168690.16"
"1","A1","38","49712.43","168378.48"
