# File Name: Plate7.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-18 08:28:39 AM UTC
# Run End Date/Time: 2021-06-18 09:29:26 AM UTC
# Run Duration: 60 minutes 46 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-29 01:58:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-29 01:59:18 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","58289.87","24331.85","171054.47"
"2","A2","1","52288.355","23334.59","173828.27"
"3","A3","1","25163.596","14093.141","97226.836"
"4","A4","1","149913.78","26896.857","124829.305"
"5","A5","1","139713.98","27133.887","129010.67"
"6","A6","1","122997.05","23297.152","119515.01"
"7","A7","1","76557.984","21102.07","130034.48"
"8","A8","1","84038.086","23080.268","139803.45"
"9","A9","1","67387.11","19657.912","119752.984"
"10","A10","1","120643.98","18680.807","73607.086"
"11","A11","1","157560.52","24199.305","91594.09"
"12","A12","1","176383.94","28487.035","100757.695"
"13","B1","1","64150.52","27160.71","180510.1"
"14","B2","1","62260.797","25624.38","169308.36"
"15","B3","1","59238.582","24301.96","161005.45"
"16","B4","1","197706.78","29437.428","120682.03"
"17","B5","1","201902.7","28795.56","124710.805"
"18","B6","1","190326.86","28161.475","117855.03"
"19","B7","1","90207.53","24040.656","133947.1"
"20","B8","1","86093.055","22250.016","130192.95"
"21","B9","1","77808.45","20402.4","122598.555"
"22","B10","1","145531.36","20943.43","81982.0"
"23","B11","1","139062.2","20214.256","76209.54"
"24","B12","1","139434.12","22945.62","82562.31"
"25","C1","1","45849.094","24117.39","180182.08"
"26","C2","1","58589.746","26717.41","176653.27"
"27","C3","1","47753.766","25012.193","168657.48"
"28","C4","1","220579.56","31335.078","127433.3"
"29","C5","1","200202.67","28153.936","119077.29"
"30","C6","1","214430.38","29480.355","128505.91"
"31","C7","1","124531.9","26671.059","135500.42"
"32","C8","1","79146.73","20876.459","126445.31"
"33","C9","1","80171.29","21423.271","119807.09"
"34","C10","1","176098.58","24412.666","96158.17"
"35","C11","1","124609.086","17746.467","69170.39"
"36","C12","1","136762.66","20918.469","74757.1"
"37","D1","1","79551.13","28645.97","173559.78"
"38","D2","1","62511.22","26553.053","170424.67"
"39","D3","1","64809.426","26167.885","163710.98"
"40","D4","1","219785.66","29881.537","120581.17"
"41","D5","1","223623.75","29972.785","121874.49"
"42","D6","1","171161.88","22240.63","95197.586"
"43","D7","1","157385.45","26171.97","120205.77"
"44","D8","1","139776.7","22585.912","111826.64"
"45","D9","1","125390.26","21034.57","100973.05"
"46","D10","1","179148.23","24061.69","89274.76"
"47","D11","1","143898.44","20158.879","76532.88"
"48","D12","1","132796.44","20040.295","72105.5"
"49","E1","1","135435.6","30813.855","160509.4"
"50","E2","1","133363.14","30126.527","152963.34"
"51","E3","1","81214.06","20291.635","114014.375"
"52","E4","1","204325.2","28696.062","109979.6"
"53","E5","1","231120.77","30222.967","123510.15"
"54","E6","1","201703.77","26525.508","110404.83"
"55","E7","1","122130.73","25101.97","128941.055"
"56","E8","1","101815.49","20517.646","107459.87"
"57","E9","1","95956.47","19651.521","103662.03"
"58","E10","1","169803.78","23942.4","91620.56"
"59","E11","1","164814.3","23177.947","89065.7"
"60","E12","1","141609.52","21567.162","78410.766"
"61","F1","1","82821.09","28396.719","169285.12"
"62","F2","1","74239.96","26783.016","164688.5"
"63","F3","1","66554.734","22358.639","135598.92"
"64","F4","1","200393.4","26480.523","108966.66"
"65","F5","1","217351.11","29765.07","117364.5"
"66","F6","1","202538.45","26013.426","104393.0"
"67","F7","1","160012.23","26507.88","123493.336"
