# File Name: 1_AA_0858-0882_01.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 01:33:09 PM UTC
# Run End Date/Time: 2021-10-12 02:33:53 PM UTC
# Run Duration: 60 minutes 43 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 01:36:43 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 01:46:23 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","167916.42","32376.258","127604.21"
"2","A2","1","175612.8","31302.729","133627.72"
"3","A3","1","149917.97","29866.379","125391.93"
"4","A4","1","146879.33","27154.445","113282.84"
"5","A5","1","132820.97","26286.857","116500.37"
"6","A6","1","121523.125","23529.797","111762.53"
"7","A7","1","57598.867","20829.234","137274.75"
"8","A8","1","64653.63","23339.775","147187.9"
"9","A9","1","52391.48","20089.393","127199.21"
"10","A10","1","62122.375","17943.736","104996.34"
"11","A11","1","77676.36","21973.867","128576.98"
"12","A12","1","81435.77","23933.14","138590.73"
"13","B1","1","170137.66","32676.436","135321.73"
"14","B2","1","174096.25","32279.908","133241.39"
"15","B3","1","160299.67","29294.516","124183.18"
"16","B4","1","174743.08","29385.44","119888.9"
"17","B5","1","188333.86","30930.516","124421.63"
"18","B6","1","174974.4","29011.682","121465.805"
"19","B7","1","63406.652","21624.443","129656.13"
"20","B8","1","63618.465","21716.406","133796.56"
"21","B9","1","62409.043","20597.064","128451.83"
"22","B10","1","109910.945","23234.738","111175.99"
"23","B11","1","132077.84","24388.904","105139.68"
"24","B12","1","88635.07","21194.299","107471.055"
"25","C1","1","163632.61","31815.404","133287.17"
"26","C2","1","171956.4","32214.402","135737.89"
"27","C3","1","153260.38","27733.729","122460.05"
"28","C4","1","184144.94","30005.715","122976.71"
"29","C5","1","167980.64","26692.873","114754.02"
"30","C6","1","183771.06","29860.033","127090.72"
"31","C7","1","100412.96","26039.037","140878.66"
"32","C8","1","65295.547","22593.732","122519.51"
"33","C9","1","55790.24","20532.324","122375.57"
"34","C10","1","118218.68","26240.393","133257.94"
"35","C11","1","85125.51","18874.85","96924.92"
"36","C12","1","87019.41","19521.2","98215.875"
"37","D1","1","166532.67","31494.756","131468.19"
"38","D2","1","164726.06","30939.104","134550.1"
"39","D3","1","153870.66","28898.043","122267.62"
"40","D4","1","201437.7","32286.713","130373.13"
"41","D5","1","196231.22","31196.33","130121.984"
"42","D6","1","138625.22","21764.504","92492.22"
"43","D7","1","85109.59","25115.176","141767.81"
"44","D8","1","74591.77","23161.21","140829.95"
"45","D9","1","60189.605","18693.008","114598.02"
"46","D10","1","113663.26","25015.795","125754.09"
"47","D11","1","92875.195","21154.559","107759.01"
"48","D12","1","80929.016","19500.316","97053.38"
"49","E1","1","174657.06","33321.758","137733.94"
"50","E2","1","173591.81","31638.936","134157.45"
"51","E3","1","116534.195","22109.75","99140.875"
"52","E4","1","186476.16","29719.074","118457.734"
"53","E5","1","190679.75","29194.559","122104.19"
"54","E6","1","171330.67","26617.064","110160.02"
"55","E7","1","69063.9","24770.307","145066.22"
"56","E8","1","60169.926","20431.432","120150.47"
"57","E9","1","53664.953","19186.588","114851.96"
"58","E10","1","122763.07","27053.854","129695.47"
"59","E11","1","114622.57","24564.691","123139.78"
"60","E12","1","94084.17","21853.508","105361.83"
"61","F1","1","168830.42","32766.873","131900.88"
"62","F2","1","168633.55","30509.365","133280.69"
"63","F3","1","153276.75","26103.115","107443.47"
"64","F4","1","211404.22","29612.795","111947.625"
"65","F5","1","206015.98","29349.354","111155.484"
"66","F6","1","215379.95","29260.908","109773.16"
"67","F7","1","81383.57","25761.941","147510.45"
"68","F8","1","55786.133","18138.896","110950.12"
"69","F9","1","55869.617","17516.041","105237.08"
"70","F10","1","101945.164","21375.83","103398.45"
"71","F11","1","107830.1","24809.566","123045.35"
"72","F12","1","116034.3","26376.879","127866.71"
"73","G1","1","176689.73","33826.16","140136.9"
"74","G2","1","187364.39","34587.848","136921.97"
"75","G3","1","161550.25","29972.945","122616.31"
"76","G4","1","201759.36","30501.256","111202.914"
"77","G5","1","182111.42","27175.1","102522.69"
"78","G6","1","203388.0","29783.773","115696.125"
"79","G7","1","75105.64","22982.24","132150.22"
"80","G8","1","88157.266","25773.77","145839.23"
"81","G9","1","55761.22","16684.365","98134.484"
"82","G10","1","99843.43","22836.443","107303.51"
"83","G11","1","133172.16","26997.719","125877.52"
"84","G12","1","95193.17","23987.37","128384.484"
"85","H1","1","183703.0","35939.62","140319.52"
"86","H2","1","146334.94","29195.98","119007.414"
"87","H3","1","149911.08","28274.941","121103.72"
"88","H4","1","217891.11","34391.527","129995.45"
"89","H5","1","200552.98","32154.766","124371.78"
"90","H6","1","201232.64","30136.217","119814.72"
"91","H7","1","103963.69","25961.379","140845.03"
"92","H8","1","92765.51","23029.504","131017.35"
"93","H9","1","72807.98","18058.91","100977.695"
"94","H10","1","67054.48","21249.525","128795.84"
"95","H11","1","71299.08","22397.611","135670.5"
"96","H12","1","77951.97","19182.719","130822.57"
"1","A1","2","168436.12","31834.064","127420.04"
"2","A2","2","174947.39","31510.975","134173.16"
"3","A3","2","150688.1","29368.105","126146.9"
"4","A4","2","147518.92","27005.336","113305.72"
"5","A5","2","135695.0","26389.453","117717.48"
"6","A6","2","133086.75","25257.691","119565.94"
"7","A7","2","56528.16","21179.898","138084.8"
"8","A8","2","66864.29","24028.908","148988.47"
"9","A9","2","52898.324","20218.668","127707.87"
"10","A10","2","62331.816","18453.059","105333.555"
"11","A11","2","77534.28","21640.941","128900.46"
"12","A12","2","85020.29","25478.846","145754.12"
"13","B1","2","172120.73","32884.152","135289.67"
"14","B2","2","176003.8","31886.95","132947.3"
"15","B3","2","160331.05","29182.88","125064.5"
"16","B4","2","177207.52","28930.164","120450.38"
"17","B5","2","190225.8","31567.418","125134.17"
"18","B6","2","177944.16","29071.938","122311.94"
"19","B7","2","65017.18","21772.521","130147.04"
"20","B8","2","64434.484","21583.69","133060.5"
"21","B9","2","63411.22","20631.625","128770.055"
"22","B10","2","109832.234","23095.459","111573.76"
"23","B11","2","133247.83","24162.768","105679.734"
"24","B12","2","88566.95","21905.488","107823.79"
"25","C1","2","172159.25","32009.371","133346.28"
"26","C2","2","173037.38","32423.209","136386.48"
"27","C3","2","152197.83","28429.22","122555.04"
"28","C4","2","185824.05","29506.146","123119.625"
"29","C5","2","168504.8","27299.854","115047.164"
"30","C6","2","186228.27","30073.438","128717.7"
"31","C7","2","103327.7","26491.201","141181.92"
"32","C8","2","64906.7","22646.836","122826.28"
"33","C9","2","57077.08","20743.459","122745.59"
"34","C10","2","119115.54","26030.775","134096.92"
"35","C11","2","85178.73","18604.346","97351.195"
"36","C12","2","87399.85","19407.717","98809.75"
"37","D1","2","165435.38","32202.773","132079.19"
"38","D2","2","166067.36","31703.236","135334.12"
"39","D3","2","154528.47","28434.246","123281.95"
"40","D4","2","203882.44","32272.014","131677.28"
"41","D5","2","197455.14","31700.928","131001.664"
"42","D6","2","141307.52","21927.582","93282.945"
"43","D7","2","84599.7","25176.643","141510.72"
"44","D8","2","74968.64","23181.42","141049.02"
"45","D9","2","62257.24","19221.48","115290.16"
"46","D10","2","115890.516","25073.357","126274.62"
"47","D11","2","94160.7","21329.123","108602.125"
"48","D12","2","81449.53","19468.998","96829.68"
"49","E1","2","174187.42","32649.543","137549.03"
"50","E2","2","174332.02","31861.533","134957.78"
"51","E3","2","116759.65","22458.092","99576.14"
"52","E4","2","188637.69","29528.238","119031.43"
"53","E5","2","192143.72","29947.002","123108.914"
"54","E6","2","172639.22","26902.459","111075.086"
"55","E7","2","70449.69","24587.201","146237.48"
"56","E8","2","61690.613","20751.668","121816.58"
"57","E9","2","53739.344","19026.363","114990.13"
"58","E10","2","123863.54","26754.191","130573.93"
"59","E11","2","115232.2","25216.715","123944.016"
"60","E12","2","93907.445","22066.504","105443.766"
"61","F1","2","168960.97","32508.848","131212.84"
"62","F2","2","168627.47","31046.54","133457.9"
"63","F3","2","153514.6","26014.717","107978.85"
"64","F4","2","212636.69","29574.34","112315.34"
"65","F5","2","206426.33","29438.62","111371.81"
"66","F6","2","218071.8","29212.695","110403.945"
"67","F7","2","80672.72","25292.424","148528.19"
"68","F8","2","56052.586","17822.828","110625.5"
"69","F9","2","56991.57","17141.191","105452.195"
"70","F10","2","102420.49","20640.486","103951.64"
"71","F11","2","110362.25","24241.783","124212.55"
"72","F12","2","117983.586","25916.729","128329.18"
"73","G1","2","177888.45","33952.57","140408.86"
"74","G2","2","189110.5","34326.316","137596.19"
"75","G3","2","164192.28","29912.082","123127.81"
"76","G4","2","205811.75","30059.4","111619.26"
"77","G5","2","185586.8","27028.238","103057.37"
"78","G6","2","209980.6","29866.217","117721.375"
"79","G7","2","76151.15","23068.658","134099.62"
"80","G8","2","91328.07","25989.32","146490.17"
"81","G9","2","57425.27","16634.934","99020.03"
"82","G10","2","101174.6","22525.252","107884.85"
"83","G11","2","135864.77","27268.42","127156.234"
"84","G12","2","97681.42","23866.96","129198.68"
"85","H1","2","184529.06","35924.01","140597.89"
"86","H2","2","145826.95","28688.982","118832.03"
"87","H3","2","149221.97","28662.541","121797.77"
"88","H4","2","219038.98","34532.71","129742.47"
"89","H5","2","199419.08","31819.428","124603.14"
"90","H6","2","201820.7","30638.426","121112.64"
"91","H7","2","103318.33","25993.988","141974.55"
"92","H8","2","94915.7","24606.084","135235.19"
"93","H9","2","76900.67","18925.05","105198.805"
"94","H10","2","66863.945","21321.441","129348.07"
"95","H11","2","71772.77","22651.688","136497.64"
"96","H12","2","78024.67","19945.732","131362.86"
"1","A1","3","169046.23","31144.041","128200.97"
"2","A2","3","176568.64","31986.166","134247.27"
"3","A3","3","151447.23","29259.803","126272.695"
"4","A4","3","148085.55","27363.748","114149.17"
"5","A5","3","135775.3","26440.227","118293.11"
"6","A6","3","131596.77","26177.123","120668.75"
"7","A7","3","57464.133","21491.621","139734.95"
"8","A8","3","66169.5","24672.002","149967.06"
"9","A9","3","53167.355","20300.096","128356.85"
"10","A10","3","63356.55","18403.916","106080.555"
"11","A11","3","78727.51","21871.766","129455.945"
"12","A12","3","85095.74","25189.754","145378.52"
"13","B1","3","171353.48","33216.734","136153.0"
"14","B2","3","175560.67","32077.82","134114.42"
"15","B3","3","162501.72","28859.982","125324.83"
"16","B4","3","177756.61","29969.027","120997.64"
"17","B5","3","190676.61","31532.559","125468.09"
"18","B6","3","179798.67","29638.455","123885.25"
"19","B7","3","66181.516","22268.03","130622.56"
"20","B8","3","65965.28","21338.184","133990.28"
"21","B9","3","64870.754","20599.557","129581.19"
"22","B10","3","110727.55","23636.95","112519.09"
"23","B11","3","134083.58","23867.965","106626.336"
"24","B12","3","90499.65","21712.295","108578.69"
"25","C1","3","173186.48","31828.81","133728.84"
"26","C2","3","175705.4","32429.037","136573.72"
"27","C3","3","154929.84","28244.883","123822.125"
"28","C4","3","186982.92","30013.7","123690.03"
"29","C5","3","170515.28","27320.129","115894.4"
"30","C6","3","188896.12","30533.959","129202.055"
"31","C7","3","107020.03","27243.031","141506.14"
"32","C8","3","67420.67","22516.465","123274.9"
"33","C9","3","56765.285","20503.305","123093.95"
"34","C10","3","119855.84","26046.38","134688.7"
"35","C11","3","86582.625","18893.44","97532.945"
"36","C12","3","88406.57","19777.629","98864.05"
"37","D1","3","166621.8","32834.992","132094.38"
"38","D2","3","165314.08","31745.967","135695.5"
"39","D3","3","153817.58","28473.5","123214.05"
"40","D4","3","206000.81","31978.22","131908.64"
"41","D5","3","199313.25","31705.254","131637.66"
"42","D6","3","143953.4","21837.715","94183.4"
"43","D7","3","84990.82","25038.719","142272.92"
"44","D8","3","75422.27","23230.549","142320.69"
"45","D9","3","62870.566","18772.205","115631.37"
"46","D10","3","115431.38","25327.229","126968.336"
"47","D11","3","95103.79","21282.215","108882.25"
"48","D12","3","83311.125","19527.076","97795.08"
"49","E1","3","173796.12","33017.59","138016.03"
"50","E2","3","173777.03","31836.398","135596.5"
"51","E3","3","118134.06","22310.441","100181.95"
"52","E4","3","188776.69","29810.967","119631.66"
"53","E5","3","193887.47","29517.846","123262.53"
"54","E6","3","174413.44","26571.164","111784.4"
"55","E7","3","71118.66","24475.516","147101.94"
"56","E8","3","62642.332","20429.592","122862.76"
"57","E9","3","54103.94","18738.021","114947.36"
"58","E10","3","125196.78","26963.26","131451.77"
"59","E11","3","117241.48","24766.451","124540.88"
"60","E12","3","94887.484","21694.209","106314.24"
"61","F1","3","170609.61","32691.275","131992.6"
"62","F2","3","173967.47","31087.406","133696.84"
"63","F3","3","154782.23","26875.629","108611.74"
"64","F4","3","213343.7","29587.848","112242.48"
"65","F5","3","208719.9","29589.18","111748.85"
"66","F6","3","219117.19","29509.807","110418.5"
"67","F7","3","82302.99","26054.602","149526.2"
"68","F8","3","56397.68","18206.734","110755.76"
"69","F9","3","56763.184","17469.955","106002.54"
"70","F10","3","103083.055","21464.912","103969.805"
"71","F11","3","112059.89","24439.842","124739.195"
"72","F12","3","118512.92","27163.621","128891.27"
"73","G1","3","176170.34","34230.38","140570.39"
"74","G2","3","186947.39","34208.766","137711.05"
"75","G3","3","164632.67","29476.129","123559.8"
"76","G4","3","204279.6","29973.303","112249.83"
"77","G5","3","185805.0","27256.867","103189.88"
"78","G6","3","209866.39","30173.543","117217.15"
"79","G7","3","80164.5","24440.58","141673.16"
"80","G8","3","90905.66","26122.523","146914.98"
"81","G9","3","57244.344","16392.494","99376.64"
"82","G10","3","106270.91","23085.18","113123.75"
"83","G11","3","136051.36","26956.06","127866.016"
"84","G12","3","96243.44","23702.322","130064.91"
"85","H1","3","183436.27","35730.16","141668.69"
"86","H2","3","147065.23","29644.383","119218.516"
"87","H3","3","150117.14","28808.232","122593.19"
"88","H4","3","220646.89","35387.14","130479.03"
"89","H5","3","201710.2","32125.424","125065.06"
"90","H6","3","202088.19","30689.871","122504.13"
"91","H7","3","104710.24","26175.508","142929.52"
"92","H8","3","97669.12","24823.12","136711.72"
"93","H9","3","78359.98","19126.508","106592.1"
"94","H10","3","67667.74","21643.53","130187.29"
"95","H11","3","72704.3","23035.133","137327.98"
"96","H12","3","78274.88","19946.275","131388.92"
"1","A1","4","169642.2","31479.746","128623.69"
"2","A2","4","176528.92","31634.695","134978.12"
"3","A3","4","151202.98","29881.604","127274.22"
"4","A4","4","149281.75","27400.193","114888.58"
"5","A5","4","136315.11","26657.389","119196.31"
"6","A6","4","132894.22","26359.246","120718.1"
"7","A7","4","58128.324","22192.307","140604.77"
"8","A8","4","67209.32","24403.36","149967.22"
"9","A9","4","53788.703","20409.15","128650.48"
"10","A10","4","64018.51","18502.795","106329.266"
"11","A11","4","77821.38","22830.625","130242.81"
"12","A12","4","85384.91","25464.178","146582.58"
"13","B1","4","171576.78","33278.773","136168.33"
"14","B2","4","175768.28","33032.188","134246.39"
"15","B3","4","163649.67","29472.67","125330.19"
"16","B4","4","178699.17","29544.174","121462.35"
"17","B5","4","192015.52","31396.318","125507.03"
"18","B6","4","178835.17","29648.893","123458.31"
"19","B7","4","65139.203","22341.707","130844.69"
"20","B8","4","64600.086","22136.83","134228.27"
