# File Name: 2_AA_0883-0914.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 04:33:06 PM UTC
# Run End Date/Time: 2021-10-12 05:33:44 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 04:41:02 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 09:46:00 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA_0883","Unknown","3","-","0","","","",
"AA_0884","Unknown","3","-","0","","","",
"AA_0885","Unknown","3","-","0","35.66994626776312","1.5650050121517007","1.1066256566834027",
"AA_0886","Unknown","3","-","0","","","",
"AA_0887","Unknown","3","-","0","37.11772509052954","","",
"AA_0888","Unknown","3","-","0","","","",
"AA_0889","Unknown","3","-","0","38.349871264653764","","",
"AA_0890","Unknown","3","-","0","37.17585538807545","1.4097063958250715","0.9968129519699553",
"AA_0891","Unknown","3","-","0","","","",
"AA_0892","Unknown","3","-","0","","","",
"AA_0893","Unknown","3","-","0","","","",
"AA_0894","Unknown","3","-","0","","","",
"AA_0895","Unknown","3","-","0","","","",
"AA_0896","Unknown","3","-","0","32.83071829479851","0.2578738871809536","0.14888355818089877",
"AA_0897","Unknown","3","-","0","34.864237226178105","1.1982443044622748","0.8472866732034325",
"AA_0898","Unknown","3","-","0","","","",
"AA_0899","Unknown","3","-","0","","","",
"AA_0900","Unknown","3","-","0","28.919984260635612","0.1385871551048725","0.08001333130602256",
"AA_0901","Unknown","3","-","0","29.69420289030568","0.4765345576039638","0.2751273551108077",
"AA_0902","Unknown","3","-","0","32.47052870778942","0.04669180508767471","0.026957526236318533",
"AA_0903","Unknown","3","-","0","33.564996234461724","0.5552508922898447","0.32057425213132174",
"AA_0904","Unknown","3","-","0","39.82488533592233","","",
"AA_0905","Unknown","3","-","0","","","",
"AA_0906","Unknown","3","-","0","","","",
"AA_0907","Unknown","3","-","0","","","",
"AA_0908","Unknown","3","-","0","33.16754517397418","0.3672021508428547","0.21200426063613173",
"AA_0909","Unknown","3","-","0","","","",
"AA_0910","Unknown","3","-","0","","","",
"AA_0911","Unknown","3","-","0","33.922540638009146","0.2938386320455438","0.1696478133098061",
"AA_0912","Unknown","3","-","0","","","",
"AA_0913","Unknown","3","-","0","34.79481337202828","0.8961243004007177","0.5173776060637194",
"AA_0914","Unknown","3","-","0","36.86516747576069","1.7105676408868449","0.9875966879330831",
