# File Name: 3_AA_0915-0947.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 10:49:19 AM UTC
# Run End Date/Time: 2021-10-13 11:50:00 AM UTC
# Run Duration: 60 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 10:54:52 AM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 11:00:11 AM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","AA_0915","Unknown","UNKNOWN","FAM","None","Amp","1.31046563449529","","","34.451348568936254","0.9640910136850509","34.40310313069306","0.08439475549779976","true","0.09469942707454578","true","3","31"
"2","A2","false","AA_0915","Unknown","UNKNOWN","FAM","None","Amp","1.2641671289586718","","","34.45230679169441","0.9761771804475872","34.40310313069306","0.08439475549779976","true","0.09469942707454578","true","3","30"
"3","A3","false","AA_0915","Unknown","UNKNOWN","FAM","None","Amp","1.288574007007287","","","34.305654031448526","0.9813657600139937","34.40310313069306","0.08439475549779976","true","0.09469942707454578","true","3","31"
"4","A4","false","AA_0923","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"5","A5","false","AA_0923","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"6","A6","false","AA_0923","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"7","A7","false","AA_0931","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"8","A8","false","AA_0931","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"9","A9","false","AA_0931","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"10","A10","false","AA_0939","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"11","A11","false","AA_0939","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"12","A12","false","AA_0939","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"13","B1","false","AA_0916","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"14","B2","false","AA_0916","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"15","B3","false","AA_0916","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"16","B4","false","AA_0924","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"17","B5","false","AA_0924","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"18","B6","false","AA_0924","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"19","B7","false","AA_0932","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"20","B8","false","AA_0932","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"21","B9","false","AA_0932","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"22","B10","false","AA_0940","Unknown","UNKNOWN","FAM","None","Amp","1.3591658206461184","","","32.74732822440059","0.9621801195500653","32.510233149345716","0.3336016740956929","true","0.09469942707454578","true","3","28"
"23","B11","false","AA_0940","Unknown","UNKNOWN","FAM","None","Amp","1.357245998539991","","","32.654610545968595","0.9698537733005992","32.510233149345716","0.3336016740956929","true","0.09469942707454578","true","3","27"
"24","B12","false","AA_0940","Unknown","UNKNOWN","FAM","None","Amp","1.3850799893946732","","","32.12876067766797","0.9795427984733273","32.510233149345716","0.3336016740956929","true","0.09469942707454578","true","3","27"
"25","C1","false","AA_0917","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"26","C2","false","AA_0917","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"27","C3","false","AA_0917","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"28","C4","false","AA_0925","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
"29","C5","false","AA_0925","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09469942707454578","true","3","39"
