# File Name: Trouble-Shooting.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-10 11:07:18 AM UTC
# Run End Date/Time: 2021-10-10 12:07:55 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-14 09:25:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-14 09:26:20 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","210921.33","139336.73"
"1","A1","2","210941.05","139425.23"
"1","A1","3","211152.31","139662.19"
"1","A1","4","211399.9","140043.33"
"1","A1","5","212318.92","140118.33"
"1","A1","6","212550.39","140319.42"
"1","A1","7","212928.45","140336.94"
"1","A1","8","213100.56","140472.4"
"1","A1","9","213335.52","140394.48"
"1","A1","10","212987.1","140322.25"
"1","A1","11","212316.84","140483.58"
"1","A1","12","212058.0","140642.28"
"1","A1","13","212510.08","140773.12"
"1","A1","14","214859.2","140713.52"
"1","A1","15","215805.28","140552.22"
"1","A1","16","215938.48","140321.3"
"1","A1","17","217241.89","140240.02"
"1","A1","18","222481.44","140390.92"
"1","A1","19","230488.36","140418.22"
"1","A1","20","243603.38","140650.6"
"1","A1","21","264440.72","140621.52"
"1","A1","22","290461.62","140582.84"
"1","A1","23","320598.94","140479.25"
"1","A1","24","354019.56","140376.2"
"1","A1","25","386416.75","140401.17"
"1","A1","26","418817.03","140449.78"
"1","A1","27","451822.78","140360.17"
"1","A1","28","483007.16","140288.17"
"1","A1","29","512882.25","140290.8"
"1","A1","30","542121.1","140271.48"
"1","A1","31","571030.1","140452.31"
"1","A1","32","597643.8","140453.97"
"1","A1","33","623543.44","140562.75"
"1","A1","34","646016.3","140450.89"
"1","A1","35","665570.75","140187.12"
"1","A1","36","681752.75","140143.39"
"1","A1","37","698261.2","140457.25"
"1","A1","38","712331.56","140440.8"
"1","A1","39","723927.1","140352.3"
"1","A1","40","731636.25","140253.38"
"2","A2","1","183135.97","131733.84"
"2","A2","2","183406.23","131945.89"
"2","A2","3","184146.36","132589.84"
"2","A2","4","185040.9","132715.78"
"2","A2","5","184399.69","132977.67"
"2","A2","6","184277.62","133034.95"
"2","A2","7","185045.22","133086.83"
"2","A2","8","185293.7","133006.39"
"2","A2","9","185252.34","132970.36"
"2","A2","10","185459.83","132838.7"
"2","A2","11","185665.75","132653.81"
"2","A2","12","186667.44","132592.6"
"2","A2","13","186590.08","132795.02"
"2","A2","14","186584.3","132839.0"
"2","A2","15","187507.23","133110.83"
"2","A2","16","188405.97","133099.27"
"2","A2","17","191528.03","133079.47"
"2","A2","18","196591.55","132823.47"
"2","A2","19","204468.27","132763.73"
"2","A2","20","218191.88","133128.0"
"2","A2","21","239511.98","133196.23"
"2","A2","22","265941.0","133106.84"
"2","A2","23","294074.66","133145.77"
"2","A2","24","325817.4","133088.75"
"2","A2","25","359089.72","133015.17"
"2","A2","26","389895.3","133105.06"
"2","A2","27","420323.34","132879.95"
"2","A2","28","450904.53","132771.31"
"2","A2","29","480469.94","132916.12"
"2","A2","30","507676.4","132911.89"
"2","A2","31","534126.5","133063.92"
"2","A2","32","559214.94","133033.75"
"2","A2","33","582280.06","133005.44"
"2","A2","34","602748.1","132855.62"
"2","A2","35","622001.6","132600.06"
"2","A2","36","639976.9","132522.4"
"2","A2","37","654959.0","132727.61"
"2","A2","38","665816.2","132793.94"
