Mouse_ID,Longitude,Latitude,HI,Actin,GP60,COWP,MSC6,GST,CP56,SKSR,MEDLE,TRAP_C1
AA_0144,14.0828,52.7,0.87,,IXb.1,,MS1,G1,CP1,S1,ME1,
AA_0209,14.0672,52.4019,0.74,,IXb.1,,MS1,G1,CP1,S1,ME1,
AA_0282,13.5353,52.8969,0.17,,IXb.3,,MS2,G2,CP2,S1,ME1,
AA_0325,13.4408,53.0497,0.80,,IXb.1,,,,,,,
AA_0523,13.679507,51.676761,0.42,,IXb.3,,MS2,G2,,S1,ME1,
AA_0534,13.2829,52.9574,0.10,,IXb.2,C2,,,,,,
AA_0537,12.7797,52.7947,0.05,,IXb.2,C2,,,,,,
AA_0545,14.0678,52.3975,0.85,,IXb.1,C1,,,,,,
AA_0546,13.66,52.7369,0.10,,,C1,,,,,,T1
AA_0553,14.0908,52.8328,0.89,,IXb.1,C1,,,,,,
AA_0554,14.0908,52.8328,0.88,,IXb.1,C1,,,,,,
AA_0555,14.0908,52.8328,0.88,,,C1,,,,,,
AA_0557,14.0908,52.8328,0.95,,,C1,,,,,,
AA_0559,14.0678,52.3975,0.86,,,C1,,,,,,
AA_0571,13.3047,52.9936,0.10,,,C2,,,,,,T2
AA_0578,14.0922,52.2125,0.56,,,C1,,,,,,T1
AA_0580,14.0922,52.2125,0.75,,IXb.1,C1,,,,,,
AA_0585,13.3047,52.9936,0.04,,IXb.2,C2,,,,,,
AA_0589,14.0922,52.2125,0.55,,,C1,,,,,,
AA_0601,14.0908,52.8328,0.95,,,C1,,,,,,
AA_0660,14.1414,53.0783,0.84,,,C1,,,,,,
AA_0666,14.1414,53.0783,0.84,,,C1,,,,,,
AA_0667,14.0939,53.0706,0.84,,IXb.1,C1,MS1,,,,,
AA_0669,13.9106,52.9328,0.88,,,,,,,,,
AA_0679,14.0839,52.6081,0.75,,,C1,,,,,,
AA_0689,13.7325,52.9789,0.69,,IXb.1,,MS1,,,,,
AA_0793,13.9533,53.1422,0.87,,IXb.1,,MS1,,,,,
AA_0805,13.9533,53.1422,0.81,,IXb.1,,MS1,,,,,
AA_0900,14.0833,52.6967,0.87,,IXb.1,,MS1,G1,,S1,ME1,
