Mouse_ID,Location,Latitude,Longitude,Country,HI,GP60_ID,GP60_Subtype,GP60_Subtype_Protein,Actin_Subtype,COWP_Subtype,TRAP_C1_Subtype,MSC6_Subtype,GST_Subtype,SKSR_Subtype,MEDLE_Subtype,CP56_Subtype,Actin_ID,COWP_ID,TRAP-C1_ID
NZ_1633,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073447,IXb,IXb.B,A3,C2,T2,,,,,,JQ073413 A3,JQ073440,JQ073525
NZ_1634,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073448,IXb,IXb.B,,C2,T2,,,,,,,JQ073441,JQ073526
NZ_1635,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073449,IXb,IXb.B,,,T2,,,,,,,,JQ073527
NZ_1636,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073450,IXb,IXb.B,,,T2,,,,,,,,JQ073528
NZ_1639,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073451,IXb,IXb.B,,,T2,,,,,,,,JQ073529
NZ_1640,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073452,IXb,IXb.B,,,T2,,,,,,,JQ073444,JQ073530
NZ_1641,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073453,IXb,IXb.B,,C2,,,,,,,,JQ073445,
NZ_1642,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073454,IXb,IXb.B,,C2,,,,,,,,JQ073446,
NZ_1644,Christchurch,-43.5323369,172.6155362,New Zealand,NA,JQ073455,IXb,IXb.B,A3,,,,,,,,JQ073414 A3,,
G_2120,Lehsten,50.2502007,11.6570339,Germany,0.02,JQ073456,IXb,IXb.B,A2,C2,,,,,,,JQ073389,JQ073420,
G_2134,Wolfsbühl,49.02194261,10.40731901,Germany,0.06,JQ073457,IXb,IXb.B,A2,C2,T2,,,,,,JQ073388,JQ073423,JQ073534
G_2135,Straas,50.1785197,11.76864103,Germany,0.02,JQ073458,IXb,IXb.F,A2,C2,T2,,,,,,JQ073392,JQ073424,JQ073539
G_2116,Straas,50.1785197,11.76864103,Germany,0.02,JQ073459,IXb,IXb.B,,,,,,,,,,,
G_2136,Straas,50.1785197,11.76864103,Germany,0.02,JQ073460,IXb,IXb.C,A2,C2,T2,,,,,,JQ073398,JQ073425,JQ073533
G_2103,Hohenberg,50.10553691,12.1640977,Germany,0.09,JQ073461,IXb,IXb.E,A2,C2,T2,,,,,,JQ073399,JQ073428,JQ073542
CR_2125,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,JQ073462,IXa,IXa,A1,C1,T1,,,,,,JQ073407,JQ073434,JQ073550
CR_2149,Zihle,50.04396639,13.35678415,Czech Republic,0.97,JQ073463,IXa,IXa,A1,C1,T1,,,,,,JQ073406,JQ073435,JQ073547
CR_2128,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,JQ073464,IXa,IXa,A1,C1,T1,,,,,,JQ073408,JQ073433,JQ073549
CR_2085,Krasne Udoli,50.07245211,12.92013922,Czech Republic,0.97,JQ073465,IXa,IXa,A1,C1,T1,,,,,,JQ073411,JQ073436,JQ073553
CR_2126,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,JQ073466,IXa,IXa,A1,C1,,,,,,,JQ073409,JQ073437,
CR_2127,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,JQ073467,IXa,IXa,,,,,,,,,,,
G_2160,Braunersgrün,50.08506775,12.0988909,Germany,0.05,JQ073468,IXb,IXb.B,A2,C2,T2,,,,,,JQ073400,JQ073426,JQ073543
CR_2163,Hurka,49.76523304,14.65709881,Czech Republic,0.14,JQ073469,IXb,IXb.B,A2,C2,T2,,,,,,JQ073401,JQ073429,JQ073544
