Mouse_ID,Country,Longitude,Latitude,HI,GP60_Subtype,GP60_Ssp,COWP_Subtype,COWP_Ssp,MSC6_Subtype,GST_Subtype,CP56_Subtype,SKSR_Subtype,Actin_Subtype,TRAP_C1_Subtype,MEDLE_Subtype,GP60_ID,Actin_ID,COWP_ID,TRAP-C1_ID
G_2117,Germany,11.76864,50.17852,0.02,,,,,,,,,,,,,,,
G_2181,Germany,11.65703,50.25020,0.03,,,,,,,,,,,,,,,
G_2194,Germany,12.09889,50.08507,0.05,,,,,,,,,,,,,,,
G_2099,Germany,11.76864,50.17852,0.02,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073473,JQ073395,JQ073418,JQ073538
G_2110,Germany,11.65703,50.25020,0.02,,,C2,C2,,,,,A2,T2,,,JQ073397,JQ073415,JQ073532
G_2116,Germany,11.76864,50.17852,0.02,IXb,IXb.2,,,,,,,,,,JQ073459,,,
G_2120,Germany,11.65703,50.25020,0.02,IXb,IXb.2,C2,C2,,,,,A2,,,JQ073456,JQ073389,JQ073420,
G_2135,Germany,11.76864,50.17852,0.02,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073458,JQ073392,JQ073424,JQ073539
G_2136,Germany,11.76864,50.17852,0.02,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073460,JQ073398,JQ073425,JQ073533
G_2177,Germany,11.76864,50.17852,0.02,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073476,JQ073390,JQ073421,JQ073536
G_2179,Germany,11.76864,50.17852,0.02,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073477,JQ073391,JQ073419,JQ073535
G_3224,Germany,11.65703,50.25020,0.02,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073470,JQ073394,JQ073422,JQ073531
G_2108,Germany,12.03835,50.11729,0.03,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073474,JQ073396,JQ073416,JQ073537
AA_0585,Germany,13.30470,52.99360,0.04,IXb,IXb.2,C2,C2,,,,,,,,,,,
G_2169,Germany,12.03835,50.11729,0.04,IXb,IXb.2,C2,C2,,,,,A2,,,JQ073475,JQ073393,JQ073417,
AA_0537,Germany,12.77970,52.79470,0.05,IXb,IXb.2,C2,C2,,,,,,,,,,,
G_2160,Germany,12.09889,50.08507,0.05,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073468,JQ073400,JQ073426,JQ073543
G_2174,Germany,12.13393,50.08761,0.05,IXb,IXb.2,C2,C2,,,,,,T2,,JQ073482,,JQ073427,JQ073541
G_2134,Germany,10.40732,49.02194,0.06,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073457,JQ073388,JQ073423,JQ073534
G_2103,Germany,12.16410,50.10554,0.09,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073461,JQ073399,JQ073428,JQ073542
AA_0534,Germany,13.28290,52.95740,0.10,IXb,IXb.2,C2,C2,,,,,,,,,,,
AA_0546,Germany,13.66000,52.73690,0.10,,,C1,C1,,,,,,T1,,,,,
AA_0571,Germany,13.30470,52.99360,0.10,,,C2,C2,,,,,,T2,,,,,
CR_2163,Czech Republic,14.65710,49.76523,0.14,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073469,JQ073401,JQ073429,JQ073544
CR_4293,Czech Republic,14.65710,49.76523,0.14,IXb,IXb.2,C2,C2,,,,,A2,T2,,JQ073481,JQ073402,JQ073430,JQ073546
AA_0282,Germany,13.53530,52.89690,0.17,IXb,IXb.3,,,MS2,G2,CP2,S2,,,ME,,,,
AA_0523,Germany,13.67951,51.67676,0.42,IXb,IXb.3,,,MS2,G2,,S2,,,ME,,,,
AA_0589,Germany,14.09220,52.21250,0.55,,,C1,C1.1,,,,,,,,,,,
AA_0578,Germany,14.09220,52.21250,0.56,,,C1,C1,,,,,,T1,,,,,
