"","X","Mouse_ID","qPCR_Date","Tested_by","Machine","Measurements","Ct_mean_Ep","Ct_mean_ABI","Ct_mean","Oocyst_Predict","Crypto_Positive","ILWE_Tissue_used_up","ILWE_DNA_Content_ng.microliter","Sex","Longitude","Latitude","Year","HI_NLoci","HI","mus_caught","Crypto_mus_caught","Top_Location","Infection_Rate"
"1",825,"AA_0948",NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,314.8,"M",13.2125,52.9461,2021,NA,NA,7,0,FALSE,0
"2",826,"AA_0904",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,49.8,"F",14.0833,52.6967,2021,NA,NA,5,0,FALSE,0
"3",827,"AA_0914",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,1052.3,"M",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
"4",828,"AA_0939",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,85.3,"F",13.7328,52.9787,2021,NA,NA,10,1,FALSE,0.1
"5",829,"AA_0899",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,330.6,"F",14.1264,52.735,2021,NA,NA,6,0,FALSE,0
"6",830,"AA_0896",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,327.5,"F",14.0953,52.7392,2021,NA,NA,12,2,FALSE,0.166666666666667
"7",831,"AA_0909",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,300.2,"M",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
"8",832,"AA_0858",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,215,"M",13.5558,52.9206,2021,NA,NA,6,0,FALSE,0
"9",833,"AA_0873",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,128.6,"M",13.6763,52.4979,2021,NA,NA,5,0,FALSE,0
"10",834,"AA_0874",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,259.6,"M",13.6763,52.4979,2021,NA,NA,5,0,FALSE,0
"11",835,"AA_0911",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,338.9,"F",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
"12",836,"AA_0928",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,332.4,"M",13.7316,52.9757,2021,NA,NA,9,0,FALSE,0
"13",837,"AA_0938",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,533.2,"M",13.7328,52.9787,2021,NA,NA,10,1,FALSE,0.1
"14",838,"AA_0920",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,77.4,"F",13.7549,52.9751,2021,NA,NA,15,0,FALSE,0
"15",839,"AA_0885",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,301.1,"F",13.6599,52.7371,2021,NA,NA,11,0,FALSE,0
"16",840,"AA_0900",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,272.3,"M",14.0833,52.6967,2021,NA,NA,5,0,FALSE,0
"17",841,"AA_0891",NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,338.9,"F",13.6599,52.7371,2021,NA,NA,11,0,FALSE,0
