Mouse_ID,Location,Latitude,Longitude,Country,HI,GP60_Subtype_Original,GP60_Subtype,GP60,Actin_Subtype,COWP_Subtype,TRAP-C1_Subtype,Actin_ID,COWP_ID,TRAP-C1_ID
CR2084,Krasne Udoli,50.07245211,12.92013922,Czech Republic,0.98,IXa,IXa.II,JQ073471,A1,C1,T1,JQ073410,JQ073432,JQ073552
CR2085,Krasne Udoli,50.07245211,12.92013922,Czech Republic,0.97,IXa,IXa,JQ073465,A1,C1,T1,JQ073411,JQ073436,JQ073553
CR2090,Buskovice,49.50198911,16.65832349,Czech Republic,0.97,IXa,IXa.II,JQ073472,A1,C1,T1,JQ073412,JQ073431,JQ073548
CR2125,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,IXa.I,JQ073462,A1,C1,T1,JQ073407,JQ073434,JQ073550
CR2126,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,IXa,JQ073466,A1,C1,,JQ073409,JQ073437,
CR2127,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,IXa,JQ073467,,,,,,
CR2128,Prilezy,50.09187581,12.94090966,Czech Republic,0.97,IXa,IXa.I,JQ073464,A1,C1,T1,JQ073408,JQ073433,JQ073549
CR2147,,,,Czech Republic,,IXb,IXb,JQ073480,,,,JQ073403,,JQ073545
CR2149,Zihle,50.04396639,13.35678415,Czech Republic,0.97,IXa,IXa.II,JQ073463,A1,C1,T1,JQ073406,JQ073435,JQ073547
CR2152,Buskovice,49.50198911,16.65832349,Czech Republic,0.97,IXa,IXa,,,,T1,,,JQ073554
CR2163,Hurka,49.76523304,14.65709881,Czech Republic,0.14,IXb,IXb.V,JQ073469,A2,C2,T2,JQ073401,JQ073429,JQ073544
CR2206,Verusicky,50.14816633,13.14419143,Czech Republic,0.97,IXa,IXa.II,JQ073478,A1,C1,T1,JQ073404,JQ073438,JQ073551
CR2208,Verusicky,50.14816633,13.14419143,Czech Republic,0.97,IXa,IXa.II,JQ073479,A1,C1,T1,JQ073405,JQ073439,JQ073555
CR3175,Kvetna,49.72946055,16.36703899,Czech Republic,0.99,IXa,IXa,,,,,,,
CR4293,Hurka,49.76523304,14.65709881,Czech Republic,0.14,IXb,IXb.V,JQ073481,A2,C2,T2,JQ073402,JQ073430,JQ073546
G2099,Straas,50.1785197,11.76864103,Germany,0.02,IXb,IXb.I,JQ073473,A2,C2,T2,JQ073395,JQ073418,JQ073538
G2103,Hohenberg,50.10553691,12.1640977,Germany,0.09,IXb,IXb.V,JQ073461,A2,C2,T2,JQ073399,JQ073428,JQ073542
G2108,Hebanz,50.11729136,12.03834731,Germany,0.03,IXb,IXb.III,JQ073474,A2,C2,T2,JQ073396,JQ073416,JQ073537
G2110,Lehsten,50.2502007,11.6570339,Germany,0.02,IXb,IXb,,A2,C2,T2,JQ073397,JQ073415,JQ073532
G2116,Straas,50.1785197,11.76864103,Germany,0.02,IXb,IXb,JQ073459,,,,,,
G2117,Straas,50.1785197,11.76864103,Germany,0.02,IXb,IXb,,,,,,,
G2120,Lehsten,50.2502007,11.6570339,Germany,0.02,IXb,IXb,JQ073456,A2,C2,,JQ073389,JQ073420,
G2134,Wolfsbühl,49.02194261,10.40731901,Germany,0.06,IXb,IXb.V,JQ073457,A2,C2,T2,JQ073388,JQ073423,JQ073534
G2135,Straas,50.1785197,11.76864103,Germany,0.02,IXb,IXb.I,JQ073458,A2,C2,T2,JQ073392,JQ073424,JQ073539
G2136,Straas,50.1785197,11.76864103,Germany,0.02,IXb,IXb.IV,JQ073460,A2,C2,T2,JQ073398,JQ073425,JQ073533
G2160,Braunersgrün,50.08506775,12.0988909,Germany,0.05,IXb,IXb.V,JQ073468,A2,C2,T2,JQ073400,JQ073426,JQ073543
G2169,Hebanz,50.11729136,12.03834731,Germany,0.04,IXb,IXb,JQ073475,A2,C2,,JQ073393,JQ073417,
