# File Name: Plate_4.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 12:05:36 PM UTC
# Run End Date/Time: 2021-05-27 01:06:15 PM UTC
# Run Duration: 60 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 12:45:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:47:56 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","154858.48","133871.92"
"1","A1","2","154979.02","133952.47"
"1","A1","3","155551.19","134795.33"
"1","A1","4","155842.0","134992.03"
"1","A1","5","156886.17","135285.42"
"1","A1","6","157615.0","135397.5"
"1","A1","7","157740.05","135251.92"
"1","A1","8","157454.02","135173.69"
"1","A1","9","156642.88","135323.98"
"1","A1","10","155820.42","135165.3"
"1","A1","11","155614.67","135046.39"
"1","A1","12","155715.27","135125.58"
"1","A1","13","155883.48","135103.14"
"1","A1","14","156642.31","134764.39"
"1","A1","15","156439.56","134683.64"
"1","A1","16","156425.77","134971.95"
"1","A1","17","157386.55","135000.38"
"1","A1","18","158699.25","134949.92"
"1","A1","19","160234.16","135023.33"
"1","A1","20","163481.16","135275.97"
"1","A1","21","170643.17","135253.7"
"1","A1","22","181456.81","135135.34"
"1","A1","23","200462.81","135024.5"
"1","A1","24","229023.34","134710.17"
"1","A1","25","267613.78","134627.48"
"1","A1","26","315096.28","134851.94"
"1","A1","27","366149.72","134857.61"
"1","A1","28","417606.78","134926.08"
"1","A1","29","467930.75","134868.28"
"1","A1","30","515254.25","134820.86"
"1","A1","31","558672.06","134647.02"
"1","A1","32","596583.6","134592.36"
"1","A1","33","629240.3","134839.38"
"1","A1","34","656876.4","134980.6"
"1","A1","35","678499.94","134926.52"
"1","A1","36","694790.94","135008.1"
"1","A1","37","707899.44","135233.48"
"1","A1","38","717443.1","135142.83"
"1","A1","39","724716.0","134900.16"
"1","A1","40","728742.3","134764.44"
"2","A2","1","151025.83","140947.1"
"2","A2","2","152185.7","141195.39"
"2","A2","3","153189.97","141882.69"
"2","A2","4","153426.77","142199.8"
"2","A2","5","153914.03","142244.62"
"2","A2","6","153980.78","142585.53"
"2","A2","7","154083.98","143124.52"
"2","A2","8","154206.27","143194.7"
"2","A2","9","154349.44","143262.42"
"2","A2","10","154364.02","143299.3"
"2","A2","11","154402.9","143250.5"
"2","A2","12","154872.27","142956.48"
"2","A2","13","154993.0","142812.3"
"2","A2","14","155635.7","142981.81"
"2","A2","15","155642.12","143082.25"
"2","A2","16","155674.47","143058.14"
"2","A2","17","155822.8","142940.03"
"2","A2","18","157340.2","142962.06"
"2","A2","19","159080.72","142959.97"
"2","A2","20","162235.83","142796.5"
"2","A2","21","170044.97","142570.4"
"2","A2","22","182106.33","142539.67"
"2","A2","23","203233.53","143078.08"
"2","A2","24","234201.36","143444.78"
"2","A2","25","277029.25","143445.67"
"2","A2","26","327534.06","143385.47"
"2","A2","27","382268.4","143246.31"
"2","A2","28","438235.38","143277.1"
"2","A2","29","490821.22","143450.39"
"2","A2","30","541380.0","143184.52"
"2","A2","31","586860.7","143066.28"
"2","A2","32","626488.94","143342.98"
"2","A2","33","662924.1","143391.84"
"2","A2","34","691807.0","143736.61"
"2","A2","35","713605.8","143659.98"
"2","A2","36","731631.3","143536.4"
"2","A2","37","745954.6","143692.38"
"2","A2","38","755594.94","143651.66"
"2","A2","39","763588.2","143763.66"
"2","A2","40","769990.5","143811.06"
"3","A3","1","136375.55","134286.86"
"3","A3","2","136449.12","134405.67"
"3","A3","3","137418.55","135042.88"
"3","A3","4","138505.77","135394.69"
"3","A3","5","139422.28","135505.08"
"3","A3","6","139853.58","136010.94"
"3","A3","7","140071.58","136228.73"
"3","A3","8","139325.69","136275.69"
"3","A3","9","139267.11","136182.86"
"3","A3","10","140320.19","136247.11"
"3","A3","11","140604.86","136429.81"
"3","A3","12","141232.95","136499.73"
"3","A3","13","141289.6","136443.7"
"3","A3","14","141483.1","136429.81"
"3","A3","15","141482.64","136434.86"
"3","A3","16","141644.78","136858.98"
"3","A3","17","141781.31","136920.56"
"3","A3","18","143242.33","137167.86"
"3","A3","19","145766.48","137049.27"
"3","A3","20","149556.53","136919.03"
"3","A3","21","156272.64","137051.75"
"3","A3","22","167836.17","137035.56"
"3","A3","23","187369.69","137270.6"
"3","A3","24","217111.34","137187.5"
"3","A3","25","257875.7","137071.58"
"3","A3","26","307565.78","136967.58"
"3","A3","27","360527.78","137124.17"
"3","A3","28","416499.84","137224.72"
"3","A3","29","469717.6","137471.22"
"3","A3","30","519125.9","137458.05"
"3","A3","31","564244.6","137356.22"
"3","A3","32","604150.9","137601.03"
"3","A3","33","637979.75","137804.42"
"3","A3","34","667376.5","137696.98"
"3","A3","35","690391.44","137644.81"
"3","A3","36","708516.5","137499.4"
"3","A3","37","721754.7","137468.81"
"3","A3","38","729441.6","137518.5"
"3","A3","39","737927.8","137785.02"
"3","A3","40","743649.44","137836.14"
"4","A4","1","130433.54","116254.07"
"4","A4","2","130909.875","116503.75"
"4","A4","3","131357.23","117003.64"
"4","A4","4","131578.95","117204.055"
"4","A4","5","132824.52","117292.984"
"4","A4","6","133742.89","117294.07"
"4","A4","7","133251.45","117258.164"
"4","A4","8","132933.47","117194.9"
"4","A4","9","132850.98","117305.46"
"4","A4","10","132922.62","117399.76"
"4","A4","11","133617.77","117696.87"
"4","A4","12","133953.17","117797.41"
"4","A4","13","134383.0","117721.914"
"4","A4","14","134284.45","117785.05"
"4","A4","15","134007.55","117831.016"
"4","A4","16","133681.92","117960.664"
"4","A4","17","133588.92","117917.305"
"4","A4","18","134028.88","117729.44"
"4","A4","19","134023.89","117608.93"
"4","A4","20","134096.95","117690.75"
"4","A4","21","133980.5","117758.52"
"4","A4","22","133958.02","117953.26"
"4","A4","23","133732.11","118157.99"
"4","A4","24","133414.45","117700.125"
"4","A4","25","132918.62","117555.77"
"4","A4","26","132848.77","117888.73"
"4","A4","27","133591.28","117983.97"
"4","A4","28","134023.86","117832.25"
"4","A4","29","133689.4","117604.6"
"4","A4","30","131781.03","117439.8"
