# File Name: 2_AA_0883-0914.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 04:33:06 PM UTC
# Run End Date/Time: 2021-10-12 05:33:44 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 04:41:02 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 09:46:00 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","146226.66","111783.32"
"1","A1","2","146491.89","112086.36"
"1","A1","3","148234.31","112235.516"
"1","A1","4","148690.66","112267.805"
"1","A1","5","148629.1","112379.23"
"1","A1","6","149057.44","112604.35"
"1","A1","7","149701.5","112393.24"
"1","A1","8","148583.02","112298.37"
"1","A1","9","148397.75","112456.86"
"1","A1","10","149600.45","112414.32"
"1","A1","11","150431.17","112352.94"
"1","A1","12","150295.92","112388.94"
"1","A1","13","149937.97","112777.17"
"1","A1","14","149358.3","112541.266"
"1","A1","15","149374.08","112364.07"
"1","A1","16","150365.12","112287.68"
"1","A1","17","150011.25","112278.55"
"1","A1","18","149887.28","112549.8"
"1","A1","19","150590.4","112516.78"
"1","A1","20","150632.77","112397.77"
"1","A1","21","150440.42","112337.59"
"1","A1","22","150271.28","112487.6"
"1","A1","23","150334.72","112465.37"
"1","A1","24","150181.36","112097.46"
"1","A1","25","150085.67","111993.91"
"1","A1","26","150195.64","112161.03"
"1","A1","27","150676.36","112137.53"
"1","A1","28","151024.81","112159.336"
"1","A1","29","150849.86","112283.74"
"1","A1","30","150524.0","112257.49"
"1","A1","31","150533.45","112290.21"
"1","A1","32","151446.42","112307.19"
"1","A1","33","151280.56","112539.99"
"1","A1","34","150132.86","112337.35"
"1","A1","35","149926.22","112107.32"
"1","A1","36","150875.72","111792.24"
"1","A1","37","151401.06","111684.98"
"1","A1","38","151535.81","111763.55"
"1","A1","39","152865.97","111963.375"
"1","A1","40","155146.55","111947.65"
"2","A2","1","143037.7","115055.664"
"2","A2","2","143216.9","115533.625"
"2","A2","3","144153.69","115813.06"
"2","A2","4","145103.11","115825.43"
"2","A2","5","145553.52","115874.94"
"2","A2","6","145720.38","115894.02"
"2","A2","7","146316.5","115345.69"
"2","A2","8","145974.23","115237.31"
"2","A2","9","146062.56","115646.83"
"2","A2","10","147419.42","115727.72"
"2","A2","11","147458.16","115696.85"
"2","A2","12","146721.67","115960.86"
"2","A2","13","146534.31","116043.305"
"2","A2","14","146959.55","115666.47"
"2","A2","15","146710.14","115516.56"
"2","A2","16","146450.19","115607.96"
"2","A2","17","146320.64","115625.24"
"2","A2","18","146193.56","115881.48"
"2","A2","19","146280.47","115785.44"
"2","A2","20","146298.08","115458.414"
"2","A2","21","146793.6","115360.84"
"2","A2","22","146926.52","115535.57"
"2","A2","23","146943.72","115592.305"
"2","A2","24","146859.69","115865.72"
"2","A2","25","146509.14","115617.26"
"2","A2","26","146461.89","115508.26"
"2","A2","27","147251.23","115695.78"
"2","A2","28","147710.9","115595.086"
"2","A2","29","147402.75","115299.445"
"2","A2","30","146201.9","115192.516"
"2","A2","31","145968.12","115344.23"
"2","A2","32","146441.69","115548.3"
"2","A2","33","145490.9","115510.68"
"2","A2","34","145412.52","115347.625"
"2","A2","35","146653.17","115239.48"
"2","A2","36","146790.47","115173.33"
"2","A2","37","146710.44","114928.62"
"2","A2","38","146755.95","114825.055"
"2","A2","39","146423.0","114888.58"
"2","A2","40","146181.81","115044.516"
"3","A3","1","126538.76","106814.35"
"3","A3","2","127140.61","107042.27"
"3","A3","3","127963.37","107409.1"
"3","A3","4","128073.91","107406.37"
"3","A3","5","128475.98","107453.5"
"3","A3","6","128835.13","107606.875"
"3","A3","7","129002.516","107537.28"
"3","A3","8","128878.07","107554.75"
"3","A3","9","128844.734","107956.016"
"3","A3","10","129025.3","107767.1"
"3","A3","11","129299.64","107678.21"
"3","A3","12","129971.1","107948.67"
"3","A3","13","129723.64","107955.875"
"3","A3","14","128560.74","107628.266"
"3","A3","15","128509.414","107459.34"
"3","A3","16","129902.44","107426.1"
"3","A3","17","130327.45","107572.35"
"3","A3","18","130392.36","107771.72"
"3","A3","19","129626.35","107534.81"
"3","A3","20","129135.84","107379.914"
"3","A3","21","128516.82","107316.516"
"3","A3","22","128636.87","107269.59"
"3","A3","23","130147.34","107412.766"
"3","A3","24","130283.086","107462.17"
"3","A3","25","129750.836","106949.42"
"3","A3","26","129558.15","106799.625"
"3","A3","27","129817.984","106924.01"
"3","A3","28","129733.086","107049.17"
"3","A3","29","129730.49","107116.73"
"3","A3","30","129738.91","107065.2"
"3","A3","31","129155.945","107092.39"
"3","A3","32","128845.16","107294.836"
"3","A3","33","128708.414","107274.87"
"3","A3","34","128651.91","107256.68"
"3","A3","35","128993.18","107236.734"
"3","A3","36","128977.07","107054.31"
"3","A3","37","129394.39","106750.055"
"3","A3","38","130664.81","106588.59"
"3","A3","39","130936.58","106555.266"
"3","A3","40","131491.53","106595.74"
"4","A4","1","138377.19","100677.234"
