# File Name: 3_AA_0915-0947.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 10:49:19 AM UTC
# Run End Date/Time: 2021-10-13 11:50:00 AM UTC
# Run Duration: 60 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 10:54:52 AM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 11:00:11 AM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","106117.35","126031.64"
"1","A1","2","106192.1","126155.07"
"1","A1","3","106413.21","126278.11"
"1","A1","4","107141.164","126507.13"
"1","A1","5","106713.97","126845.67"
"1","A1","6","106359.32","127125.125"
"1","A1","7","106584.96","127278.07"
"1","A1","8","107856.42","127827.06"
"1","A1","9","108266.875","127900.016"
"1","A1","10","108618.34","128063.4"
"1","A1","11","108759.68","128192.14"
"1","A1","12","108761.88","128376.07"
"1","A1","13","107936.54","128288.68"
"1","A1","14","108070.68","128199.25"
"1","A1","15","109544.38","128141.16"
"1","A1","16","108651.734","128311.43"
"1","A1","17","108583.734","128203.0"
"1","A1","18","110076.375","128040.68"
"1","A1","19","110330.79","128006.47"
"1","A1","20","110031.375","128116.984"
"1","A1","21","109673.46","128284.56"
"1","A1","22","109652.23","128036.35"
"1","A1","23","110381.65","127945.45"
"1","A1","24","110420.516","128251.555"
"1","A1","25","110198.72","128112.39"
"1","A1","26","109217.22","127959.53"
"1","A1","27","109159.58","128043.62"
"1","A1","28","110510.09","128228.84"
"1","A1","29","111129.49","128307.64"
"1","A1","30","111235.73","128200.86"
"1","A1","31","111986.28","128095.836"
"1","A1","32","112552.836","127716.9"
"1","A1","33","115336.41","127600.52"
"1","A1","34","119796.266","127907.97"
"1","A1","35","129146.53","127938.41"
"1","A1","36","143549.4","127551.59"
"1","A1","37","166886.88","127392.61"
"1","A1","38","195580.69","127513.28"
"1","A1","39","225448.19","127746.9"
"1","A1","40","252086.36","128553.13"
"2","A2","1","94033.69","134239.6"
"2","A2","2","94412.84","134328.02"
"2","A2","3","94573.46","135038.05"
"2","A2","4","94643.65","135709.03"
"2","A2","5","95212.59","136005.02"
"2","A2","6","95374.875","136027.12"
"2","A2","7","95807.18","135988.28"
"2","A2","8","95793.3","135954.77"
"2","A2","9","95856.46","136272.75"
"2","A2","10","96215.266","136455.52"
"2","A2","11","95749.516","136491.11"
"2","A2","12","95670.21","136366.89"
"2","A2","13","96295.46","136249.69"
"2","A2","14","96168.35","136450.44"
"2","A2","15","95818.516","136897.23"
"2","A2","16","95155.41","136902.89"
"2","A2","17","95219.13","136721.66"
"2","A2","18","96554.53","136556.22"
"2","A2","19","96829.91","136518.11"
"2","A2","20","95240.234","136500.72"
"2","A2","21","95046.766","136430.7"
"2","A2","22","96167.57","136320.53"
"2","A2","23","95994.22","136246.95"
"2","A2","24","95808.56","136494.61"
"2","A2","25","95959.48","136629.03"
"2","A2","26","96051.96","136607.48"
"2","A2","27","96672.21","136454.36"
