# File Name: 3_AA_0915-0947.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 10:49:19 AM UTC
# Run End Date/Time: 2021-10-13 11:50:00 AM UTC
# Run Duration: 60 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 10:54:52 AM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 11:00:11 AM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","AA_0915","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.451348568936254","34.40310313069306","0.9640910136850509","0.08439475549779976","","","true","0.09469942707454578","true","3","31","","","","","","","","","","","false"
"2","A2","AA_0915","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.45230679169441","34.40310313069306","0.9761771804475872","0.08439475549779976","","","true","0.09469942707454578","true","3","30","","","","","","","","","","","false"
"3","A3","AA_0915","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.305654031448526","34.40310313069306","0.9813657600139937","0.08439475549779976","","","true","0.09469942707454578","true","3","31","","","","","","","","","","","false"
"4","A4","AA_0923","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"5","A5","AA_0923","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"6","A6","AA_0923","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"7","A7","AA_0931","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"8","A8","AA_0931","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"9","A9","AA_0931","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"10","A10","AA_0939","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"11","A11","AA_0939","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0939","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"13","B1","AA_0916","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"14","B2","AA_0916","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"15","B3","AA_0916","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"16","B4","AA_0924","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"17","B5","AA_0924","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"18","B6","AA_0924","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"19","B7","AA_0932","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"20","B8","AA_0932","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"21","B9","AA_0932","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"22","B10","AA_0940","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.74732822440059","32.510233149345716","0.9621801195500653","0.3336016740956929","","","true","0.09469942707454578","true","3","28","","","","","","","","","","","false"
"23","B11","AA_0940","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.654610545968595","32.510233149345716","0.9698537733005992","0.3336016740956929","","","true","0.09469942707454578","true","3","27","","","","","","","","","","","false"
"24","B12","AA_0940","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.12876067766797","32.510233149345716","0.9795427984733273","0.3336016740956929","","","true","0.09469942707454578","true","3","27","","","","","","","","","","","false"
"25","C1","AA_0917","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"26","C2","AA_0917","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"27","C3","AA_0917","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"28","C4","AA_0925","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"29","C5","AA_0925","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"30","C6","AA_0925","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"31","C7","AA_0933","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"32","C8","AA_0933","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"33","C9","AA_0933","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.09469942707454578","true","3","39","","","","","","","","","","","false"
"34","C10","AA_0942","","Unknown","FAM","UNKNOWN","FAM","None","Amp","31.340444358070236","31.54415918493846","0.9563337346427558","0.26701515743877474","","","true","0.09469942707454578","true","3","27","","","","","","","","","","","false"
"35","C11","AA_0942","","Unknown","FAM","UNKNOWN","FAM","None","Amp","31.846446876244265","31.54415918493846","0.9669904531269765","0.26701515743877474","","","true","0.09469942707454578","true","3","28","","","","","","","","","","","false"
"36","C12","AA_0942","","Unknown","FAM","UNKNOWN","FAM","None","Amp","31.445586320500873","31.54415918493846","0.9883299578384347","0.26701515743877474","","","true","0.09469942707454578","true","3","28","","","","","","","","","","","false"
"37","D1","AA_0918","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.34959131832373","37.14848888856603","0.9512863168970834","0.3942691439700734","","","true","0.09469942707454578","true","3","33","","","","","","","","","","","false"
"38","D2","AA_0918","","Unknown","FAM","UNKNOWN","FAM","None","Amp","37.40165580645102","37.14848888856603","0.9253417781639707","0.3942691439700734","","","true","0.09469942707454578","true","3","33","","","","","","","","","","","false"
