"","Mouse_ID","qPCR_Date","Tested_by","Machine","Measurements","Ct_mean_Ep","Ct_mean_ABI","Ct_mean","Oocyst_Predict","Crypto_Positive","ILWE_DNA_Content_ng.microliter","ILWE_used_up","Sex","Longitude","Latitude","Year","HI","mus_caught","Crypto_mus_caught","Infection_Rate","Address","Top_Location"
"1","AA_0048","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.72,12,1,0.0833333333333333,NA,FALSE
"2","AA_0049","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.85,12,1,0.0833333333333333,NA,FALSE
"3","AA_0050","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.7,12,1,0.0833333333333333,NA,FALSE
"4","AA_0051","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.9289,52.5028,2016,0.76,4,1,0.25,NA,FALSE
"5","AA_0052","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.9289,52.5028,2016,0.5789474,4,1,0.25,NA,FALSE
"6","AA_0053","2016","YVT","Eppendorf",1,34.16,NA,34.16,385,TRUE,NA,NA,"F",13.9289,52.5028,2016,0.6086957,4,1,0.25,NA,FALSE
"7","AA_0054","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.9289,52.5028,2016,0.7083333,4,1,0.25,NA,FALSE
"8","AA_0055","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.3064,52.91,2016,0,3,1,0.333333333333333,NA,FALSE
"9","AA_0056","2016","YVT","Eppendorf",1,30.395,NA,30.395,4935,TRUE,NA,NA,"F",13.3064,52.91,2016,0.08,3,1,0.333333333333333,NA,FALSE
"10","AA_0057","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.3064,52.91,2016,0,3,1,0.333333333333333,NA,FALSE
"11","AA_0058","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1158,52.8431,2016,0.9166666667,3,0,0,NA,FALSE
"12","AA_0059","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",14.1158,52.8431,2016,0.85,3,0,0,NA,FALSE
"13","AA_0060","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",14.1158,52.8431,2016,0.84,3,0,0,NA,FALSE
"14","AA_0061","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.5953,52.2742,2016,0,3,0,0,NA,FALSE
"15","AA_0062","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.5953,52.2742,2016,0.04,3,0,0,NA,FALSE
"16","AA_0063","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"M",13.84,52.2678,2016,0.1,6,0,0,NA,FALSE
"17","AA_0065","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.4642,52.4164,2016,0,2,0,0,NA,FALSE
"18","AA_0067","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.4642,52.4164,2016,0.1,2,0,0,NA,FALSE
"19","AA_0071","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6,52.8425,2016,0.04,1,0,0,NA,FALSE
"20","AA_0072","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"21","AA_0073","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"22","AA_0074","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"23","AA_0075","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.3047,52.9936,2016,0,21,3,0.142857142857143,"Mildenberger Str. 1, 16792 Zehdenick",TRUE
"24","AA_0076","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7072,52.2422,2016,0.05,3,0,0,NA,FALSE
"25","AA_0077","6/18/2021","YVT-Tes","Eppendorf + Quantstudio1",2,0,0,0,0,FALSE,NA,NA,"F",13.5883,52.2156,2016,0,2,1,0.5,NA,FALSE
"26","AA_0078","2016","YVT","Eppendorf",1,29.85,NA,29.85,7138,TRUE,NA,NA,"F",13.5883,52.2156,2016,0,2,1,0.5,NA,FALSE
"27","AA_0079","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.84,52.2678,2016,0.1,6,0,0,NA,FALSE
"28","AA_0081","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.84,52.2678,2016,0.05,6,0,0,NA,FALSE
"29","AA_0082","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.84,52.2678,2016,0,6,0,0,NA,FALSE
"30","AA_0083","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.9130434783,12,1,0.0833333333333333,NA,FALSE
"31","AA_0084","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.5,12,1,0.0833333333333333,NA,FALSE
"32","AA_0085","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.8,12,1,0.0833333333333333,NA,FALSE
"33","AA_0086","2016","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.6761,52.4978,2016,0.1666666667,12,1,0.0833333333333333,NA,FALSE
"34","AA_0087","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.6761,52.4978,2016,0.7826086957,12,1,0.0833333333333333,NA,FALSE
"35","AA_0089","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.84,52.2678,2016,0.04761905,6,0,0,NA,FALSE
"36","AA_0090","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"M",13.7072,52.2422,2016,0.05882352941,3,0,0,NA,FALSE
"37","AA_0091","4/18/2019","YVT","Eppendorf",1,0,NA,0,0,FALSE,NA,NA,"F",13.5544,52.7881,2016,0,3,0,0,NA,FALSE
