"","Mouse_ID","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Trichuris_muris","Zfy2","Y","Mastophorus_muris","Catenotaenia_pusilla","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Heligmosomoides_polygurus","Heterakis_sp","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length","Trap_Date","Ticks","eimeriaSpecies","MC.Eimeria","delta_ct_cewe_MminusE","Ct.Eimeria","Ct.Mus","IL.12","IRG6","CXCR3","IL.6","GBP2","CASP1","CXCL9","GAPDH","IDO1","IFNy","IL.10","IL.13","IL1RN","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PPIB","PRF1","RETNLB","SOCS1","TICAM1","TNF","CD4","Treg","Treg17","Th1","Th17","CD8","Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Ct_mean","Oocyst_Predict","ILWE_DNA_Content_ng.microliter","COCE","CEWE","ILWE","CECE","COWE","SICE","Host","FEC","SPL2","Aspiculuris_sp","Syphacia_sp","Taenia_sp","Hymenolepis_sp"
"1","AA_0047","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","100/120","90/100","80","dm","dd","dm","dm","dm","mm",14,0.65,"2016-09-24",38,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",14,17,18,16,NA,NA,NA,NA,16.25,0.1,1625000,4,"DyM",18.3,78,NA,NA,1,NA,607,NA,NA,NA,0.077,0.076,83,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0
"2","AA_0048","F",13.676085,52.497666,2016,"d",NA,"mm","mm","mm","mm","mm","mm","100","95/100","100","100","90/100","80","mm","dm","dd","dd","dm","mm",13,0.72,"2016-09-24",43,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",19.825,88,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,92,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0
"3","AA_0049","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","100","95/100","100/125","120","90","80","mm","dm","dm","mm","mm","mm",14,0.85,"2016-09-24",49,0,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,3,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",18.53,83,NA,NA,1,NA,NA,NA,NA,NA,0.096,0.049,79,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0
"4","AA_0050","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","120","90/100","80","dm","dd","dm","mm","dm","mm",14,0.7,"2016-09-24",29,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",17.634,82,NA,NA,1,NA,NA,NA,NA,NA,0.073,0.074,78,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,15,0,0
"5","AA_0051","F",13.9289,52.5028,2016,"d",NA,"mm","mm","mm","dd","mm","mm","100","95","100/125","120","100","80","mm","mm","dm","mm","dd","mm",13,0.76,"2016-09-24",63,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",14.226,76,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,69,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,0
"6","AA_0052","M",13.9289,52.5028,2016,"d","m",NA,"m","d","d","d","m","100","95","100/125","120","70/100","100","mm","mm","dm","mm","dm","dd",13,0.578947368,"2016-09-24",81,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Alice","April2018",1,1,3,2,0,3,0,1,1.375,0.1,137500,8,"mus",17.039,83,NA,19,1,NA,NA,NA,NA,87,0.054,0.052,79,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,0,0
"7","AA_0053","F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm",12,0.608695652,"2016-09-24",NA,0,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,12,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",20.184,85,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,78,"2016-09-23",NA,NA,NA,NA,NA,NA,19.5582469630543,NA,20.4573988135313,NA,NA,22.3962003830813,15.5097332574826,3.92567749942915,12.3409980886296,17.7704089496093,19.9771005537668,17.2988838525735,10.8133050743151,9.47877133473768,15.769588891091,8.14946865018169,8.08599731399743,13.4310333534766,25.5466741063785,16.6024802427078,21.9019293302739,10.0210975857333,10.5197224364555,19.65093796469,18.0636006857446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.16,385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,0,1,0
"8","AA_0054","F",13.9289,52.5028,2016,NA,NA,"mm","mm","dd","dd","mm","mm","100","95","100","120","70/100","80","mm","mm","dd","mm","dm","mm",12,0.708333333,"2016-09-24",39,0,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,8,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,"mus",13.833,69,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,72,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,26,0,0
"9","AA_0055","M",13.3064,52.91,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-24",NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",15.181,80,NA,22,1,NA,NA,NA,NA,105,0.058,0.062,89,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
"10","AA_0056","F",13.3064,52.91,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",13,0.08,"2016-09-24",6,0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dom",8.751,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"2016-09-23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.395,4935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8,0,0
