Mouse_ID,Extraction_Tissue,DNA_Dilution_ng/microliter,dest_Water,ILWE_DNA_Content_ng/microliter,ILWE_260/280,ILWE_260/230,ILWE_DNA_used_up,Date_Extraction
AA_0524,ILWE,10.15,89.85,492.40,2.0,1.97,NA,NA
AA_0525,ILWE,17.91,82.09,279.20,1.9,1.84,NA,NA
AA_0526,ILWE,17.00,83.00,294.20,2.1,1.96,NA,NA
AA_0527,ILWE,62.97,37.03,79.40,2.2,1.37,NA,NA
AA_0528,ILWE,20.84,79.16,239.90,1.9,1.30,NA,NA
AA_0529,ILWE,19.22,80.78,260.20,2.0,2.00,NA,NA
AA_0530,ILWE,41.32,58.68,121.00,2.0,0.99,NA,NA
AA_0531,ILWE,17.34,82.66,288.40,2.0,1.54,NA,NA
AA_0532,ILWE,15.30,84.70,326.90,1.9,2.01,NA,NA
AA_0533,ILWE,25.48,74.52,196.20,2.0,1.11,NA,NA
AA_0534,ILWE,27.67,72.33,180.70,2.0,1.61,NA,NA
AA_0535,ILWE,15.85,84.15,315.50,1.9,1.36,NA,NA
AA_0536,ILWE,28.89,71.11,173.10,2.0,1.89,NA,NA
AA_0537,ILWE,60.39,39.61,82.80,2.0,1.33,NA,NA
AA_0538,ILWE,25.24,74.76,198.10,2.1,1.81,NA,NA
AA_0539,ILWE,20.00,80.00,250.00,1.9,2.10,NA,NA
AA_0540,ILWE,24.59,75.41,203.30,2.0,2.03,NA,NA
AA_0541,ILWE,30.07,69.93,166.30,2.2,1.83,NA,NA
AA_0542,ILWE,69.64,30.36,71.80,1.5,0.56,NA,NA
AA_0543,ILWE,9.33,90.67,535.90,1.9,2.13,NA,NA
AA_0544,ILWE,25.00,75.00,200.00,2.0,1.37,NA,NA
AA_0545,ILWE,25.06,74.94,199.50,2.0,1.73,NA,NA
AA_0546,ILWE,36.52,63.48,136.90,2.1,2.38,NA,NA
AA_0547,ILWE,44.68,55.32,111.90,2.2,1.78,NA,NA
AA_0548,ILWE,28.26,71.74,176.90,2.0,1.59,NA,NA
AA_0549,ILWE,37.45,62.55,133.50,2.0,1.45,NA,NA
AA_0550,ILWE,15.32,84.68,326.30,1.9,2.15,NA,NA
AA_0551,ILWE,17.93,82.07,278.80,1.9,1.66,NA,NA
AA_0552,ILWE,44.09,55.91,113.40,2.2,1.63,NA,NA
AA_0553,ILWE,38.82,61.18,128.80,2.0,1.92,NA,NA
AA_0554,ILWE,41.53,58.47,120.40,2.1,1.80,NA,NA
AA_0555,ILWE,15.89,84.11,314.60,2.0,2.11,NA,NA
AA_0556,ILWE,13.07,86.93,382.50,1.9,2.08,NA,NA
AA_0557,ILWE,11.26,88.74,444.20,1.9,2.18,NA,NA
AA_0558,ILWE,51.80,48.20,96.53,2.7,0.80,NA,NA
AA_0559,ILWE,18.16,81.84,275.40,2.0,1.81,NA,NA
AA_0560,ILWE,26.27,73.73,190.30,2.0,1.62,NA,NA
AA_0561,ILWE,14.62,85.38,342.00,2.6,1.44,NA,NA
AA_0562,ILWE,22.69,77.31,220.40,2.0,1.28,NA,NA
AA_0564,ILWE,17.93,82.07,278.80,2.0,2.23,NA,NA
AA_0565,ILWE,7.28,92.72,686.80,2.0,2.12,NA,NA
AA_0566,ILWE,32.45,67.55,154.10,2.2,1.45,NA,NA
AA_0567,ILWE,14.15,85.85,353.30,2.0,1.44,NA,NA
AA_0568,ILWE,46.00,54.00,108.70,2.3,1.78,NA,NA
AA_0569,ILWE,25.65,74.35,194.90,2.0,1.92,NA,NA
AA_0570,ILWE,39.40,60.60,126.90,2.2,0.91,NA,NA
AA_0571,ILWE,28.09,71.91,178.00,2.0,1.35,NA,NA
AA_0572,ILWE,15.13,84.87,330.40,1.9,1.43,NA,NA
AA_0573,ILWE,40.42,59.58,123.70,1.4,0.51,NA,NA
AA_0574,ILWE,49.80,50.20,100.40,2.3,1.41,NA,NA
AA_0575,ILWE,44.92,55.08,111.30,2.2,1.14,NA,NA
AA_0576,ILWE,59.74,40.26,83.70,2.3,1.42,NA,NA
AA_0577,ILWE,25.38,74.62,197.00,2.0,2.06,NA,NA
AA_0578,ILWE,18.99,81.01,263.30,1.7,1.64,NA,NA
AA_0579,ILWE,35.92,64.08,139.20,2.2,1.49,NA,NA
AA_0580,ILWE,25.05,74.95,199.60,1.9,2.12,NA,NA
AA_0581,ILWE,37.82,62.18,132.20,2.1,1.63,NA,NA
AA_0582,ILWE,38.55,61.45,129.70,2.2,1.97,NA,NA
AA_0583,ILWE,17.72,82.28,282.10,1.9,1.62,NA,NA
AA_0584,ILWE,54.29,45.71,92.10,1.2,0.82,NA,NA
AA_0585,ILWE,22.56,77.44,221.60,1.9,1.71,NA,NA
AA_0586,ILWE,69.16,30.84,72.30,2.2,1.59,NA,NA
AA_0587,ILWE,19.95,80.05,250.60,2.0,1.76,NA,NA
AA_0588,ILWE,47.76,52.24,104.70,2.1,0.51,NA,NA
AA_0589,ILWE,62.27,37.73,80.30,2.4,1.47,NA,NA
AA_0590,ILWE,34.04,65.96,146.90,2.0,1.67,NA,NA
AA_0591,ILWE,28.99,71.01,172.50,2.1,1.71,NA,NA
AA_0592,ILWE,9.18,90.82,544.50,1.9,2.04,NA,NA
AA_0593,ILWE,54.59,45.41,91.60,2.0,1.50,NA,NA
AA_0594,ILWE,3.42,96.58,"1,462.30",1.9,2.15,NA,NA
AA_0595,ILWE,25.35,74.65,197.20,2.1,1.71,NA,NA
AA_0596,ILWE,16.64,83.36,300.50,2.0,1.61,NA,NA
AA_0597,ILWE,9.90,90.10,504.90,1.9,1.96,NA,NA
AA_0598,ILWE,16.62,83.38,300.80,1.9,2.23,NA,NA
