Mouse_ID,Ct_1,Ct_2,Ct_mean,Oocyts_1,Oocyst_2,Oocyst_mean,Oocyst_calculated ,Final_Oocyst_calculated 
AA_0048,11.32,8.71,10.02,450000000,2290000000,1370000000,1103715503.20276,1103715503
AA_0049,0,0,0,0,0,0,0,0
AA_0050,0,0,0,0,0,0,0,0
AA_0051,8,0,0,3590000000,0,0,0,0
AA_0052,6.57,0,0,8720000000,0,0,0,0
AA_0053,35.17,33.16,34.16,154,541,348,1973.504382869,1974
AA_0054,8.96,0,0,1960000000,0,0,0,0
AA_0055,8.76,0,0,2230000000,0,0,0,0
AA_0056,24,36.79,30.39,165000,0,82400,15590.3958685609,15590
AA_0057,8.57,0,0,2500000000,0,0,0,0
AA_0058,9.24,0,0,1650000000,0,0,0,0
AA_0059,8.33,8.36,8.34,2920000000,2860000000,2890000000,2772407996.74176,2772407997
AA_0060,7.27,0,0,5640000000,0,0,0,0
AA_0061,8.31,0,0,2940000000,0,0,0,0
AA_0062,6.21,0,0,10900000000,0,0,0,0
AA_0063,9.39,32.5,20.95,1500000000,813,752000000,2757250.2862168,2757250
AA_0065,5.95,0,0,12800000000,0,0,0,0
AA_0067,34.89,0,0,183,0,0,0,0
AA_0071,7.2,0,0,5910000000,0,0,0,0
AA_0072,9.03,0,0,1880000000,0,0,0,0
AA_0073,6.23,0,0,10800000000,0,0,0,0
AA_0074,7.59,0,0,4620000000,0,0,0,0
AA_0075,32.44,6.94,19.69,848,6950000000,3480000000,5501437.58902553,5501438
AA_0076,33.51,31.7,32.6,435,1345,890,0,0
AA_0077,8.36,8.99,8.68,2860000000,1920000000,2390000000,2300937180.77846,2300937181
AA_0078,30.06,29.63,29.85,3735,4897,4316,20961.7999245313,20962
AA_0079,12.22,0,0,258000000,0,0,0,0
AA_0081,9.95,0,0,1060000000,0,0,0,0
AA_0082,8.78,0,0,2200000000,0,0,0,0
AA_0083,10.56,0,0,722000000,0,0,0,0
AA_0084,0,0,0,0,0,0,0,0
AA_0085,6.88,0,0,7190000000,0,0,0,0
AA_0086,8.93,0,0,2000000000,0,0,0,0
AA_0087,11.69,0,0,14600000000000,0,0,0,0
AA_0089,0,0,0,0,0,0,0,0
AA_0090,10.25,0,0,634000000000000,0,0,0,0
AA_0091,0,0,0,0,0,0,0,0
AA_0092,12.83,0,0,740000000000,0,0,0,0
AA_0093,11.42,0,0,29400000000000,0,0,0,0
AA_0094,10.81,0,0,146000000000000,0,0,0,0
AA_0095,11.96,0,0,7160000000000,0,0,0,0
AA_0096,39.73,0,0,23500000000000000000,0,0,0,0
AA_0097,0,0,0,0,0,0,0,0
AA_0098,8.79,0,0,28400000000000000,0,0,0,0
AA_0099,33.56,31.6,32.58,2.29E-012,3.890E-10X,1.95E-010,4692.7624593488,4693
AA_0101,29.3,30.09,29.7,0.000000158,1.970E-8X,8.900E-8X,22758.4592607479,22758
AA_0102,0,0,0,0,0,0,0,0
AA_0103,10.73,0,0,180000000000000,0,0,0,0
AA_0104,9.1,0,0,12600000000000000,0,0,0,0
AA_0105,3.05,0,0,92500000000000000000000,0,0,0,0
AA_0106,33.23,18.34,25.78,5.51E-012,4.240E+5X,2.120E+5X,195198.371661914,195198
AA_0107,0,0,0,0,0,0,0,0
AA_0108,9.25,36.88,23.06,8660000000000000,4.000E-16X,4.330E+15X,867152.015985869,867152
AA_0109,8.45,7.9,8.18,68500000000000000,2.920E+17X,1.800E+17X,3026581554.59431,3026581555
AA_0110,37.41,7.05,22.23,1E-016,2.680E+18X,1.340E+18X,1366829.31808292,1366829
