Mouse_ID,qPCR_Date,Plate,Tested_by,Machine,Measurements,Ct_1_Ep,Ct_2_Ep,Ct_1_Ep_Real_Pred,Ct_2_Ep_Real_Pred,Ct_believable,Ct_Ep_Consistent,believable_Ct_value,Ct_mean,Ct_mean_Ep,Ct_mean_ABI,Ct_mean_1_ABI,Ct_mean_2_ABI,Ct_mean_3_ABI,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI,StDev,Oocyst_Predict
AA_0049,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0050,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0051,2016,0,YVT,Eppendorf,1,8,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0
AA_0052,2016,0,YVT,Eppendorf,1,6.57,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.29,0
AA_0053,2016,0,YVT,Eppendorf,1,35.17,33.16,TRUE,TRUE,TRUE,34.16,34.16,34.16,34.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.82,385
AA_0054,2016,0,YVT,Eppendorf,1,8.96,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.48,0
AA_0055,2016,0,YVT,Eppendorf,1,8.76,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38,0
AA_0056,2016,0,YVT,Eppendorf,1,24,36.79,FALSE,TRUE,TRUE,30.395,30.395,30.395,30.395,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46,4952
AA_0057,2016,0,YVT,Eppendorf,1,8.57,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.29,0
AA_0058,2016,0,YVT,Eppendorf,1,9.24,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.62,0
AA_0060,2016,0,YVT,Eppendorf,1,7.27,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.64,0
AA_0061,2016,0,YVT,Eppendorf,1,8.31,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.16,0
AA_0062,2016,0,YVT,Eppendorf,1,6.21,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.11,0
AA_0065,2016,0,YVT,Eppendorf,1,5.95,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.98,0
AA_0067,2016,0,YVT,Eppendorf,1,34.89,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.45,0
AA_0071,2016,0,YVT,Eppendorf,1,7.2,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,0
AA_0072,2016,0,YVT,Eppendorf,1,9.03,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52,0
AA_0073,2016,0,YVT,Eppendorf,1,6.23,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.12,0
AA_0074,2016,0,YVT,Eppendorf,1,7.59,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8,0
AA_0076,2016,0,YVT,Eppendorf,1,33.51,31.7,FALSE,FALSE,FALSE,32.6,0,32.6,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,1109
AA_0078,2016,0,YVT,Eppendorf,1,30.06,29.63,TRUE,TRUE,TRUE,29.85,29.85,29.85,29.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18,7138
AA_0079,2016,0,YVT,Eppendorf,1,12.22,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.11,0
AA_0081,2016,0,YVT,Eppendorf,1,9.95,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.98,0
AA_0082,2016,0,YVT,Eppendorf,1,8.78,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.39,0
AA_0083,2016,0,YVT,Eppendorf,1,10.56,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.28,0
AA_0084,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0085,2016,0,YVT,Eppendorf,1,6.88,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44,0
AA_0086,2016,0,YVT,Eppendorf,1,8.93,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.47,0
AA_0087,2016,0,YVT,Eppendorf,1,11.69,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,0
AA_0088,2016,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AA_0089,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0090,2016,0,YVT,Eppendorf,1,10.25,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.13,0
AA_0091,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0092,2016,0,YVT,Eppendorf,1,12.83,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.42,0
AA_0093,2016,0,YVT,Eppendorf,1,11.42,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.71,0
AA_0094,2016,0,YVT,Eppendorf,1,10.81,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,0
AA_0095,2016,0,YVT,Eppendorf,1,11.96,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.98,0
AA_0096,2016,0,YVT,Eppendorf,1,39.73,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.87,0
AA_0097,2016,0,YVT,Eppendorf,1,0,0,TRUE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
AA_0098,2016,0,YVT,Eppendorf,1,8.79,0,FALSE,TRUE,TRUE,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4,0
AA_0099,2016,0,YVT,Eppendorf,1,33.56,31.6,FALSE,FALSE,FALSE,32.58,0,32.58,32.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,1124
