# File Name: Plate 1 noQuench.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-08 01:14:55 PM UTC
# Run End Date/Time: 2021-03-08 02:16:07 PM UTC
# Run Duration: 61 minutes 11 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:01:55 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:03:59 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","123609.61","120384.77"
"1","A1","2","124157.445","120421.95"
"1","A1","3","124743.53","120813.44"
"1","A1","4","125262.41","120937.83"
"1","A1","5","125288.42","121261.11"
"1","A1","6","125490.34","121364.91"
"1","A1","7","126113.01","121556.81"
"1","A1","8","126943.695","121790.88"
"1","A1","9","126698.33","121740.97"
"1","A1","10","125550.94","121817.766"
"1","A1","11","125386.086","122278.32"
"1","A1","12","126242.56","122300.15"
"1","A1","13","126362.914","122311.86"
"1","A1","14","126481.45","122212.17"
"1","A1","15","126508.72","122170.984"
"1","A1","16","127194.41","122260.67"
"1","A1","17","128295.14","122685.51"
"1","A1","18","130179.04","122542.55"
"1","A1","19","133680.34","122481.24"
"1","A1","20","139067.06","122897.99"
"1","A1","21","148242.89","122939.53"
"1","A1","22","166004.47","122991.36"
"1","A1","23","192357.16","122818.83"
"1","A1","24","227946.78","122712.09"
"1","A1","25","271986.0","122924.26"
"1","A1","26","318217.47","122899.74"
"1","A1","27","366329.4","122796.33"
"1","A1","28","413211.94","122994.44"
"1","A1","29","454638.72","123253.25"
"1","A1","30","491539.53","123175.086"
"1","A1","31","523312.0","123150.92"
"1","A1","32","550033.3","123138.234"
"1","A1","33","570315.7","123055.22"
"1","A1","34","585063.0","123226.13"
"1","A1","35","596676.56","123254.195"
"1","A1","36","603938.5","123117.28"
"1","A1","37","609412.5","123117.83"
"1","A1","38","614526.06","123231.88"
"1","A1","39","617359.7","123148.37"
"1","A1","40","619106.6","122987.09"
"2","A2","1","125083.94","127159.01"
"2","A2","2","125544.42","127234.32"
"2","A2","3","125812.234","127688.62"
"2","A2","4","126213.91","127981.984"
"2","A2","5","125857.766","128306.625"
"2","A2","6","126014.3","128378.195"
"2","A2","7","127123.21","128534.03"
"2","A2","8","126071.805","128653.64"
"2","A2","9","125849.63","128682.36"
"2","A2","10","126932.77","128687.48"
"2","A2","11","128140.016","128877.57"
"2","A2","12","128482.38","129090.57"
"2","A2","13","128050.766","129174.44"
"2","A2","14","126763.36","129235.98"
"2","A2","15","126533.74","129056.766"
"2","A2","16","127381.55","128978.44"
"2","A2","17","128376.79","129306.82"
"2","A2","18","130509.055","129539.06"
"2","A2","19","134432.34","129588.78"
"2","A2","20","140697.36","129522.8"
"2","A2","21","151315.03","129672.805"
"2","A2","22","168508.55","129611.414"
"2","A2","23","195682.2","129650.05"
"2","A2","24","233850.38","129620.77"
