# File Name: Plate 1 noQuench.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-08 01:14:55 PM UTC
# Run End Date/Time: 2021-03-08 02:16:07 PM UTC
# Run Duration: 61 minutes 11 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:01:55 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:03:59 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","10_7","Standard Curve","STANDARD","FAM","None","Amp","1.4251762929909986","","","22.122064830702993","0.9815302918939679","22.15593963555796","0.048949906310174957","true","0.3410299116142532","true","3","16"
"2","A2","false","10_7","Standard Curve","STANDARD","FAM","None","Amp","1.4435100563375798","","","22.13369200864235","0.9845361035063884","22.15593963555796","0.048949906310174957","true","0.3410299116142532","true","3","16"
"3","A3","false","10_7","Standard Curve","STANDARD","FAM","None","Amp","1.4342331829192931","","","22.21206206732855","0.977041546698203","22.15593963555796","0.048949906310174957","true","0.3410299116142532","true","3","15"
"4","A4","false","AA_0695","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"5","A5","false","AA_0695","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"6","A6","false","AA_0695","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"7","A7","false","AA_0853","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"8","A8","false","AA_0853","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"9","A9","false","AA_0853","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"10","A10","false","AA_0769","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"11","A11","false","AA_0769","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"12","A12","false","AA_0769","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"13","B1","false","10_6","Standard Curve","STANDARD","FAM","None","Amp","1.4319654184431094","","","23.312409650472148","0.9843029140660734","23.326447289565056","0.029769964264043675","true","0.3410299116142532","true","3","17"
"14","B2","false","10_6","Standard Curve","STANDARD","FAM","None","Amp","1.4230826464801543","","","23.36064071654242","0.9710258113221483","23.326447289565056","0.029769964264043675","true","0.3410299116142532","true","3","17"
"15","B3","false","10_6","Standard Curve","STANDARD","FAM","None","Amp","1.4365549580724208","","","23.306291501680597","0.9774355007281148","23.326447289565056","0.029769964264043675","true","0.3410299116142532","true","3","17"
"16","B4","false","AA_0847","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"17","B5","false","AA_0847","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"18","B6","false","AA_0847","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"19","B7","false","AA_0686","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"20","B8","false","AA_0686","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"21","B9","false","AA_0686","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"22","B10","false","AA_0805","Unknown","UNKNOWN","FAM","None","Amp","1.4791572125452659","","","29.75638787324","0.9741120155095698","29.69693808284048","0.07284465896335587","true","0.2693801997103071","true","3","24"
"23","B11","false","AA_0805","Unknown","UNKNOWN","FAM","None","Amp","1.4595968097481953","","","29.615680322828098","0.9766614281614499","29.69693808284048","0.07284465896335587","true","0.2693801997103071","true","3","24"
"24","B12","false","AA_0805","Unknown","UNKNOWN","FAM","None","Amp","1.4847257407753973","","","29.718746052453334","0.9792358602978608","29.69693808284048","0.07284465896335587","true","0.2693801997103071","true","3","23"
"25","C1","false","10_5","Standard Curve","STANDARD","FAM","None","Amp","1.4270698360684326","","","24.126081720968692","0.9839757175620923","24.197532083504345","0.0634371954554853","true","0.3410299116142532","true","3","16"
"26","C2","false","10_5","Standard Curve","STANDARD","FAM","None","Amp","1.4420560920653367","","","24.247236250335455","0.9787437829045075","24.197532083504345","0.0634371954554853","true","0.3410299116142532","true","3","18"
"27","C3","false","10_5","Standard Curve","STANDARD","FAM","None","Amp","1.4428215402007278","","","24.219278279208893","0.976946580365295","24.197532083504345","0.0634371954554853","true","0.3410299116142532","true","3","19"
"28","C4","false","AA_0700","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"29","C5","false","AA_0700","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"30","C6","false","AA_0700","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"31","C7","false","AA_0808","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"32","C8","false","AA_0808","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"33","C9","false","AA_0808","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"34","C10","false","AA_0725","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"35","C11","false","AA_0725","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"36","C12","false","AA_0725","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2693801997103071","true","3","39"
"37","D1","false","10_4","Standard Curve","STANDARD","FAM","None","Amp","1.4102789451991717","","","25.3672160967838","0.9802619393897785","25.29574571592345","0.0619068874497594","true","0.3410299116142532","true","3","19"
"38","D2","false","10_4","Standard Curve","STANDARD","FAM","None","Amp","1.4159238374011343","","","25.26121518655495","0.9828813518317143","25.29574571592345","0.0619068874497594","true","0.3410299116142532","true","3","18"
"39","D3","false","10_4","Standard Curve","STANDARD","FAM","None","Amp","1.4336978941376544","","","25.258805864431608","0.9863195880205936","25.29574571592345","0.0619068874497594","true","0.3410299116142532","true","3","19"
"40","D4","false","AA_0759","Unknown","UNKNOWN","FAM","None","Amp","1.4183168623336373","","","30.77330415853362","0.9795245991824255","30.713139777365473","0.055316002862624496","true","0.2693801997103071","true","3","25"
"41","D5","false","AA_0759","Unknown","UNKNOWN","FAM","None","Amp","1.4226897903382567","","","30.701632989906656","0.9805887498341906","30.713139777365473","0.055316002862624496","true","0.2693801997103071","true","3","25"
