# File Name: Plate 1 noQuench.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-08 01:14:55 PM UTC
# Run End Date/Time: 2021-03-08 02:16:07 PM UTC
# Run Duration: 61 minutes 11 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:01:55 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:03:59 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"4","A4","AA_0695","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"5","A5","AA_0695","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"6","A6","AA_0695","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"7","A7","AA_0853","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"8","A8","AA_0853","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"9","A9","AA_0853","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"10","A10","AA_0769","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"11","A11","AA_0769","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0769","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"16","B4","AA_0847","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"17","B5","AA_0847","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"18","B6","AA_0847","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"19","B7","AA_0686","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"20","B8","AA_0686","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"21","B9","AA_0686","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"22","B10","AA_0805","","Unknown","FAM","UNKNOWN","FAM","None","Amp","29.75638787324","29.69693808284048","0.9741120155095698","0.07284465896335587","","","true","0.2693801997103071","true","3","24","","","","","","","","","","","false"
"23","B11","AA_0805","","Unknown","FAM","UNKNOWN","FAM","None","Amp","29.615680322828098","29.69693808284048","0.9766614281614499","0.07284465896335587","","","true","0.2693801997103071","true","3","24","","","","","","","","","","","false"
"24","B12","AA_0805","","Unknown","FAM","UNKNOWN","FAM","None","Amp","29.718746052453334","29.69693808284048","0.9792358602978608","0.07284465896335587","","","true","0.2693801997103071","true","3","23","","","","","","","","","","","false"
"28","C4","AA_0700","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"29","C5","AA_0700","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"30","C6","AA_0700","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"31","C7","AA_0808","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
"32","C8","AA_0808","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2693801997103071","true","3","39","","","","","","","","","","","false"
