# File Name: Plate2_NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-09 11:21:00 AM UTC
# Run End Date/Time: 2021-03-09 12:21:49 PM UTC
# Run Duration: 60 minutes 48 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:06:53 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:07:34 PM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","Standard Curve","1.5395385026931763","0.006299718919691198","10_7","false"
"1","A1","2","Standard Curve","1.537246584892273","0.0043755795929459095","10_7","false"
"1","A1","3","Standard Curve","1.533997893333435","0.0014946665082658278","10_7","false"
"1","A1","4","Standard Curve","1.5382816791534424","0.006146230802431184","10_7","false"
"1","A1","5","Standard Curve","1.5370639562606812","0.005296286383827985","10_7","false"
"1","A1","6","Standard Curve","1.5346840620040894","0.003284170601394219","10_7","false"
"1","A1","7","Standard Curve","1.528720736503601","-0.002311376424936253","10_7","false"
"1","A1","8","Standard Curve","1.5300719738006592","-5.923606537201159E-4","10_7","false"
"1","A1","9","Standard Curve","1.5184974670410156","-0.01179908893920564","10_7","false"
"1","A1","10","Standard Curve","1.5171587467193604","-0.012770030786702882","10_7","false"
"1","A1","11","Standard Curve","1.5235154628753662","-0.00604553615653899","10_7","false"
"1","A1","12","Standard Curve","1.5304362773895264","0.0012430568317789753","10_7","false"
"1","A1","13","Standard Curve","1.5347422361373901","0.005916794053800777","10_7","false"
"1","A1","14","Standard Curve","1.53083336353302","0.0023756999235886905","10_7","false"
"1","A1","15","Standard Curve","1.531312346458435","0.003222461323161761","10_7","false"
"1","A1","16","Standard Curve","1.5322611331939697","0.004539026532854461","10_7","false"
"1","A1","17","Standard Curve","1.538823127746582","0.011468799559624574","10_7","false"
"1","A1","18","Standard Curve","1.5579404830932617","0.030953933380462293","10_7","false"
"1","A1","19","Standard Curve","1.5825879573822021","0.05596918614356076","10_7","false"
"1","A1","20","Standard Curve","1.6335980892181396","0.10734709645365628","10_7","false"
"1","A1","21","Standard Curve","1.721437692642212","0.19555447835188636","10_7","false"
"1","A1","22","Standard Curve","1.8749675750732422","0.3494521392570747","10_7","false"
"1","A1","23","Standard Curve","2.1196422576904297","0.5944946003484202","10_7","false"
"1","A1","24","Standard Curve","2.4575743675231934","0.9327944886553419","10_7","false"
"1","A1","25","Standard Curve","2.873650074005127","1.3492379736114335","10_7","false"
"1","A1","26","Standard Curve","3.3394761085510254","1.8154317866314897","10_7","false"
"1","A1","27","Standard Curve","3.8140082359313965","2.290331692486019","10_7","false"
"1","A1","28","Standard Curve","4.271507740020752","2.748198975049532","10_7","false"
"1","A1","29","Standard Curve","4.716602802276611","3.1936618157795498","10_7","false"
"1","A1","30","Standard Curve","5.128298759460449","3.6057255514375455","10_7","false"
"1","A1","31","Standard Curve","5.4999308586120605","3.977725429063315","10_7","false"
"1","A1","32","Standard Curve","5.828875541687012","4.307037890612424","10_7","false"
"1","A1","33","Standard Curve","6.11897087097168","4.59750099837125","10_7","false"
"1","A1","34","Standard Curve","6.335748195648193","4.814646101521922","10_7","false"
"1","A1","35","Standard Curve","6.517908096313477","4.997173780661362","10_7","false"
"1","A1","36","Standard Curve","6.681190013885498","5.1608234767075425","10_7","false"
"1","A1","37","Standard Curve","6.823033809661865","5.3030350509580675","10_7","false"
"1","A1","38","Standard Curve","6.926623344421387","5.406992364191747","10_7","false"
"1","A1","39","Standard Curve","6.999957084655762","5.4806938829002805","10_7","false"
"1","A1","40","Standard Curve","7.043248653411865","5.524353230130541","10_7","false"
"2","A2","1","Standard Curve","1.5381286144256592","-0.008023011291420166","10_7","false"
"2","A2","2","Standard Curve","1.536506175994873","-0.010157441044901714","10_7","false"
"2","A2","3","Standard Curve","1.549824595451355","0.0026489870888845818","10_7","false"
"2","A2","4","Standard Curve","1.5494675636291504","0.0017799639439845766","10_7","false"
"2","A2","5","Standard Curve","1.550680160522461","0.002480569514599486","10_7","false"
"2","A2","6","Standard Curve","1.5490667819976807","3.551996671235751E-4","10_7","false"
"2","A2","7","Standard Curve","1.5482299327850342","-9.936408682183246E-4","10_7","false"
"2","A2","8","Standard Curve","1.5553556680679321","0.005620103091983987","10_7","false"
"2","A2","9","Standard Curve","1.5457478761672974","-0.004499680131346416","10_7","false"
"2","A2","10","Standard Curve","1.543546199798584","-0.0072133478227552105","10_7","false"
"2","A2","11","Standard Curve","1.547987461090088","-0.003284077853946941","10_7","false"
"2","A2","12","Standard Curve","1.5464845895767212","-0.005298940690009056","10_7","false"
"2","A2","13","Standard Curve","1.5477776527404785","-0.004517868848947369","10_7","false"
"2","A2","14","Standard Curve","1.553114891052246","3.0737814012457164E-4","10_7","false"
"2","A2","15","Standard Curve","1.5559996366500854","0.002680132415268512","10_7","false"
"2","A2","16","Standard Curve","1.5637667179107666","0.009935222353254027","10_7","false"
"2","A2","17","Standard Curve","1.5693448781967163","0.015001391316508097","10_7","false"
"2","A2","18","Standard Curve","1.5876100063323975","0.03275452812949383","10_7","false"
"2","A2","19","Standard Curve","1.610830545425415","0.05546307589981577","10_7","false"
"2","A2","20","Standard Curve","1.6581590175628662","0.10227955671457153","10_7","false"
"2","A2","21","Standard Curve","1.7369722127914429","0.18058076062045256","10_7","false"
"2","A2","22","Standard Curve","1.8965367078781128","0.3396332643844268","10_7","false"
"2","A2","23","Standard Curve","2.1506595611572266","0.5932441263408452","10_7","false"
"2","A2","24","Standard Curve","2.489218235015869","0.9312908088767922","10_7","false"
"2","A2","25","Standard Curve","2.9028046131134033","1.3443651956516307","10_7","false"
"2","A2","26","Standard Curve","3.386211633682251","1.827260224897783","10_7","false"
"2","A2","27","Standard Curve","3.8754892349243164","2.3160258348171525","10_7","false"
"2","A2","28","Standard Curve","4.354421138763428","2.7944457473335684","10_7","false"
"2","A2","29","Standard Curve","4.786649703979492","3.226162321226937","10_7","false"
"2","A2","30","Standard Curve","5.202998161315918","3.6419987872406674","10_7","false"
"2","A2","31","Standard Curve","5.576085567474365","4.014574202076419","10_7","false"
"2","A2","32","Standard Curve","5.8809733390808105","4.318949982360169","10_7","false"
"2","A2","33","Standard Curve","6.176031112670898","4.613495764627561","10_7","false"
"2","A2","34","Standard Curve","6.421957969665527","4.858910630299495","10_7","false"
"2","A2","35","Standard Curve","6.624057292938232","5.060497962249504","10_7","false"
"2","A2","36","Standard Curve","6.7762298583984375","5.2121585363870135","10_7","false"
"2","A2","37","Standard Curve","6.901681423187256","5.3370981098531365","10_7","false"
"2","A2","38","Standard Curve","7.007597923278809","5.442502618621994","10_7","false"
"2","A2","39","Standard Curve","7.086434841156006","5.520827545176496","10_7","false"
"2","A2","40","Standard Curve","7.154637813568115","5.588518526265909","10_7","false"
"3","A3","1","Standard Curve","1.4500373601913452","-0.006830517800299736","10_7","false"
"3","A3","2","Standard Curve","1.44894540309906","-0.008887547713059758","10_7","false"
"3","A3","3","Standard Curve","1.4562987089157104","-0.0024993147168840112","10_7","false"
"3","A3","4","Standard Curve","1.4646337032318115","0.004870606778742197","10_7","false"
"3","A3","5","Standard Curve","1.465610384941101","0.004882215667556882","10_7","false"
"3","A3","6","Standard Curve","1.4627971649169922","0.0011039228229731293","10_7","false"
"3","A3","7","Standard Curve","1.4598438739776611","-0.0028144409368325695","10_7","false"
"3","A3","8","Standard Curve","1.460614800453186","-0.003008587281782533","10_7","false"
"3","A3","9","Standard Curve","1.4609763622283936","-0.0036120983270498796","10_7","false"
"3","A3","10","Standard Curve","1.4628897905349731","-0.0026637428409451557","10_7","false"
"3","A3","11","Standard Curve","1.4640259742736816","-0.0024926319227113036","10_7","false"
"3","A3","12","Standard Curve","1.467948079109192","4.644000923240846E-4","10_7","false"
"3","A3","13","Standard Curve","1.4706677198410034","0.002218968003660742","10_7","false"
"3","A3","14","Standard Curve","1.4710010290145874","0.0015872043567698604","10_7","false"
"3","A3","15","Standard Curve","1.4711191654205322","7.402679422400407E-4","10_7","false"
"3","A3","16","Standard Curve","1.4725672006607056","0.0012232303619385146","10_7","false"
"3","A3","17","Standard Curve","1.4784656763076782","0.006156633188436305","10_7","false"
"3","A3","18","Standard Curve","1.4984655380249023","0.02519142208518556","10_7","false"
"3","A3","19","Standard Curve","1.5240814685821533","0.04984227982196189","10_7","false"
"3","A3","20","Standard Curve","1.5774507522583008","0.10224649067763449","10_7","false"
"3","A3","21","Standard Curve","1.6612526178359985","0.1850832834348574","10_7","false"
"3","A3","22","Standard Curve","1.821137547492981","0.3440031402713649","10_7","false"
"3","A3","23","Standard Curve","2.0764787197113037","0.5983792396692128","10_7","false"
"3","A3","24","Standard Curve","2.4269161224365234","0.9478515695739579","10_7","false"
"3","A3","25","Standard Curve","2.8555617332458496","1.3755321075628093","10_7","false"
"3","A3","26","Standard Curve","3.3288216590881348","1.8478269605846196","10_7","false"
"3","A3","27","Standard Curve","3.822871446609497","2.340911675285507","10_7","false"
"3","A3","28","Standard Curve","4.311615943908691","2.8286910997642267","10_7","false"
"3","A3","29","Standard Curve","4.767394542694092","3.2835046257291522","10_7","false"
"3","A3","30","Standard Curve","5.187005996704102","3.702151006918687","10_7","false"
"3","A3","31","Standard Curve","5.555765628814697","4.0699455662088075","10_7","false"
"3","A3","32","Standard Curve","5.888808250427246","4.402023115000882","10_7","false"
"3","A3","33","Standard Curve","6.185489177703857","4.697738969457019","10_7","false"
"3","A3","34","Standard Curve","6.406106948852539","4.917391667785226","10_7","false"
"3","A3","35","Standard Curve","6.607834339141846","5.118153985254057","10_7","false"
"3","A3","36","Standard Curve","6.782419681549072","5.291774254840809","10_7","false"
"3","A3","37","Standard Curve","6.938581943511963","5.446971443983225","10_7","false"
"3","A3","38","Standard Curve","7.042356491088867","5.549780918739654","10_7","false"
"3","A3","39","Standard Curve","7.116865634918213","5.623324989748525","10_7","false"
"3","A3","40","Standard Curve","7.159996509552002","5.665490791561839","10_7","false"
"4","A4","1","Unknown","1.602617859840393","-0.004374316585236691","AA_0804","false"
"4","A4","2","Unknown","1.6014420986175537","-0.005839047656542982","AA_0804","false"
"4","A4","3","Unknown","1.6004276275634766","-0.007142488559087066","AA_0804","false"
"4","A4","4","Unknown","1.5991714000701904","-0.008687685900840134","AA_0804","false"
"4","A4","5","Unknown","1.6049504280090332","-0.0031976278104642966","AA_0804","false"
"4","A4","6","Unknown","1.6096947193145752","0.0012576936466105377","AA_0804","false"
"4","A4","7","Unknown","1.6111483573913574","0.002422361874925829","AA_0804","false"
"4","A4","8","Unknown","1.611961007118225","0.002946041753326569","AA_0804","false"
"4","A4","9","Unknown","1.6092973947525024","-6.540460863023012E-6","AA_0804","false"
"4","A4","10","Unknown","1.6086626052856445","-9.302997761878689E-4","AA_0804","false"
"4","A4","11","Unknown","1.6077996492385864","-0.0020822256717129097","AA_0804","false"
"4","A4","12","Unknown","1.6116620302200317","0.001491185461265467","AA_0804","false"
"4","A4","13","Unknown","1.6214625835418701","0.01100276893463691","AA_0804","false"
"4","A4","14","Unknown","1.619809865951538","0.009061081495837944","AA_0804","false"
"4","A4","15","Unknown","1.61194908618927","9.113318851029413E-4","AA_0804","false"
"4","A4","16","Unknown","1.6085809469223022","-0.0027457772303317676","AA_0804","false"
"4","A4","17","Unknown","1.615175724029541","0.0035600300284398443","AA_0804","false"
"4","A4","18","Unknown","1.6183364391326904","0.006431775283122322","AA_0804","false"
"4","A4","19","Unknown","1.6192560195922852","0.007062385894250113","AA_0804","false"
"4","A4","20","Unknown","1.6159231662750244","0.003440562728522436","AA_0804","false"
"4","A4","21","Unknown","1.6095198392868042","-0.0032517341081647146","AA_0804","false"
"4","A4","22","Unknown","1.6072865724563599","-0.005773970787075987","AA_0804","false"
"4","A4","23","Unknown","1.6096630096435547","-0.0036865034483480976","AA_0804","false"
"4","A4","24","Unknown","1.6095584630966187","-0.004080019843751069","AA_0804","false"
"4","A4","25","Unknown","1.6082929372787476","-0.005634515510089098","AA_0804","false"
"4","A4","26","Unknown","1.6118485927581787","-0.002367829879124881","AA_0804","false"
"4","A4","27","Unknown","1.6151243448257446","6.18952339974101E-4","AA_0804","false"
"4","A4","28","Unknown","1.6270294189453125","0.012235056611074815","AA_0804","false"
"4","A4","29","Unknown","1.6441657543182373","0.029082422135532682","AA_0804","false"
"4","A4","30","Unknown","1.662825107574463","0.047452805543291336","AA_0804","false"
"4","A4","31","Unknown","1.6958059072494507","0.08014463536981219","AA_0804","false"
"4","A4","32","Unknown","1.7671992778778076","0.1512490361497022","AA_0804","false"
"4","A4","33","Unknown","1.8959952592849731","0.2797560477084008","AA_0804","false"
"4","A4","34","Unknown","2.0961437225341797","0.4796155411091404","AA_0804","false"
"4","A4","35","Unknown","2.3819386959075928","0.7651215446340865","AA_0804","false"
"4","A4","36","Unknown","2.732536792755127","1.1154306716331537","AA_0804","false"
"4","A4","37","Unknown","3.14217472076416","1.52477962979372","AA_0804","false"
"4","A4","38","Unknown","3.5547945499420166","1.9371104891231092","AA_0804","false"
"4","A4","39","Unknown","3.9633967876434326","2.345423756976058","AA_0804","false"
"4","A4","40","Unknown","4.288387775421143","2.6701257749053013","AA_0804","false"
