# File Name: Plate2_NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-09 11:21:00 AM UTC
# Run End Date/Time: 2021-03-09 12:21:49 PM UTC
# Run Duration: 60 minutes 48 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-09 02:06:53 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-09 02:07:34 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","174932.83","113626.8"
"1","A1","2","175357.78","114072.64"
"1","A1","3","175890.73","114661.66"
"1","A1","4","176420.33","114686.625"
"1","A1","5","176408.89","114770.04"
"1","A1","6","176290.3","114870.74"
"1","A1","7","176299.1","115324.59"
"1","A1","8","176557.88","115391.875"
"1","A1","9","175580.42","115627.734"
"1","A1","10","175423.56","115626.375"
"1","A1","11","176237.44","115678.14"
"1","A1","12","176707.25","115462.01"
"1","A1","13","177049.11","115360.81"
"1","A1","14","177138.62","115713.85"
"1","A1","15","177657.69","116016.625"
"1","A1","16","177749.56","116004.74"
"1","A1","17","178457.36","115970.03"
"1","A1","18","180246.22","115695.19"
"1","A1","19","182816.02","115517.125"
"1","A1","20","188782.3","115562.266"
"1","A1","21","198978.53","115588.58"
"1","A1","22","216617.53","115531.35"
"1","A1","23","244816.39","115498.914"
"1","A1","24","284801.25","115887.13"
"1","A1","25","333218.06","115956.38"
"1","A1","26","387155.84","115933.11"
"1","A1","27","442748.25","116084.766"
"1","A1","28","496516.44","116239.15"
"1","A1","29","547809.4","116144.91"
"1","A1","30","594846.25","115992.91"
"1","A1","31","637288.56","115872.1"
"1","A1","32","674687.9","115749.234"
"1","A1","33","707734.94","115662.414"
"1","A1","34","734394.4","115912.81"
"1","A1","35","756341.3","116040.5"
"1","A1","36","775357.94","116050.875"
"1","A1","37","791464.25","115998.875"
"1","A1","38","804138.7","116093.9"
"1","A1","39","813777.94","116254.7"
"1","A1","40","821317.1","116610.555"
"2","A2","1","185383.81","120525.56"
"2","A2","2","185583.73","120782.945"
"2","A2","3","187747.8","121141.32"
"2","A2","4","188385.27","121580.64"
"2","A2","5","188192.27","121361.11"
"2","A2","6","187803.03","121236.24"
"2","A2","7","187883.67","121353.86"
"2","A2","8","188818.81","121399.125"
"2","A2","9","188195.78","121750.63"
"2","A2","10","187957.9","121770.19"
"2","A2","11","188372.5","121688.65"
"2","A2","12","188408.64","121830.27"
"2","A2","13","188863.66","122022.48"
"2","A2","14","189763.12","122182.28"
"2","A2","15","189991.72","122102.67"
"2","A2","16","190790.02","122006.7"
"2","A2","17","191683.58","122142.414"
"2","A2","18","193961.36","122171.92"
"2","A2","19","196730.11","122129.61"
"2","A2","20","202894.31","122361.195"
"2","A2","21","212533.28","122358.484"
"2","A2","22","232015.88","122336.61"
"2","A2","23","262973.4","122275.7"
"2","A2","24","304675.6","122398.11"
"2","A2","25","355089.12","122326.23"
"2","A2","26","413538.9","122124.35"
"2","A2","27","472618.28","121950.61"
"2","A2","28","530787.25","121896.17"
"2","A2","29","584437.1","122097.32"
"2","A2","30","634927.5","122031.086"
"2","A2","31","680540.75","122046.32"
"2","A2","32","719688.75","122375.79"
"2","A2","33","755085.9","122260.695"
"2","A2","34","783917.94","122068.37"
"2","A2","35","808034.2","121984.78"
"2","A2","36","827979.9","122188.87"
"2","A2","37","843465.9","122211.65"
"2","A2","38","856136.06","122172.55"
"2","A2","39","867108.6","122361.76"
"2","A2","40","875036.44","122303.39"
"3","A3","1","163642.38","112853.91"
"3","A3","2","163798.8","113046.91"
"3","A3","3","165415.22","113586.05"
"3","A3","4","166672.38","113797.99"
"3","A3","5","166892.78","113872.55"
"3","A3","6","167381.14","114425.39"
"3","A3","7","167395.19","114666.5"
"3","A3","8","167431.16","114630.6"
"3","A3","9","167677.86","114771.09"
"3","A3","10","167755.06","114673.75"
"3","A3","11","167659.3","114519.34"
"3","A3","12","167962.25","114419.75"
"3","A3","13","168466.36","114550.93"
"3","A3","14","168704.03","114686.55"
"3","A3","15","168723.22","114690.38"
"3","A3","16","169366.0","115014.1"
"3","A3","17","170058.28","115023.49"
"3","A3","18","172235.61","114941.32"
"3","A3","19","175439.28","115111.484"
"3","A3","20","181481.38","115047.25"
"3","A3","21","191189.77","115087.71"
"3","A3","22","209807.73","115206.97"
"3","A3","23","239181.53","115186.125"
"3","A3","24","279925.6","115342.1"
"3","A3","25","329656.6","115443.695"
"3","A3","26","384405.1","115477.83"
"3","A3","27","441088.06","115381.35"
"3","A3","28","497155.97","115306.18"
"3","A3","29","549462.4","115254.23"
"3","A3","30","597202.94","115134.42"
"3","A3","31","639949.2","115186.5"
"3","A3","32","678811.4","115271.44"
"3","A3","33","713198.94","115301.945"
"3","A3","34","739977.06","115511.195"
"3","A3","35","762466.56","115388.266"
"3","A3","36","780941.0","115141.945"
"3","A3","37","797983.7","115006.74"
"3","A3","38","811064.94","115169.54"
"3","A3","39","821453.94","115423.555"
"3","A3","40","828735.06","115745.18"
"4","A4","1","189299.6","118118.984"
"4","A4","2","189599.6","118393.04"
"4","A4","3","190145.55","118809.21"
"4","A4","4","190283.75","118988.96"
"4","A4","5","190925.7","118960.5"
"4","A4","6","191693.48","119086.86"
"4","A4","7","191791.31","119040.13"
"4","A4","8","191756.28","118958.38"
"4","A4","9","191592.62","119053.586"
"4","A4","10","191412.83","118988.8"
"4","A4","11","191317.56","118993.41"
"4","A4","12","191791.95","119002.586"
"4","A4","13","192833.9","118925.91"
"4","A4","14","192688.9","118957.734"
"4","A4","15","191693.02","118920.016"
"4","A4","16","191413.23","118995.086"
"4","A4","17","191700.42","118687.04"
"4","A4","18","191820.1","118529.18"
"4","A4","19","191994.55","118569.61"
"4","A4","20","191644.56","118597.57"
"4","A4","21","190861.92","118583.14"
"4","A4","22","190626.38","118601.36"
"4","A4","23","190749.05","118502.48"
"4","A4","24","190606.73","118421.75"
"4","A4","25","190479.02","118435.52"
"4","A4","26","190503.34","118189.35"
