# File Name: Plate 3 NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-10 11:25:49 AM UTC
# Run End Date/Time: 2021-03-10 12:27:38 PM UTC
# Run Duration: 61 minutes 49 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-14 09:34:19 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-14 09:34:53 AM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","110195.11","136143.98"
"1","A1","2","110337.7","136180.2"
"1","A1","3","111828.41","136573.12"
"1","A1","4","112106.125","136784.16"
"1","A1","5","112158.15","137303.39"
"1","A1","6","111937.586","137454.02"
"1","A1","7","111034.555","137485.25"
"1","A1","8","110301.56","137598.4"
"1","A1","9","110298.41","137572.25"
"1","A1","10","110959.48","137717.77"
"1","A1","11","111121.19","137780.98"
"1","A1","12","111007.914","137846.45"
"1","A1","13","111048.555","138217.19"
"1","A1","14","111593.25","138261.5"
"1","A1","15","111817.836","138120.1"
"1","A1","16","112512.9","138079.73"
"1","A1","17","112819.23","138303.12"
"1","A1","18","114185.44","138434.56"
"1","A1","19","116848.46","138321.48"
"1","A1","20","122256.16","138067.1"
"1","A1","21","131375.08","137955.77"
"1","A1","22","148328.08","138150.77"
"1","A1","23","172461.81","138267.86"
"1","A1","24","203500.27","138355.2"
"1","A1","25","241439.8","138292.03"
"1","A1","26","284211.53","138294.67"
"1","A1","27","325717.0","138470.02"
"1","A1","28","364144.62","138364.7"
"1","A1","29","397293.5","138295.88"
"1","A1","30","425528.78","138578.77"
"1","A1","31","447099.4","138550.39"
"1","A1","32","463906.72","138633.77"
"1","A1","33","475767.22","138728.83"
"1","A1","34","483696.8","138335.08"
"1","A1","35","490588.4","138080.31"
"1","A1","36","493853.12","137943.36"
"1","A1","37","496190.03","138059.4"
"1","A1","38","496974.03","138479.97"
"1","A1","39","497150.8","138463.31"
"1","A1","40","498389.25","138444.48"
"2","A2","1","107254.67","152463.55"
"2","A2","2","107255.19","152845.58"
"2","A2","3","107392.15","153351.53"
"2","A2","4","108048.79","153898.42"
"2","A2","5","108670.984","154208.83"
"2","A2","6","109004.72","154400.11"
"2","A2","7","108388.27","154588.84"
"2","A2","8","108343.13","154793.23"
"2","A2","9","109187.69","154905.95"
"2","A2","10","109491.34","154812.05"
"2","A2","11","109430.84","154901.12"
"2","A2","12","109580.234","155040.08"
"2","A2","13","110250.15","155037.39"
"2","A2","14","109957.87","155391.77"
"2","A2","15","109532.65","155310.95"
"2","A2","16","109649.74","155172.92"
"2","A2","17","111151.1","155327.89"
"2","A2","18","112779.35","155302.33"
"2","A2","19","115247.234","155175.58"
"2","A2","20","122063.555","155238.61"
"2","A2","21","131311.03","155194.64"
"2","A2","22","149810.16","155413.7"
"2","A2","23","177783.06","155317.1"
"2","A2","24","214499.4","155343.34"
"2","A2","25","257848.67","155774.7"
"2","A2","26","306486.97","155687.44"
"2","A2","27","352509.75","155487.97"
"2","A2","28","395331.78","155483.38"
"2","A2","29","432586.3","155562.62"
"2","A2","30","464644.2","155439.5"
"2","A2","31","489153.7","155473.1"
"2","A2","32","507929.8","155633.03"
"2","A2","33","521154.8","155565.28"
"2","A2","34","529769.06","155656.86"
"2","A2","35","534460.56","155465.48"
"2","A2","36","537807.94","155304.3"
"2","A2","37","540131.7","155423.17"
"2","A2","38","541990.4","155423.84"
"2","A2","39","542921.75","155434.0"
"2","A2","40","544127.44","155369.73"
"3","A3","1","101974.55","141264.56"
"3","A3","2","102299.68","141499.17"
"3","A3","3","102638.016","141886.61"
"3","A3","4","102185.59","142264.86"
"3","A3","5","102347.8","142926.62"
"3","A3","6","103823.62","142949.8"
"3","A3","7","104413.35","142863.45"
"3","A3","8","104161.01","143124.89"
"3","A3","9","104129.37","143404.88"
"3","A3","10","104690.7","143384.94"
"3","A3","11","104349.99","143515.6"
"3","A3","12","103908.56","143464.1"
"3","A3","13","103830.195","143543.78"
"3","A3","14","104181.06","143675.73"
"3","A3","15","103832.57","143565.3"
"3","A3","16","103998.94","143536.25"
"3","A3","17","105587.31","143751.8"
"3","A3","18","106311.51","144003.72"
"3","A3","19","108651.39","144162.5"
"3","A3","20","115212.53","144084.58"
"3","A3","21","124831.47","143967.56"
"3","A3","22","141933.4","144049.95"
"3","A3","23","167144.56","144399.9"
"3","A3","24","201362.6","144422.0"
"3","A3","25","243757.72","144440.9"
