# File Name: Plate 3 NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-10 11:25:49 AM UTC
# Run End Date/Time: 2021-03-10 12:27:38 PM UTC
# Run Duration: 61 minutes 49 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-14 09:34:19 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-14 09:34:53 AM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"4","A4","AA_0794","","Unknown","FAM","UNKNOWN","FAM","None","Amp","30.970443979958837","31.167558213115758","0.9935517432399125","0.3733163033769159","","","true","0.12696618145770178","true","3","26","","","","","","","","","","","false"
"5","A5","AA_0794","","Unknown","FAM","UNKNOWN","FAM","None","Amp","30.934114506378386","31.167558213115758","0.9881275790803021","0.3733163033769159","","","true","0.12696618145770178","true","3","26","","","","","","","","","","","false"
"6","A6","AA_0794","","Unknown","FAM","UNKNOWN","FAM","None","Amp","31.598116153010054","31.167558213115758","0.9842094107855124","0.3733163033769159","","","true","0.12696618145770178","true","3","27","","","","","","","","","","","false"
"7","A7","AA_0757","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"8","A8","AA_0757","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"9","A9","AA_0757","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"10","A10","AA_0747","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"11","A11","AA_0747","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0747","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"16","B4","AA_0811","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"17","B5","AA_0811","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"18","B6","AA_0811","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"19","B7","AA_0714","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","36.85042654983933","37.10906937293589","0.9133318779625961","0.3657761882334805","","","true","0.12696618145770178","true","3","32","","","","","","","","","","","false"
"20","B8","AA_0714","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","37.10906937293589","0.0","0.3657761882334805","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"21","B9","AA_0714","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.36771219603245","37.10906937293589","0.8445482317113165","0.3657761882334805","","","true","0.12696618145770178","true","3","32","","","","","","","","","","","false"
"22","B10","AA_0729","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"23","B11","AA_0729","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"24","B12","AA_0729","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"28","C4","AA_0799","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"29","C5","AA_0799","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
"30","C6","AA_0799","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.12696618145770178","true","3","39","","","","","","","","","","","false"
