# File Name: Plate_4.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 12:05:36 PM UTC
# Run End Date/Time: 2021-05-27 01:06:15 PM UTC
# Run Duration: 60 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 12:45:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:47:56 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","1x10_6 tyz","1000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","22.17963368130973","22.19756024301023","0.9904256164400624","0.028994933652993687","","","true","0.2087154269128504","true","3","16","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"2","A2","1x10_6 tyz","1000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","22.182035057867374","22.19756024301023","0.9872627535401537","0.028994933652993687","","","true","0.2087154269128504","true","3","16","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"3","A3","1x10_6 tyz","1000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","22.23101198985359","22.19756024301023","0.9840385402399633","0.028994933652993687","","","true","0.2087154269128504","true","3","17","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"4","A4","AA_0773","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"5","A5","AA_0773","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"6","A6","AA_0773","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"7","A7","AA_0717","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"8","A8","AA_0717","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"9","A9","AA_0717","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"10","A10","AA_0786","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"11","A11","AA_0786","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0786","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"13","B1","1.25x10_5 tyz","125000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","25.509799152769645","25.40638419464351","0.9862629246728722","0.12368359067322458","","","true","0.2087154269128504","true","3","21","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"14","B2","1.25x10_5 tyz","125000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","25.269373489214672","25.40638419464351","0.9817904879892311","0.12368359067322458","","","true","0.2087154269128504","true","3","19","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"15","B3","1.25x10_5 tyz","125000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","25.439979941946227","25.40638419464351","0.9786511736282939","0.12368359067322458","","","true","0.2087154269128504","true","3","19","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"16","B4","AA_0801 I","","Unknown","FAM","UNKNOWN","FAM","None","Amp","33.527599482197786","33.5880815742144","0.9726801426774914","0.6884325574448453","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"17","B5","AA_0801 I","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.93188557026188","33.5880815742144","0.9593188744471148","0.6884325574448453","","","true","0.03999999910593033","true","3","30","","","","","","","","","","","false"
"18","B6","AA_0801 I","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.30475967018353","33.5880815742144","0.9075358676058216","0.6884325574448453","","","true","0.03999999910593033","true","3","31","","","","","","","","","","","false"
"19","B7","AA_0848","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"20","B8","AA_0848","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"21","B9","AA_0848","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"22","B10","AA_0784","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"23","B11","AA_0784","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"24","B12","AA_0784","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"25","C1","1.56x10_4 tyz","15625.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","28.280673453607477","28.415620985307978","0.9885378567159264","0.11728529110942487","","","true","0.2087154269128504","true","3","22","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"26","C2","1.56x10_4 tyz","15625.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","28.4929797031811","28.415620985307978","0.9868457219573813","0.11728529110942487","","","true","0.2087154269128504","true","3","23","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"27","C3","1.56x10_4 tyz","15625.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","28.473209799135354","28.415620985307978","0.9787844697753453","0.11728529110942487","","","true","0.2087154269128504","true","3","22","","","","","42.4127","0.9912020213171033","-3.3446","99.06216273439354","0.49818388606982955","0.08135981124153108","false"
"28","C4","AA_0771","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"29","C5","AA_0771","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"30","C6","AA_0771","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"31","C7","AA_0691","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
"32","C8","AA_0691","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","39","","","","","","","","","","","false"
