# File Name: Plate_5.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 01:23:33 PM UTC
# Run End Date/Time: 2021-05-27 02:24:11 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 01:28:10 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:59:31 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","162148.75","30292.615","132462.95"
"2","A2","1","166407.22","30733.303","142949.88"
"3","A3","1","149509.6","27906.287","132008.72"
"4","A4","1","139334.89","25481.643","116402.02"
"5","A5","1","143170.25","26798.475","130859.14"
"6","A6","1","120012.81","22318.264","116091.56"
"7","A7","1","139475.25","25982.758","130320.31"
"8","A8","1","154733.5","28206.096","133653.92"
"9","A9","1","137861.84","26188.654","128537.805"
"10","A10","1","106511.43","20714.293","99489.25"
"11","A11","1","138595.2","26040.846","122809.59"
"12","A12","1","153221.97","29738.709","129082.64"
"13","B1","1","169291.7","32584.273","141227.98"
"14","B2","1","158421.75","29672.889","137088.06"
"15","B3","1","157466.5","29159.58","136520.42"
"16","B4","1","147289.66","26117.836","124727.914"
"17","B5","1","150898.67","26464.57","132759.14"
"18","B6","1","145280.03","25967.908","126651.08"
"19","B7","1","148395.73","26468.32","129266.664"
"20","B8","1","142688.0","25467.434","123370.875"
"21","B9","1","157216.22","27548.854","130305.17"
"22","B10","1","133510.19","25488.402","117787.02"
"23","B11","1","120666.29","22606.51","104014.98"
"24","B12","1","120524.03","25318.645","116726.164"
"25","C1","1","164654.47","29634.793","140610.6"
"26","C2","1","166607.58","31362.602","143247.64"
"27","C3","1","162633.17","30548.477","145046.16"
"28","C4","1","149069.78","26688.521","128360.06"
"29","C5","1","140614.34","24271.758","120981.016"
"30","C6","1","153824.48","27216.01","137217.12"
"31","C7","1","169342.9","28686.87","136374.33"
"32","C8","1","127100.3","23223.28","114486.34"
"33","C9","1","134808.66","25323.475","120380.336"
"34","C10","1","140282.48","26907.771","129628.02"
"35","C11","1","104077.45","19704.27","95159.625"
"36","C12","1","111694.586","22341.213","101229.82"
"37","D1","1","175598.81","33965.375","143232.36"
"38","D2","1","163671.25","30697.494","142584.08"
"39","D3","1","158413.92","29435.518","138480.42"
"40","D4","1","148571.14","26522.957","125128.71"
"41","D5","1","147334.98","26389.82","128838.88"
"42","D6","1","114652.555","20126.28","101809.414"
"43","D7","1","155281.52","27810.709","131923.38"
"44","D8","1","138020.98","24238.691","122363.57"
"45","D9","1","138316.3","24475.543","119544.18"
"46","D10","1","137774.1","25241.676","119767.25"
"47","D11","1","116615.63","22186.129","106074.7"
"48","D12","1","109030.82","21655.723","98609.59"
"49","E1","1","177035.39","32967.59","149917.38"
"50","E2","1","167578.47","30380.041","139011.72"
"51","E3","1","111134.33","21549.154","105864.42"
"52","E4","1","138699.77","25236.33","120181.93"
"53","E5","1","141496.69","25119.139","125769.24"
"54","E6","1","126461.68","22269.824","112107.125"
"55","E7","1","151033.47","27214.117","132488.6"
"56","E8","1","117634.59","21063.32","104144.625"
"57","E9","1","116665.7","21728.723","104907.49"
"58","E10","1","135025.61","26197.318","122217.18"
"59","E11","1","133499.02","24808.666","121041.89"
"60","E12","1","115610.4","24087.357","107268.58"
"61","F1","1","167135.3","31632.984","140255.33"
"62","F2","1","157500.92","29698.213","139348.31"
"63","F3","1","142079.1","24519.035","112376.29"
"64","F4","1","125713.62","22556.916","111434.24"
"65","F5","1","147089.33","26052.49","128564.125"
"66","F6","1","132310.05","23291.389","113966.13"
"67","F7","1","159188.03","27782.648","138654.7"
"68","F8","1","105250.29","19630.531","99587.36"
"69","F9","1","114282.99","20842.986","105190.43"
"70","F10","1","110526.53","20938.031","101046.55"
"71","F11","1","138467.4","25892.91","123354.39"
"72","F12","1","149823.52","28847.76","131391.05"
"73","G1","1","172223.1","31552.21","143346.53"
"74","G2","1","163436.36","30039.633","140457.55"
"75","G3","1","146637.11","26853.805","126749.836"
"76","G4","1","141679.16","24746.3","115739.07"
"77","G5","1","129237.08","23211.805","114905.33"
"78","G6","1","159072.66","25128.338","125440.81"
"79","G7","1","139240.73","25473.203","125576.69"
"80","G8","1","142356.6","25548.629","123460.8"
"81","G9","1","104750.79","18837.59","95777.984"
"82","G10","1","125562.35","22872.148","108307.78"
"83","G11","1","148253.78","27776.152","124105.53"
"84","G12","1","149136.06","29031.572","134370.95"
"85","H1","1","178354.03","35404.35","152340.39"
"86","H2","1","159608.3","30835.865","139564.5"
"87","H3","1","150379.2","28295.748","135578.23"
"88","H4","1","137353.97","26115.354","119958.36"
"89","H5","1","145276.84","26744.12","127031.375"
"90","H6","1","139865.73","23908.16","118687.52"
"91","H7","1","141786.83","26193.658","128707.9"
"92","H8","1","134809.44","25050.344","125181.1"
"93","H9","1","116011.09","20996.635","98492.96"
"94","H10","1","124527.66","23474.807","116470.93"
"95","H11","1","138433.58","26812.383","124027.37"
"96","H12","1","156412.69","26231.145","130164.3"
"1","A1","2","164386.33","29884.996","132787.6"
"2","A2","2","166749.73","30245.684","143202.75"
"3","A3","2","151228.45","27568.303","132434.17"
"4","A4","2","141504.66","25352.297","116486.65"
"5","A5","2","144505.33","26819.285","131605.17"
"6","A6","2","123417.54","22548.7","116498.78"
"7","A7","2","141622.55","26398.871","130644.82"
"8","A8","2","153932.4","28209.836","133263.44"
"9","A9","2","139290.48","26216.83","128618.48"
"10","A10","2","108352.11","21083.688","99993.7"
"11","A11","2","140155.6","26734.215","123127.414"
"12","A12","2","153833.84","30177.816","128888.85"
"13","B1","2","170645.66","32451.982","141638.3"
"14","B2","2","157783.64","29513.766","138403.61"
"15","B3","2","159362.66","28540.482","137223.72"
"16","B4","2","149297.83","26265.504","125246.305"
"17","B5","2","154798.77","26756.006","134630.06"
"18","B6","2","147109.92","26144.799","127298.35"
"19","B7","2","149687.5","26759.592","129845.74"
"20","B8","2","144733.28","25133.113","123775.63"
"21","B9","2","157768.22","26770.295","130649.516"
"22","B10","2","134861.61","25065.982","117732.4"
"23","B11","2","122857.38","22613.63","104607.01"
"24","B12","2","122966.2","25055.133","116623.0"
"25","C1","2","163644.08","30016.146","140825.84"
"26","C2","2","168081.75","31884.807","144910.28"
"27","C3","2","163994.62","30668.95","146152.64"
"28","C4","2","151943.61","27054.664","128450.18"
"29","C5","2","143080.31","25115.252","121457.52"
"30","C6","2","156070.95","27626.783","138111.69"
"31","C7","2","171041.12","29298.457","137284.53"
"32","C8","2","126985.68","23107.906","114480.08"
"33","C9","2","135876.98","25148.248","121110.44"
"34","C10","2","141832.34","26823.21","130140.516"
"35","C11","2","103501.14","19690.127","95967.9"
"36","C12","2","111212.09","22208.525","101374.03"
"37","D1","2","176323.5","33878.773","143874.75"
"38","D2","2","165641.0","31628.41","143705.47"
"39","D3","2","159262.53","29269.035","139080.33"
"40","D4","2","148989.83","26452.523","125680.16"
"41","D5","2","148923.84","26583.543","128690.664"
"42","D6","2","116573.14","20707.568","102600.11"
"43","D7","2","156108.89","28189.111","133380.86"
"44","D8","2","138617.1","24651.404","122579.266"
"45","D9","2","138818.69","24719.209","119637.23"
"46","D10","2","138755.64","25901.271","120358.87"
"47","D11","2","117139.91","23127.604","106157.055"
"48","D12","2","110086.61","22347.838","98837.125"
"49","E1","2","178090.89","32567.428","149576.28"
"50","E2","2","169738.66","30676.129","140202.44"
"51","E3","2","112918.65","21525.734","105969.75"
"52","E4","2","139841.02","25008.256","120229.984"
"53","E5","2","143925.73","25499.629","126252.71"
"54","E6","2","127464.39","22408.47","112380.04"
"55","E7","2","151912.52","27163.592","132436.1"
"56","E8","2","119208.82","21141.809","104472.58"
"57","E9","2","116557.75","21283.104","104947.72"
"58","E10","2","136003.89","26155.225","122500.87"
"59","E11","2","134568.83","25362.139","121176.18"
"60","E12","2","115097.86","23878.195","107589.08"
"61","F1","2","168821.84","32174.662","140311.48"
"62","F2","2","158988.89","29388.195","139915.39"
"63","F3","2","143025.4","24520.338","112862.37"
"64","F4","2","127455.35","23124.605","112071.875"
"65","F5","2","146721.44","26593.236","128684.86"
"66","F6","2","142142.67","24692.914","120624.65"
"67","F7","2","160177.88","28663.14","138602.55"
"68","F8","2","107653.39","19898.596","99566.03"
"69","F9","2","114169.93","20963.812","104976.54"
"70","F10","2","113386.51","21526.748","101223.76"
"71","F11","2","140029.58","26748.17","123709.38"
"72","F12","2","151127.7","29371.03","131594.34"
"73","G1","2","172036.17","32500.717","143444.28"
"74","G2","2","164424.77","30274.602","141319.8"
"75","G3","2","147587.14","26810.906","127213.02"
"76","G4","2","144251.78","25290.281","116356.77"
"77","G5","2","129673.664","23678.326","115617.836"
"78","G6","2","157210.78","25337.852","125444.625"
"79","G7","2","139344.23","25900.99","125888.445"
"80","G8","2","143334.08","25865.25","123285.39"
"81","G9","2","106191.95","19421.78","95723.29"
"82","G10","2","125651.74","23989.262","108772.81"
"83","G11","2","149683.3","28154.19","125158.55"
"84","G12","2","150591.27","28888.758","134675.61"
"85","H1","2","178993.8","35388.64","152830.81"
"86","H2","2","159387.95","30440.625","139632.84"
"87","H3","2","151109.56","28932.951","136508.55"
"88","H4","2","138887.95","25974.979","120894.38"
"89","H5","2","145566.34","26769.338","127932.805"
"90","H6","2","140817.22","24500.541","119078.95"
"91","H7","2","142952.42","26480.191","128751.05"
"92","H8","2","135856.73","25620.416","126105.125"
"93","H9","2","117263.6","21157.066","99253.46"
"94","H10","2","125106.79","24202.662","117218.984"
"95","H11","2","138242.17","26634.46","123931.87"
"96","H12","2","155801.11","27121.568","129590.36"
"1","A1","3","165174.95","29811.582","132632.05"
"2","A2","3","167988.48","30548.418","143235.39"
"3","A3","3","153389.03","28506.838","132737.61"
"4","A4","3","141021.11","25780.664","116952.18"
"5","A5","3","147035.78","27475.225","131356.1"
"6","A6","3","123720.57","22909.254","116288.984"
"7","A7","3","143126.31","26316.102","131663.84"
"8","A8","3","163597.81","29598.715","140411.88"
"9","A9","3","139876.73","26882.951","128963.46"
"10","A10","3","108983.305","21647.682","100155.11"
"11","A11","3","140375.98","27142.457","123561.02"
"12","A12","3","156493.56","30996.363","130204.69"
"13","B1","3","171320.08","32605.12","141942.58"
"14","B2","3","158310.25","30271.207","138144.08"
"15","B3","3","159321.05","29311.824","137434.98"
"16","B4","3","149639.88","26822.598","125067.04"
"17","B5","3","156184.62","27580.812","134975.97"
"18","B6","3","150380.27","26604.135","127994.375"
"19","B7","3","151044.47","27818.994","130092.875"
"20","B8","3","145335.45","25641.744","124162.38"
"21","B9","3","157756.97","27163.725","130404.266"
"22","B10","3","135124.84","25541.977","117897.71"
"23","B11","3","122256.12","22991.094","104876.586"
"24","B12","3","122865.77","25648.012","116982.2"
"25","C1","3","164261.27","29812.102","140916.6"
"26","C2","3","168104.31","31815.883","144531.88"
"27","C3","3","165213.25","30178.934","146566.62"
"28","C4","3","152267.06","26411.307","128916.22"
"29","C5","3","142236.34","25047.623","122024.17"
"30","C6","3","156815.89","27365.588","139050.22"
"31","C7","3","173952.11","29425.523","137867.11"
"32","C8","3","129259.53","23142.775","114810.31"
"33","C9","3","137490.55","25267.143","121452.74"
"34","C10","3","142022.7","27035.277","131059.266"
"35","C11","3","105824.36","19946.49","96598.07"
"36","C12","3","112269.016","22202.646","102231.66"
"37","D1","3","176702.64","34246.07","144610.56"
"38","D2","3","166067.14","30992.797","144070.22"
"39","D3","3","160491.05","29140.32","139810.25"
"40","D4","3","149949.8","26396.56","125674.414"
"41","D5","3","151474.55","26635.973","129290.695"
"42","D6","3","118339.95","20156.12","102873.69"
"43","D7","3","158159.95","28255.295","134536.66"
"44","D8","3","146139.9","25950.896","129086.234"
"45","D9","3","139991.11","24578.064","119594.2"
"46","D10","3","140138.4","25611.387","120956.69"
"47","D11","3","118616.02","22734.906","106703.01"
"48","D12","3","110912.58","22061.26","99498.23"
"49","E1","3","179656.2","32513.65","150040.17"
"50","E2","3","170773.75","30956.95","139861.86"
"51","E3","3","113647.86","21676.332","106479.58"
"52","E4","3","140020.31","25094.713","120623.055"
"53","E5","3","145170.1","25823.52","126928.62"
"54","E6","3","129234.09","22798.795","112902.02"
"55","E7","3","153553.08","27065.307","132762.86"
"56","E8","3","119739.73","21420.88","104804.23"
"57","E9","3","117826.25","21668.004","104994.586"
"58","E10","3","137621.12","26563.338","122721.87"
"59","E11","3","136286.25","25808.404","121500.56"
"60","E12","3","116503.92","23851.916","107940.84"
"61","F1","3","168265.0","31995.697","140867.78"
"62","F2","3","159638.42","29800.41","139640.27"
"63","F3","3","144211.97","24562.572","113266.26"
"64","F4","3","127737.05","22560.72","112089.53"
"65","F5","3","148408.77","26406.26","128364.77"
"66","F6","3","137461.9","23801.951","116102.586"
"67","F7","3","161526.55","28372.834","139264.53"
"68","F8","3","108986.28","19528.13","99829.09"
"69","F9","3","115114.234","20735.848","104722.23"
"70","F10","3","112749.734","21148.082","101663.69"
"71","F11","3","140231.69","26583.762","123833.805"
"72","F12","3","151920.61","28832.906","132010.22"
"73","G1","3","174276.36","33528.523","143902.23"
"74","G2","3","164224.45","30613.22","141636.14"
"75","G3","3","148386.03","27292.92","127122.33"
"76","G4","3","145063.34","25504.951","116570.02"
"77","G5","3","130667.664","24084.127","115787.1"
"78","G6","3","157238.2","26131.754","125417.9"
"79","G7","3","141338.08","26069.89","126410.04"
"80","G8","3","144457.66","26354.705","123701.555"
"81","G9","3","106671.22","19530.855","96169.35"
"82","G10","3","125964.37","24000.9","109732.39"
"83","G11","3","151101.73","28728.885","125091.016"
"84","G12","3","153136.31","29336.943","135246.55"
"85","H1","3","180315.67","35492.816","152693.34"
"86","H2","3","159429.8","30996.475","139499.0"
"87","H3","3","152275.28","29082.094","136112.22"
"88","H4","3","138882.02","26522.873","121361.17"
"89","H5","3","146063.73","27035.59","127862.68"
"90","H6","3","140964.81","24548.098","119397.9"
"91","H7","3","143012.11","26161.2","129510.0"
"92","H8","3","137674.64","26034.22","126048.84"
"93","H9","3","118096.4","21093.32","99444.23"
"94","H10","3","126559.984","24030.432","117400.22"
"95","H11","3","139822.6","27201.707","123820.86"
"96","H12","3","157268.36","27515.648","129948.51"
"1","A1","4","165647.27","29885.977","133231.45"
"2","A2","4","166998.17","30889.049","144119.88"
"3","A3","4","151648.33","28813.432","132888.27"
"4","A4","4","142542.34","25988.092","117062.42"
"5","A5","4","146100.33","27774.777","132185.98"
"6","A6","4","122931.96","22937.82","116110.92"
"7","A7","4","144288.92","26663.2","131402.53"
"8","A8","4","161554.97","29198.66","135794.44"
"9","A9","4","140116.08","26757.928","129236.6"
"10","A10","4","109065.97","21247.203","100623.336"
"11","A11","4","140520.56","26940.225","123829.1"
"12","A12","4","155737.88","30486.473","130117.06"
"13","B1","4","172747.39","32871.617","142023.36"
"14","B2","4","160551.31","29977.994","138527.34"
"15","B3","4","161492.52","29146.908","137454.66"
"16","B4","4","150472.42","26450.053","125579.24"
"17","B5","4","155877.9","26709.871","135274.72"
"18","B6","4","150556.83","26461.504","128454.695"
"19","B7","4","151955.08","26905.805","130464.23"
"20","B8","4","145811.88","25129.19","124627.48"
"21","B9","4","159261.28","26782.861","130349.52"
"22","B10","4","137251.98","25667.818","118012.6"
"23","B11","4","123009.89","23162.055","105111.805"
"24","B12","4","124297.03","25619.273","117269.29"
"25","C1","4","165173.45","30338.354","140881.1"
"26","C2","4","167766.28","31941.002","144536.75"
"27","C3","4","165897.7","30664.48","146379.77"
"28","C4","4","154948.31","26935.574","129315.195"
"29","C5","4","144413.4","25300.21","122070.88"
