# File Name: Plate7.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-18 08:28:39 AM UTC
# Run End Date/Time: 2021-06-18 09:29:26 AM UTC
# Run Duration: 60 minutes 46 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-29 01:58:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-29 01:59:18 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA_0048","Unknown","3","-","0","","","",
"AA_0059","Unknown","3","-","0","","","",
"AA_0063","Unknown","3","-","0","","","",
"AA_0075","Unknown","3","-","0","","","",
"AA_0077","Unknown","3","-","0","","","",
"AA_0106","Unknown","3","-","0","31.309593605841457","0.41143115981582357","0.2375398908726657",
"AA_0108","Unknown","3","-","0","","","",
"AA_0109","Unknown","3","-","0","","","",
"AA_0110","Unknown","3","-","0","","","",
"AA_0111","Unknown","3","-","0","37.51119950464681","","",
"AA_0112","Unknown","3","-","0","","","",
"AA_0114","Unknown","3","-","0","","","",
"AA_0120","Unknown","3","-","0","35.36763721875473","0.5756545657611336","0.33235431850242764",
"AA_0123","Unknown","3","-","0","","","",
"AA_0144","Unknown","3","-","0","26.499505985758493","0.4614131260273082","0.2663969925194931",
"AA_0159","Unknown","3","-","0","","","",
"AA_0172","Unknown","3","-","0","35.22413764178417","0.45469144814763046","0.3215154063327209",
"AA_0173","Unknown","3","-","0","38.17545677026968","","",
"AA_0174","Unknown","3","-","0","34.87195151220976","1.4163018208472804","0.8177022375199345",
"AA_0176","Unknown","3","-","0","","","",
"AA_0179","Unknown","3","-","0","","","",
"AA_0181","Unknown","3","-","0","","","",
"AA_0185","Unknown","3","-","0","","","",
"AA_0283","Unknown","3","-","0","34.86121480301778","0.6550821458268259","0.3782118532344356",
"AA_0325","Unknown","3","-","0","31.851071217244627","0.21997979582750535","0.12700539433728913",
"AA_0351","Unknown","3","-","0","39.0283100911623","","",
"AA_0443","Unknown","3","-","0","","","",
"AA_0523","Unknown","3","-","0","24.470158180382168","0.2424257576606697","0.13996457644388663",
"AA_0570","Unknown","3","-","0","","","",
"AA_0689","Unknown","3","-","0","26.718211124553488","0.1810003214525281","0.1045005843140259",
"AA_0793","Unknown","3","-","0","29.01445584140447","0.5295033199387875","0.30570888430345955",
"NTC","NTC","3","-","0","","","",
