# File Name: Plate7.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-18 08:28:39 AM UTC
# Run End Date/Time: 2021-06-18 09:29:26 AM UTC
# Run Duration: 60 minutes 46 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-29 01:58:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-29 01:59:18 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","AA_0077","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"2","A2","false","AA_0077","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"3","A3","false","AA_0077","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"4","A4","false","AA_0793","Unknown","UNKNOWN","FAM","None","Amp","1.4146553416854233","","","29.367602494912077","0.9736428941329796","29.01445584140447","0.5295033199387875","true","0.07032200928716355","true","3","26"
"5","A5","false","AA_0793","Unknown","UNKNOWN","FAM","None","Amp","1.4194681524687065","","","29.270131686614405","0.9600974034288237","29.01445584140447","0.5295033199387875","true","0.07032200928716355","true","3","26"
"6","A6","false","AA_0793","Unknown","UNKNOWN","FAM","None","Amp","1.4270457678581916","","","28.405633342686933","0.8746322004055199","29.01445584140447","0.5295033199387875","true","0.07032200928716355","true","3","25"
"7","A7","false","AA_0048","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"8","A8","false","AA_0048","Unknown","UNKNOWN","FAM","None","No Amp","0.6378814464534337","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"9","A9","false","AA_0048","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"10","A10","false","AA_0120","Unknown","UNKNOWN","FAM","None","Amp","0.9907409371036269","","","36.032318450318286","0.7019249663116219","35.36763721875473","0.5756545657611336","true","0.07032200928716355","true","3","32"
"11","A11","false","AA_0120","Unknown","UNKNOWN","FAM","None","Amp","1.114520385487488","","","35.0405238763487","0.7807709074525888","35.36763721875473","0.5756545657611336","true","0.07032200928716355","true","3","31"
"12","A12","false","AA_0120","Unknown","UNKNOWN","FAM","None","Amp","1.1843421282696245","","","35.0300693295972","0.8695976239495554","35.36763721875473","0.5756545657611336","true","0.07032200928716355","true","3","32"
"13","B1","false","AA_0075","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"14","B2","false","AA_0075","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"15","B3","false","AA_0075","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"16","B4","false","AA_0523","Unknown","UNKNOWN","FAM","None","Amp","1.4350338682714032","","","24.57472806157528","0.7893708500400207","24.470158180382168","0.2424257576606697","true","0.07032200928716355","true","3","21"
"17","B5","false","AA_0523","Unknown","UNKNOWN","FAM","None","Amp","1.4332223387724046","","","24.642748989784664","0.79329894860342","24.470158180382168","0.2424257576606697","true","0.07032200928716355","true","3","21"
"18","B6","false","AA_0523","Unknown","UNKNOWN","FAM","None","Amp","1.4585969506293053","","","24.192997489786563","0.7112504446802302","24.470158180382168","0.2424257576606697","true","0.07032200928716355","true","3","21"
"19","B7","false","AA_0114","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"20","B8","false","AA_0114","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"21","B9","false","AA_0114","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.07032200928716355","true","3","39"
"22","B10","false","AA_0144","Unknown","UNKNOWN","FAM","None","Amp","1.4500083364863998","","","26.95208184270772","0.9519224908239771","26.499505985758493","0.4614131260273082","true","0.07032200928716355","true","3","24"
