Document Name: Plate2-05-03 
Plate Type: Absolute Quantification
User: user

Document Information

Operator: user
Run Date: Friday, March 05, 2021 11:49:42
Last Modified: Friday, March 05, 2021 13:23:48
Instrument Type: Applied Biosystems 7300 Real-Time PCR System

Comments:
SDS v1.3

Well,Sample Name,Detector,Task,Ct,StdDev Ct,Qty,Mean Qty,StdDev Qty,Filtered,Tm
A1,10_7,Crypto_18S_2,Standard,20.77,0.096,,,,,79.20
A2,10_7,Crypto_18S_2,Standard,20.70,0.096,,,,,87.60
A3,10_7,Crypto_18S_2,Standard,20.58,0.096,,,,,85.70
A4,AA 804,Crypto_18S_2,Unknown,33.15,0.082,,,,,83.60
A5,AA 804,Crypto_18S_2,Unknown,33.06,0.082,,,,,77.80
A6,AA 804,Crypto_18S_2,Unknown,32.98,0.082,,,,,87.30
A7,AA 740,Crypto_18S_2,Unknown,Undetermined,,,,,,83.60
A8,AA 740,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
A9,AA 740,Crypto_18S_2,Unknown,Undetermined,,,,,,85.10
A10,AA 761,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
A11,AA 761,Crypto_18S_2,Unknown,Undetermined,,,,,,88.50
A12,AA 761,Crypto_18S_2,Unknown,Undetermined,,,,,,86.70
B1,10_6,Crypto_18S_2,Standard,21.95,0.060,,,,,80.40
B2,10_6,Crypto_18S_2,Standard,21.83,0.060,,,,,87.30
B3,10_6,Crypto_18S_2,Standard,21.92,0.060,,,,,88.20
B4,AA 821 II,Crypto_18S_2,Unknown,Undetermined,,,,,,87.30
B5,AA 821 II,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
B6,AA 821 II,Crypto_18S_2,Unknown,Undetermined,,,,,,88.50
B7,AA 735,Crypto_18S_2,Unknown,Undetermined,,,,,,83.90
B8,AA 735,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
B9,AA 735,Crypto_18S_2,Unknown,Undetermined,,,,,,81.60
B10,AA 704,Crypto_18S_2,Unknown,Undetermined,,,,,,88.50
B11,AA 704,Crypto_18S_2,Unknown,Undetermined,,,,,,86.10
B12,AA 704,Crypto_18S_2,Unknown,Undetermined,,,,,,87.60
C1,10_5,Crypto_18S_2,Standard,22.48,0.144,,,,,86.10
C2,10_5,Crypto_18S_2,Standard,22.77,0.144,,,,,86.10
C3,10_5,Crypto_18S_2,Standard,22.64,0.144,,,,,88.20
C4,AA 790,Crypto_18S_2,Unknown,Undetermined,,,,,,88.50
C5,AA 790,Crypto_18S_2,Unknown,Undetermined,,,,,,87.60
C6,AA 790,Crypto_18S_2,Unknown,Undetermined,,,,,,75.00
C7,AA 850,Crypto_18S_2,Unknown,Undetermined,,,,,,81.30
C8,AA 850,Crypto_18S_2,Unknown,Undetermined,,,,,,86.30
C9,AA 850,Crypto_18S_2,Unknown,Undetermined,,,,,,86.90
C10,AA 718,Crypto_18S_2,Unknown,Undetermined,,,,,,88.50
C11,AA 718,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
C12,AA 718,Crypto_18S_2,Unknown,Undetermined,,,,,,86.30
D1,10_4,Crypto_18S_2,Standard,23.81,0.061,,,,,88.50
D2,10_4,Crypto_18S_2,Standard,23.87,0.061,,,,,86.10
D3,10_4,Crypto_18S_2,Standard,23.93,0.061,,,,,77.50
D4,AA 696,Crypto_18S_2,Unknown,Undetermined,,,,,,86.10
D5,AA 696,Crypto_18S_2,Unknown,Undetermined,,,,,,69.70
D6,AA 696,Crypto_18S_2,Unknown,Undetermined,,,,,,79.80
D7,AA 844,Crypto_18S_2,Unknown,Undetermined,,,,,,86.10
D8,AA 844,Crypto_18S_2,Unknown,Undetermined,,,,,,87.60
D9,AA 844,Crypto_18S_2,Unknown,39.82,,,,,,86.90
D10,AA 765,Crypto_18S_2,Unknown,Undetermined,,,,,,84.50
D11,AA 765,Crypto_18S_2,Unknown,Undetermined,,,,,,86.70
D12,AA 765,Crypto_18S_2,Unknown,Undetermined,,,,,,84.20
E1,10_3,Crypto_18S_2,Standard,24.76,0.032,,,,,86.70
E2,10_3,Crypto_18S_2,Standard,24.71,0.032,,,,,83.60
E3,10_3,Crypto_18S_2,Standard,24.71,0.032,,,,,77.50
E4,AA 774,Crypto_18S_2,Unknown,Undetermined,,,,,,87.90
E5,AA 774,Crypto_18S_2,Unknown,Undetermined,,,,,,69.70
E6,AA 774,Crypto_18S_2,Unknown,Undetermined,,,,,,88.50
E7,AA 755 I,Crypto_18S_2,Unknown,33.14,0.296,,,,,88.50
E8,AA 755 I,Crypto_18S_2,Unknown,33.71,0.296,,,,,82.10
E9,AA 755 I,Crypto_18S_2,Unknown,33.30,0.296,,,,,82.10
E10,AA 743,Crypto_18S_2,Unknown,Undetermined,,,,,,87.60
E11,AA 743,Crypto_18S_2,Unknown,Undetermined,,,,,,85.40
