# File Name: 1_AA_0858-0882_01.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 01:33:09 PM UTC
# Run End Date/Time: 2021-10-12 02:33:53 PM UTC
# Run Duration: 60 minutes 43 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 01:36:43 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 01:46:23 PM UTC
"Well","Well Position","Cycle Number","FAM","ROX"
"1","A1","1","161766.55","127591.82"
"1","A1","2","161958.3","127639.81"
"1","A1","3","162461.88","128230.92"
"1","A1","4","163087.42","128676.016"
"1","A1","5","163743.66","128937.65"
"1","A1","6","164064.61","129308.35"
"1","A1","7","165230.1","129755.516"
"1","A1","8","165413.4","129776.766"
"1","A1","9","165344.45","129718.61"
"1","A1","10","165396.81","130058.93"
"1","A1","11","165456.36","130352.414"
"1","A1","12","166219.03","130378.78"
"1","A1","13","167461.97","130745.8"
"1","A1","14","167569.8","130724.82"
"1","A1","15","168147.48","130474.99"
"1","A1","16","171262.86","130344.41"
"1","A1","17","176831.83","130619.33"
"1","A1","18","184616.2","130898.98"
"1","A1","19","198012.72","130613.625"
"1","A1","20","218571.9","130402.22"
"1","A1","21","245291.42","130423.836"
"1","A1","22","277963.4","130440.375"
"1","A1","23","313498.12","130361.22"
"1","A1","24","348324.03","130567.89"
"1","A1","25","383699.3","130713.22"
"1","A1","26","417684.12","130594.96"
"1","A1","27","450405.56","130616.33"
"1","A1","28","480848.44","130852.66"
"1","A1","29","509086.56","130716.76"
"1","A1","30","536735.7","130433.125"
"1","A1","31","562559.56","130304.61"
"1","A1","32","585400.25","130565.055"
"1","A1","33","605963.0","130790.82"
"1","A1","34","623657.3","130799.41"
"1","A1","35","639029.25","130657.0"
"1","A1","36","654834.75","130490.38"
"1","A1","37","667626.7","130417.7"
"1","A1","38","679363.9","130191.945"
"1","A1","39","688684.8","130098.51"
