# File Name: 1_AA_0858-0882_01.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 01:33:09 PM UTC
# Run End Date/Time: 2021-10-12 02:33:53 PM UTC
# Run Duration: 60 minutes 43 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 01:36:43 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 01:46:23 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"10","Standard Curve","3","10.0","0","37.37914148701558","0.26122520694292983","0.18471411524620487",
"153","Standard Curve","3","153.0","0","35.53334945548898","0.6228354541479567","0.35959421711316564",
"1221","Standard Curve","3","1221.0","0","32.08962110484918","0.2516769891527751","0.14530577743618922",
"9765","Standard Curve","3","9765.0","0","28.748221183707443","0.06974812755439716","0.040269100219003554",
"5x10_6","Standard Curve","3","5000000.0","0","18.51958763990171","0.08034549142651172","0.04638749110326931",
"625.000","Standard Curve","3","625000.0","0","21.5123384814729","0.10373242512777883","0.05988994357121581",
"78.125","Standard Curve","3","78125.0","0","24.97760821006334","0.1984656294551324","0.11458418459080923",
"AA_0858","Unknown","3","-","0","34.649435144074374","0.8110574404522599","0.46826423157336117",
"AA_0859","Unknown","3","-","0","","","",
"AA_0860","Unknown","3","-","0","","","",
"AA_0861","Unknown","3","-","0","","","",
"AA_0862","Unknown","3","-","0","36.41588508926148","","",
"AA_0863","Unknown","3","-","0","","","",
"AA_0865","Unknown","3","-","0","35.394335899937886","0.6244277025661473","0.4415370628452593",
"AA_0866","Unknown","3","-","0","32.07908851746233","0.49462048002941933","0.2855692672916872",
"AA_0867","Unknown","3","-","0","32.585616667550404","0.3193014272313171","0.18434876496463265",
"AA_0868","Unknown","3","-","0","","","",
"AA_0869","Unknown","3","-","0","","","",
"AA_0870","Unknown","3","-","0","36.21523734528913","0.9024535229434016","0.5210317844024991",
"AA_0871","Unknown","3","-","0","","","",
"AA_0872","Unknown","3","-","0","","","",
"AA_0873","Unknown","3","-","0","","","",
"AA_0874","Unknown","3","-","0","","","",
"AA_0875","Unknown","3","-","0","","","",
"AA_0876","Unknown","3","-","0","","","",
"AA_0877","Unknown","3","-","0","","","",
"AA_0878","Unknown","3","-","0","","","",
"AA_0879","Unknown","3","-","0","","","",
"AA_0880","Unknown","3","-","0","","","",
"AA_0881","Unknown","3","-","0","","","",
"AA_0882","Unknown","3","-","0","","","",
"NTC","NTC","3","-","0","","","",
