# File Name: 1_AA_0858-0882_01.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 01:33:09 PM UTC
# Run End Date/Time: 2021-10-12 02:33:53 PM UTC
# Run Duration: 60 minutes 43 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 01:36:43 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 01:46:23 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","5x10_6","Standard Curve","STANDARD","FAM","None","Amp","1.347658829582809","","","18.572863242440953","0.9258414590828735","18.51958763990171","0.08034549142651172","true","0.1848965311939301","true","3","14"
"2","A2","false","5x10_6","Standard Curve","STANDARD","FAM","None","Amp","1.3507818401221887","","","18.558727347121405","0.9408928908965871","18.51958763990171","0.08034549142651172","true","0.1848965311939301","true","3","14"
"3","A3","false","5x10_6","Standard Curve","STANDARD","FAM","None","Amp","1.3634164596557505","","","18.427172330142774","0.9268337651173735","18.51958763990171","0.08034549142651172","true","0.1848965311939301","true","3","12"
"4","A4","false","AA_0858","Unknown","UNKNOWN","FAM","None","Amp","1.3526677981960507","","","34.18642440662549","0.9822708764696101","34.649435144074374","0.8110574404522599","true","0.10938253107615586","true","3","30"
"5","A5","false","AA_0858","Unknown","UNKNOWN","FAM","None","Amp","1.2489123454659616","","","35.58594403368966","0.9685716839327333","34.649435144074374","0.8110574404522599","true","0.10938253107615586","true","3","32"
"6","A6","false","AA_0858","Unknown","UNKNOWN","FAM","None","Amp","1.3695422501862704","","","34.175936991907975","0.9505713405263437","34.649435144074374","0.8110574404522599","true","0.10938253107615586","true","3","30"
"7","A7","false","AA_0867","Unknown","UNKNOWN","FAM","None","Amp","1.2831115371163173","","","32.7160832648956","0.9711873212418146","32.585616667550404","0.3193014272313171","true","0.10938253107615586","true","3","27"
"8","A8","false","AA_0867","Unknown","UNKNOWN","FAM","None","Amp","1.287382421460792","","","32.2217410214714","0.9807114794273256","32.585616667550404","0.3193014272313171","true","0.10938253107615586","true","3","27"
"9","A9","false","AA_0867","Unknown","UNKNOWN","FAM","None","Amp","1.2863364467155247","","","32.819025716284216","0.9767593975824692","32.585616667550404","0.3193014272313171","true","0.10938253107615586","true","3","28"
"10","A10","false","AA_0875","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.10938253107615586","true","3","39"
"11","A11","false","AA_0875","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.10938253107615586","true","3","39"
"12","A12","false","AA_0875","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.10938253107615586","true","3","39"
