# File Name: 1_AA_0858-0882_01.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 01:33:09 PM UTC
# Run End Date/Time: 2021-10-12 02:33:53 PM UTC
# Run Duration: 60 minutes 43 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 01:36:43 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 01:46:23 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.572863242440953","18.51958763990171","0.9258414590828735","0.08034549142651172","","","true","0.1848965311939301","true","3","14","","","","","42.5294","0.9878460960183288","-3.5595","90.95843178812628","0.745177504689645","0.0930604653718715","false"
"2","A2","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.558727347121405","18.51958763990171","0.9408928908965871","0.08034549142651172","","","true","0.1848965311939301","true","3","14","","","","","42.5294","0.9878460960183288","-3.5595","90.95843178812628","0.745177504689645","0.0930604653718715","false"
"3","A3","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.427172330142774","18.51958763990171","0.9268337651173735","0.08034549142651172","","","true","0.1848965311939301","true","3","12","","","","","42.5294","0.9878460960183288","-3.5595","90.95843178812628","0.745177504689645","0.0930604653718715","false"
"4","A4","AA_0858","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.18642440662549","34.649435144074374","0.9822708764696101","0.8110574404522599","","","true","0.10938253107615586","true","3","30","","","","","","","","","","","false"
"5","A5","AA_0858","","Unknown","FAM","UNKNOWN","FAM","None","Amp","35.58594403368966","34.649435144074374","0.9685716839327333","0.8110574404522599","","","true","0.10938253107615586","true","3","32","","","","","","","","","","","false"
"6","A6","AA_0858","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.175936991907975","34.649435144074374","0.9505713405263437","0.8110574404522599","","","true","0.10938253107615586","true","3","30","","","","","","","","","","","false"
"7","A7","AA_0867","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.7160832648956","32.585616667550404","0.9711873212418146","0.3193014272313171","","","true","0.10938253107615586","true","3","27","","","","","","","","","","","false"
"8","A8","AA_0867","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.2217410214714","32.585616667550404","0.9807114794273256","0.3193014272313171","","","true","0.10938253107615586","true","3","27","","","","","","","","","","","false"
"9","A9","AA_0867","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.819025716284216","32.585616667550404","0.9767593975824692","0.3193014272313171","","","true","0.10938253107615586","true","3","28","","","","","","","","","","","false"
"10","A10","AA_0875","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.10938253107615586","true","3","39","","","","","","","","","","","false"
"11","A11","AA_0875","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.10938253107615586","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0875","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.10938253107615586","true","3","39","","","","","","","","","","","false"
"13","B1","625.000","625000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","21.48084428990399","21.5123384814729","0.9926529088875166","0.10373242512777883","","","true","0.1848965311939301","true","3","16","","","","","42.5294","0.9878460960183288","-3.5595","90.95843178812628","0.745177504689645","0.0930604653718715","false"
"14","B2","625.000","625000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","21.628168057971017","21.5123384814729","0.990573047511773","0.10373242512777883","","","true","0.1848965311939301","true","3","16","","","","","42.5294","0.9878460960183288","-3.5595","90.95843178812628","0.745177504689645","0.0930604653718715","false"
"15","B3","625.000","625000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","21.428003096543698","21.5123384814729","0.9888039704248996","0.10373242512777883","","","true","0.1848965311939301","true","3","13","","","","","42.5294","0.9878460960183288","-3.5595","90.95843178812628","0.745177504689645","0.0930604653718715","false"
