# File Name: 2_AA_0883-0914.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 04:33:06 PM UTC
# Run End Date/Time: 2021-10-12 05:33:44 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 04:41:02 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 09:46:00 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","151642.23","26528.596","111265.17"
"2","A2","1","149041.92","26286.312","114269.46"
"3","A3","1","131719.17","23953.455","106387.72"
"4","A4","1","143638.33","23350.342","100150.36"
"5","A5","1","134061.53","22683.31","103324.305"
"6","A6","1","123941.59","21566.758","99409.41"
"7","A7","1","67919.4","21379.191","131457.25"
"8","A8","1","69470.375","21864.768","128576.34"
"9","A9","1","55749.47","18599.227","115780.72"
"10","A10","1","51552.086","16376.4","100062.36"
"11","A11","1","67977.5","20277.729","121519.86"
"12","A12","1","69706.46","21136.086","130227.09"
"13","B1","1","161382.64","28414.56","119700.65"
"14","B2","1","148127.88","25984.326","112896.78"
"15","B3","1","148464.55","25091.832","109304.97"
"16","B4","1","151880.89","24570.92","106141.03"
"17","B5","1","155465.81","25249.55","105618.98"
"18","B6","1","145375.39","23554.717","105472.234"
"19","B7","1","100416.56","23903.693","130316.016"
"20","B8","1","92820.32","21416.168","122013.664"
"21","B9","1","93269.37","21470.61","124794.62"
"22","B10","1","102187.74","22174.447","114090.336"
"23","B11","1","102017.57","20594.697","103582.32"
"24","B12","1","87951.98","21966.25","113099.04"
"25","C1","1","154525.08","27116.152","118354.24"
"26","C2","1","154093.38","27097.143","115334.75"
"27","C3","1","141148.75","24372.512","106353.67"
"28","C4","1","157221.62","25115.105","111433.36"
"29","C5","1","143525.58","22417.7","103237.05"
"30","C6","1","162410.56","25666.697","116423.48"
"31","C7","1","151847.34","29117.982","137374.73"
"32","C8","1","103785.74","25224.428","125172.29"
"33","C9","1","85401.9","21698.41","115695.82"
"34","C10","1","174160.3","28540.834","126638.37"
"35","C11","1","130232.38","21627.682","93719.91"
"36","C12","1","131302.61","22962.516","96543.95"
"37","D1","1","160941.06","28158.621","117064.77"
"38","D2","1","150536.89","25858.227","112591.195"
"39","D3","1","140946.27","23836.871","105826.43"
"40","D4","1","174002.23","27799.033","120282.305"
"41","D5","1","166696.8","26675.23","118008.414"
"42","D6","1","123643.37","19564.816","89966.86"
"43","D7","1","116537.1","26097.54","135520.62"
"44","D8","1","106870.45","22963.676","129974.914"
"45","D9","1","93050.41","21655.088","121681.58"
"46","D10","1","221496.27","30966.62","118354.03"
"47","D11","1","184330.67","27004.828","102380.08"
"48","D12","1","172668.22","26798.557","95324.766"
"49","E1","1","170763.12","29099.875","122294.54"
"50","E2","1","160163.84","26982.895","113854.16"
"51","E3","1","107892.945","19200.262","85674.69"
"52","E4","1","149968.5","24431.547","107171.664"
"53","E5","1","157321.52","24937.682","113934.35"
"54","E6","1","138302.11","21969.516","99998.57"
"55","E7","1","98055.25","24609.508","136059.73"
"56","E8","1","79758.27","19555.72","108955.11"
"57","E9","1","79244.1","20214.879","113790.04"
"58","E10","1","196162.72","30329.912","121761.96"
"59","E11","1","189059.64","29763.035","119589.74"
"60","E12","1","159436.05","26475.885","101025.73"
"61","F1","1","166402.84","29496.156","121757.695"
"62","F2","1","153649.77","26481.566","115342.32"
"63","F3","1","134020.12","21481.723","93815.15"
"64","F4","1","146131.48","23303.715","104120.36"
"65","F5","1","144855.55","23817.775","105232.46"
"66","F6","1","145962.9","21863.223","96723.33"
"67","F7","1","164253.88","28812.135","136255.34"
"68","F8","1","117012.59","20829.666","103120.33"
"69","F9","1","123192.664","21292.883","104720.375"
"70","F10","1","168112.8","25175.566","100953.164"
"71","F11","1","205873.39","30757.135","119587.24"
"72","F12","1","206131.44","32921.08","119800.93"
"73","G1","1","179319.83","31572.285","127512.24"
"74","G2","1","159285.64","27262.97","115354.74"
"75","G3","1","147108.05","24922.182","105151.586"
"76","G4","1","147015.14","24305.139","103265.14"
"77","G5","1","141040.48","23515.928","102784.87"
"78","G6","1","154399.84","24648.379","112147.85"
"79","G7","1","200307.7","29750.938","126685.24"
"80","G8","1","207390.95","30427.975","124591.19"
"81","G9","1","146793.6","21781.154","94350.77"
