# File Name: 2_AA_0883-0914.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-12 04:33:06 PM UTC
# Run End Date/Time: 2021-10-12 05:33:44 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-12 04:41:02 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-12 09:46:00 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","AA_0883","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"2","A2","AA_0883","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"3","A3","AA_0883","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"4","A4","AA_0891","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"5","A5","AA_0891","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"6","A6","AA_0891","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"7","A7","AA_0899","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"8","A8","AA_0899","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"9","A9","AA_0899","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"10","A10","AA_0907","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"11","A11","AA_0907","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0907","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"13","B1","AA_0884","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"14","B2","AA_0884","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"15","B3","AA_0884","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"16","B4","AA_0892","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"17","B5","AA_0892","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"18","B6","AA_0892","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"19","B7","AA_0900","","Unknown","FAM","UNKNOWN","FAM","None","Amp","28.77343860168257","28.919984260635612","0.9698673937049199","0.1385871551048725","","","true","0.0625138037451984","true","3","24","","","","","","","","","","","false"
"20","B8","AA_0900","","Unknown","FAM","UNKNOWN","FAM","None","Amp","28.93758234771007","28.919984260635612","0.9688173826397818","0.1385871551048725","","","true","0.0625138037451984","true","3","25","","","","","","","","","","","false"
"21","B9","AA_0900","","Unknown","FAM","UNKNOWN","FAM","None","Amp","29.048931832514192","28.919984260635612","0.9845575412773502","0.1385871551048725","","","true","0.0625138037451984","true","3","24","","","","","","","","","","","false"
"22","B10","AA_0908","","Unknown","FAM","UNKNOWN","FAM","None","Amp","33.4540604428923","33.16754517397418","0.9547404221151888","0.3672021508428547","","","true","0.0625138037451984","true","3","29","","","","","","","","","","","false"
"23","B11","AA_0908","","Unknown","FAM","UNKNOWN","FAM","None","Amp","33.29497032450739","33.16754517397418","0.9836019528728898","0.3672021508428547","","","true","0.0625138037451984","true","3","30","","","","","","","","","","","false"
"24","B12","AA_0908","","Unknown","FAM","UNKNOWN","FAM","None","Amp","32.75360475452287","33.16754517397418","0.9739088006978729","0.3672021508428547","","","true","0.0625138037451984","true","3","29","","","","","","","","","","","false"
"25","C1","AA_0885","","Unknown","FAM","UNKNOWN","FAM","None","Amp","36.77657192444638","35.66994626776312","0.856111596554197","1.5650050121517007","","","true","0.0625138037451984","true","3","33","","","","","","","","","","","false"
"26","C2","AA_0885","","Unknown","FAM","UNKNOWN","FAM","None","Amp","34.563320611079874","35.66994626776312","0.9446937860678846","1.5650050121517007","","","true","0.0625138037451984","true","3","30","","","","","","","","","","","false"
"27","C3","AA_0885","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","35.66994626776312","0.0","1.5650050121517007","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"28","C4","AA_0893","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"29","C5","AA_0893","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"30","C6","AA_0893","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"31","C7","AA_0901","","Unknown","FAM","UNKNOWN","FAM","None","Amp","29.1443381429902","29.69420289030568","0.9756477439926576","0.4765345576039638","","","true","0.0625138037451984","true","3","26","","","","","","","","","","","false"
"32","C8","AA_0901","","Unknown","FAM","UNKNOWN","FAM","None","Amp","29.95119775200323","29.69420289030568","0.9641391205492543","0.4765345576039638","","","true","0.0625138037451984","true","3","27","","","","","","","","","","","false"
"33","C9","AA_0901","","Unknown","FAM","UNKNOWN","FAM","None","Amp","29.987072775923615","29.69420289030568","0.9740130375988393","0.4765345576039638","","","true","0.0625138037451984","true","3","25","","","","","","","","","","","false"
"34","C10","AA_0909","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"35","C11","AA_0909","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"36","C12","AA_0909","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"37","D1","AA_0886","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"38","D2","AA_0886","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"39","D3","AA_0886","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
"40","D4","AA_0894","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.0625138037451984","true","3","39","","","","","","","","","","","false"
