# File Name: 3_AA_0915-0947.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 10:49:19 AM UTC
# Run End Date/Time: 2021-10-13 11:50:00 AM UTC
# Run Duration: 60 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 10:54:52 AM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 11:00:11 AM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","112573.44","24401.617","125786.7"
"2","A2","1","100945.64","22988.977","134030.08"
"3","A3","1","91391.66","23155.969","126067.11"
"4","A4","1","99382.26","23002.53","113749.914"
"5","A5","1","74903.47","20068.852","113756.78"
"6","A6","1","70537.05","19121.373","112838.77"
"7","A7","1","71809.64","20088.828","118598.77"
"8","A8","1","87301.64","23979.576","131199.06"
"9","A9","1","77612.86","21664.34","120237.2"
"10","A10","1","105714.27","20478.01","93957.55"
"11","A11","1","143333.83","26880.691","117884.99"
"12","A12","1","149706.84","30165.857","127076.375"
"13","B1","1","113973.99","26282.873","138836.4"
"14","B2","1","97368.79","24490.14","133414.02"
"15","B3","1","96131.75","24083.463","127711.52"
"16","B4","1","159842.66","27397.043","122188.56"
"17","B5","1","155059.19","26174.701","116049.31"
"18","B6","1","153125.25","25838.91","120203.414"
"19","B7","1","99777.66","23018.48","120692.99"
"20","B8","1","95524.46","22019.938","120033.234"
"21","B9","1","109564.08","23847.4","128585.805"
"22","B10","1","121087.46","23511.898","106817.48"
"23","B11","1","118729.26","22306.617","98613.266"
"24","B12","1","115624.22","24167.572","104877.32"
"25","C1","1","120158.836","27542.799","137056.03"
"26","C2","1","115778.23","28026.818","139112.5"
"27","C3","1","104366.65","25389.135","132372.0"
"28","C4","1","142367.38","26944.61","129100.46"
"29","C5","1","124020.086","24125.402","119595.266"
"30","C6","1","133272.8","25824.291","128829.73"
"31","C7","1","127054.734","26296.19","131367.36"
"32","C8","1","102467.65","26234.969","129718.83"
"33","C9","1","88841.03","23676.457","128508.22"
"34","C10","1","144336.45","27586.51","126252.5"
"35","C11","1","100877.875","20172.633","91391.55"
"36","C12","1","115193.195","22068.867","95772.914"
"37","D1","1","104142.64","25680.143","132773.9"
"38","D2","1","94331.72","25256.893","134158.36"
"39","D3","1","92766.99","24188.842","130282.664"
"40","D4","1","167732.83","28700.094","125507.59"
"41","D5","1","165227.33","27184.504","122424.695"
"42","D6","1","126647.836","20812.55","97129.734"
"43","D7","1","97222.03","24925.264","136101.9"
"44","D8","1","82281.03","22294.064","131408.9"
"45","D9","1","70363.3","19535.0","114127.08"
"46","D10","1","142176.52","25691.148","117047.96"
"47","D11","1","116873.08","22779.568","101847.42"
"48","D12","1","102724.62","20512.516","93483.555"
"49","E1","1","127146.38","26360.05","139574.45"
"50","E2","1","105761.945","25520.021","132676.8"
"51","E3","1","74795.46","18854.396","101825.24"
"52","E4","1","156766.27","27333.486","118954.05"
"53","E5","1","167088.89","26954.783","122695.06"
"54","E6","1","153182.11","24759.428","113399.96"
"55","E7","1","94670.086","25044.73","138567.9"
"56","E8","1","76964.586","20374.893","113172.73"
"57","E9","1","78151.61","20749.441","115349.95"
"58","E10","1","137316.89","26905.68","121194.63"
"59","E11","1","128129.16","24684.098","113406.68"
"60","E12","1","110098.48","23074.357","101764.47"
"61","F1","1","125510.3","27605.98","134364.05"
"62","F2","1","123237.91","27571.172","133068.25"
"63","F3","1","103762.47","21368.28","105401.68"
"64","F4","1","175783.64","27501.58","122091.89"
"65","F5","1","166851.33","26628.79","114934.48"
"66","F6","1","165925.98","24670.832","106119.63"
"67","F7","1","111059.89","27126.576","143050.7"
"68","F8","1","60955.758","17651.217","101685.055"
"69","F9","1","63346.36","17540.035","103264.63"
"70","F10","1","112117.266","21201.178","97595.82"
"71","F11","1","137630.56","25511.861","118431.82"
"72","F12","1","139234.42","26356.914","118372.72"
