# File Name: 3_AA_0915-0947.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-13 10:49:19 AM UTC
# Run End Date/Time: 2021-10-13 11:50:00 AM UTC
# Run Duration: 60 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-13 10:54:52 AM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-13 11:00:11 AM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"AA_0915","Unknown","3","-","0","34.40310313069306","0.08439475549779976","0.048725334804847344",
"AA_0916","Unknown","3","-","0","","","",
"AA_0917","Unknown","3","-","0","","","",
"AA_0918","Unknown","3","-","0","37.14848888856603","0.3942691439700734","0.2276313964042852",
"AA_0919","Unknown","3","-","0","","","",
"AA_0920","Unknown","3","-","0","","","",
"AA_0921","Unknown","3","-","0","","","",
"AA_0922","Unknown","3","-","0","36.24662269049761","0.27955306409616376","0.19767386732387496",
"AA_0923","Unknown","3","-","0","","","",
"AA_0924","Unknown","3","-","0","","","",
"AA_0925","Unknown","3","-","0","","","",
"AA_0926","Unknown","3","-","0","","","",
"AA_0927","Unknown","3","-","0","","","",
"AA_0928","Unknown","3","-","0","","","",
"AA_0929","Unknown","3","-","0","","","",
"AA_0930","Unknown","3","-","0","","","",
"AA_0931","Unknown","3","-","0","","","",
"AA_0932","Unknown","3","-","0","","","",
"AA_0933","Unknown","3","-","0","","","",
"AA_0934","Unknown","3","-","0","","","",
"AA_0935","Unknown","3","-","0","","","",
"AA_0936","Unknown","3","-","0","","","",
"AA_0937","Unknown","3","-","0","","","",
"AA_0938","Unknown","3","-","0","","","",
"AA_0939","Unknown","3","-","0","","","",
"AA_0940","Unknown","3","-","0","32.510233149345716","0.3336016740956929","0.19260501634125812",
"AA_0942","Unknown","3","-","0","31.54415918493846","0.26701515743877474","0.15416127302498692",
"AA_0943","Unknown","3","-","0","36.35057882931275","","",
"AA_0944","Unknown","3","-","0","32.93639603337679","0.2877618183093467","0.1661393632633975",
"AA_0945","Unknown","3","-","0","","","",
"AA_0946","Unknown","3","-","0","","","",
"AA_0947","Unknown","3","-","0","37.034414305047534","","",
