# File Name: Plate_4.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 12:05:36 PM UTC
# Run End Date/Time: 2021-05-27 01:06:15 PM UTC
# Run Duration: 60 minutes 39 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 12:45:44 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:47:56 PM UTC
"Well","Well Position","Cycle Number","X1_M1","X2_M2","X4_M4"
"1","A1","1","161731.08","29471.104","133986.83"
"2","A2","1","157079.75","29569.42","140478.73"
"3","A3","1","144093.73","28246.555","134000.95"
"4","A4","1","136603.75","24994.305","115784.984"
"5","A5","1","130128.1","26415.482","128648.43"
"6","A6","1","126332.09","24476.139","126266.41"
"7","A7","1","135377.89","23816.172","118742.29"
"8","A8","1","146017.58","26305.475","123013.32"
"9","A9","1","123989.61","23252.62","110729.2"
"10","A10","1","117144.04","21628.338","100395.5"
"11","A11","1","143364.36","26691.646","118968.31"
"12","A12","1","156328.2","30736.586","130354.99"
"13","B1","1","162997.3","30987.043","143546.64"
"14","B2","1","152530.1","28579.893","133626.61"
"15","B3","1","149036.06","27770.766","131328.66"
"16","B4","1","146884.67","26138.324","127335.6"
"17","B5","1","150315.5","26787.611","133215.31"
"18","B6","1","144532.02","26464.36","131108.28"
"19","B7","1","151792.5","26135.404","122380.22"
"20","B8","1","162342.05","27374.709","130915.02"
"21","B9","1","156561.77","26043.729","126298.57"
"22","B10","1","110571.99","20211.512","92772.48"
"23","B11","1","125129.06","19788.203","88164.67"
"24","B12","1","102510.195","20786.268","95813.42"
"25","C1","1","161945.64","29275.697","141328.83"
"26","C2","1","156543.4","30006.912","138061.73"
"27","C3","1","145063.75","27398.072","129418.1"
"28","C4","1","154915.1","27587.82","134760.64"
"29","C5","1","146643.17","25924.416","127534.6"
"30","C6","1","155496.58","28299.24","139877.1"
"31","C7","1","178239.22","30515.803","143025.72"
"32","C8","1","154939.38","26681.875","126876.805"
"33","C9","1","157211.8","28216.746","129375.93"
"34","C10","1","115928.63","21562.816","102711.09"
"35","C11","1","89888.03","16195.563","76334.125"
"36","C12","1","92561.39","18553.613","81893.24"
"37","D1","1","156259.78","30356.02","137706.8"
"38","D2","1","153267.31","28808.547","136883.19"
"39","D3","1","149377.8","27780.883","134881.19"
"40","D4","1","156919.88","27570.338","133258.33"
"41","D5","1","165615.2","29326.281","142839.34"
"42","D6","1","119717.04","20839.242","105115.086"
"43","D7","1","171874.83","29172.043","136966.95"
"44","D8","1","166309.14","27276.592","134458.92"
"45","D9","1","145466.5","24416.953","119531.516"
"46","D10","1","111454.305","20154.0","94017.72"
"47","D11","1","98777.73","18637.08","84714.54"
"48","D12","1","90346.63","17418.271","79894.68"
"49","E1","1","165415.66","30952.025","143026.05"
"50","E2","1","157215.42","29568.07","137434.11"
"51","E3","1","108437.29","20878.598","104957.055"
"52","E4","1","138814.55","25111.125","121449.664"
"53","E5","1","156951.08","27520.756","136774.77"
"54","E6","1","138707.02","24733.094","121767.055"
"55","E7","1","175223.5","29703.86","143584.84"
"56","E8","1","148474.33","24793.273","119714.98"
"57","E9","1","151995.17","26480.695","124144.97"
"58","E10","1","113899.4","20893.322","98091.76"
"59","E11","1","110614.6","20691.867","97524.79"
"60","E12","1","94952.3","19000.57","86331.71"
"61","F1","1","165511.61","31579.5","142064.34"
"62","F2","1","158327.8","29626.734","139194.3"
"63","F3","1","138495.23","24747.688","119221.766"
"64","F4","1","137189.17","24526.469","120720.88"
"65","F5","1","147697.25","26939.564","130635.016"
"66","F6","1","139032.34","24652.871","120465.71"
"67","F7","1","164016.77","28403.977","135477.17"
"68","F8","1","113500.65","19525.725","97421.35"
"69","F9","1","126109.12","21216.514","106876.664"
"70","F10","1","89388.76","16230.224","76726.69"
"71","F11","1","114608.69","20190.377","96169.195"
"72","F12","1","121996.95","22194.307","99534.516"
"73","G1","1","168466.34","32630.678","145813.02"
"74","G2","1","156806.9","29897.908","139770.6"
"75","G3","1","174453.83","32689.611","154757.62"
"76","G4","1","142726.11","26373.777","122353.27"
"77","G5","1","136653.38","24567.549","121111.83"
"78","G6","1","153360.9","27555.082","136692.11"
"79","G7","1","134230.52","23583.166","113261.61"
"80","G8","1","147283.73","26043.275","121150.984"
"81","G9","1","98950.36","17667.793","88598.94"
"82","G10","1","94448.734","17350.508","79605.51"
"83","G11","1","115425.45","20653.195","92857.125"
"84","G12","1","125226.88","21472.785","101304.92"
"85","H1","1","176282.81","34662.023","149369.56"
"86","H2","1","156245.47","30678.025","139650.38"
"87","H3","1","150701.95","28032.803","135294.84"
"88","H4","1","130359.04","25198.635","116028.805"
"89","H5","1","130123.1","24528.691","119185.414"
"90","H6","1","134202.23","24456.676","119375.7"
"91","H7","1","118695.836","21355.738","105078.92"
"92","H8","1","121405.42","22138.162","110816.46"
"93","H9","1","87287.67","15545.282","80885.336"
"94","H10","1","85655.27","15369.312","79827.22"
"95","H11","1","97129.77","17880.104","86412.94"
"96","H12","1","111257.19","17178.625","86581.375"
