# File Name: Plate_5.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 01:23:33 PM UTC
# Run End Date/Time: 2021-05-27 02:24:11 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 01:28:10 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:59:31 PM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"1.25x10_5 tyz","Standard Curve","3","125000.0","0","25.577601028369397","0.06478999039037779","0.03740651839267788",
"1.56x10_4 tyz","Standard Curve","3","15625.0","0","28.654650469270507","0.17004862560266856","0.09817761976702659",
"1.95x10_3 tyz","Standard Curve","3","1953.0","0","32.04907454518849","0.13997543030384496","0.08081485236585859",
"1x10_6 tyz","Standard Curve","3","1000000.0","0","22.49009770582688","0.07599123872425405","0.043873562133501194",
"2.44x10_2 tyz","Standard Curve","3","244.0","0","34.912086476128685","0.5306334318685343","0.30636135473031323",
"3x10_1 tyz","Standard Curve","3","30.0","0","37.71308903092524","0.1573174310441198","0.11124022229014419",
"8 tyz","Standard Curve","3","8.0","0","","","",
"AA_0683 R","Unknown","3","-","0","","","",
"AA_0685 R","Unknown","3","-","0","","","",
"AA_0693 R","Unknown","3","-","0","32.81189528859333","0.3424213362311273","0.19769705064931273",
"AA_0694 R","Unknown","3","-","0","","","",
"AA_0699 R","Unknown","3","-","0","","","",
"AA_0701 R","Unknown","3","-","0","","","",
"AA_0702 R","Unknown","3","-","0","","","",
"AA_0704 R","Unknown","3","-","0","","","",
"AA_0707 R","Unknown","3","-","0","","","",
"AA_0708 R","Unknown","3","-","0","","","",
"AA_0712 R","Unknown","3","-","0","","","",
"AA_0713 R","Unknown","3","-","0","","","",
"AA_0716 R","Unknown","3","-","0","","","",
"AA_0719 R","Unknown","3","-","0","","","",
"AA_0726 R","Unknown","3","-","0","37.96157892243179","","",
"AA_0730 R","Unknown","3","-","0","","","",
"AA_0731 R","Unknown","3","-","0","","","",
"AA_0732 R","Unknown","3","-","0","","","",
"AA_0733 R","Unknown","3","-","0","","","",
"AA_0736 R","Unknown","3","-","0","","","",
"AA_0744 R","Unknown","3","-","0","","","",
"AA_0788 R","Unknown","3","-","0","","","",
"AA_0828 R","Unknown","3","-","0","","","",
"AA_0830 R","Unknown","3","-","0","","","",
"NTC","NTC","3","-","0","","","",
