# File Name: Plate_5.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 01:23:33 PM UTC
# Run End Date/Time: 2021-05-27 02:24:11 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 01:28:10 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:59:31 PM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"1","A1","false","1x10_6 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.4137559816340275","","","22.528046379135745","0.979150226210326","22.49009770582688","0.07599123872425405","true","0.22755072871874776","true","3","18"
"2","A2","false","1x10_6 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.4204123203177272","","","22.539640461991475","0.9834879543693958","22.49009770582688","0.07599123872425405","true","0.22755072871874776","true","3","18"
"3","A3","false","1x10_6 tyz","Standard Curve","STANDARD","FAM","None","Amp","1.4247472197855022","","","22.402606276353417","0.9794277808903296","22.49009770582688","0.07599123872425405","true","0.22755072871874776","true","3","15"
"4","A4","false","AA_0788 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2650737904158618","true","3","39"
"5","A5","false","AA_0788 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2650737904158618","true","3","39"
"6","A6","false","AA_0788 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2650737904158618","true","3","39"
"7","A7","false","AA_0702 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2650737904158618","true","3","39"
"8","A8","false","AA_0702 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2650737904158618","true","3","39"
"9","A9","false","AA_0702 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.2650737904158618","true","3","39"
"10","A10","false","AA_0726 R","Unknown","UNKNOWN","FAM","None","Inconclusive","1.1238832671172474","","","37.96157892243179","0.9371647260900685","37.96157892243179","","true","0.2650737904158618","true","3","32"
