# File Name: Plate_5.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-05-27 01:23:33 PM UTC
# Run End Date/Time: 2021-05-27 02:24:11 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-05-27 01:28:10 PM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-05-27 02:59:31 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","1x10_6 tyz","1000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","22.528046379135745","22.49009770582688","0.979150226210326","0.07599123872425405","","","true","0.22755072871874776","true","3","18","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"2","A2","1x10_6 tyz","1000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","22.539640461991475","22.49009770582688","0.9834879543693958","0.07599123872425405","","","true","0.22755072871874776","true","3","18","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"3","A3","1x10_6 tyz","1000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","22.402606276353417","22.49009770582688","0.9794277808903296","0.07599123872425405","","","true","0.22755072871874776","true","3","15","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"4","A4","AA_0788 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"5","A5","AA_0788 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"6","A6","AA_0788 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"7","A7","AA_0702 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"8","A8","AA_0702 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"9","A9","AA_0702 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"10","A10","AA_0726 R","","Unknown","FAM","UNKNOWN","FAM","None","Inconclusive","37.96157892243179","37.96157892243179","0.9371647260900685","","","","true","0.2650737904158618","true","3","32","","","","","","","","","","","false"
"11","A11","AA_0726 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","37.96157892243179","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"12","A12","AA_0726 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","37.96157892243179","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"13","B1","1.25x10_5 tyz","125000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","25.52478936618502","25.577601028369397","0.9858798164519601","0.06478999039037779","","","true","0.22755072871874776","true","3","20","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"14","B2","1.25x10_5 tyz","125000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","25.558116347283914","25.577601028369397","0.9830650643846089","0.06478999039037779","","","true","0.22755072871874776","true","3","19","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"15","B3","1.25x10_5 tyz","125000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","25.649897371639256","25.577601028369397","0.9772439819771268","0.06478999039037779","","","true","0.22755072871874776","true","3","19","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"16","B4","AA_0828 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"17","B5","AA_0828 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"18","B6","AA_0828 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"19","B7","AA_0704 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"20","B8","AA_0704 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"21","B9","AA_0704 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"22","B10","AA_0730 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"23","B11","AA_0730 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"24","B12","AA_0730 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"25","C1","1.56x10_4 tyz","15625.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","28.580982681593404","28.654650469270507","0.9908738348900912","0.17004862560266856","","","true","0.22755072871874776","true","3","22","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"26","C2","1.56x10_4 tyz","15625.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","28.533857183145827","28.654650469270507","0.9876567678852556","0.17004862560266856","","","true","0.22755072871874776","true","3","23","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"27","C3","1.56x10_4 tyz","15625.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","28.84911154307229","28.654650469270507","0.9755488938034768","0.17004862560266856","","","true","0.22755072871874776","true","3","24","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
"28","C4","AA_0830 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"29","C5","AA_0830 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"30","C6","AA_0830 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"31","C7","AA_0707 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"32","C8","AA_0707 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"33","C9","AA_0707 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","34","","","","","","","","","","","false"
"34","C10","AA_0732 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"35","C11","AA_0732 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"36","C12","AA_0732 R","","Unknown","FAM","UNKNOWN","FAM","None","No Amp","Undetermined","","0.0","","","","true","0.2650737904158618","true","3","39","","","","","","","","","","","false"
"37","D1","1.95x10_3 tyz","1953.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","32.21069789763109","32.04907454518849","0.9888589655599045","0.13997543030384496","","","true","0.22755072871874776","true","3","28","","","","","43.0064","0.9975391910421612","-3.4107","96.42387395702269","0.26782591571677694","0.043739403376151745","false"
