# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Cycle Number","Target","Rn","dRn","Sample","Omit"
"1","A1","1","Standard Curve","0.08407589048147202","0.0","1x10_6 tyz","true"
"1","A1","2","Standard Curve","0.08435054123401642","0.0","1x10_6 tyz","true"
"1","A1","3","Standard Curve","0.08698654919862747","0.0","1x10_6 tyz","true"
"1","A1","4","Standard Curve","0.08726485073566437","0.0","1x10_6 tyz","true"
"1","A1","5","Standard Curve","0.08686604350805283","0.0","1x10_6 tyz","true"
"1","A1","6","Standard Curve","0.08661891520023346","0.0","1x10_6 tyz","true"
"1","A1","7","Standard Curve","0.08688098937273026","0.0","1x10_6 tyz","true"
"1","A1","8","Standard Curve","0.08665569871664047","0.0","1x10_6 tyz","true"
"1","A1","9","Standard Curve","0.08661694824695587","0.0","1x10_6 tyz","true"
"1","A1","10","Standard Curve","0.08775500953197479","0.0","1x10_6 tyz","true"
"1","A1","11","Standard Curve","0.08960378170013428","0.0","1x10_6 tyz","true"
"1","A1","12","Standard Curve","0.088414765894413","0.0","1x10_6 tyz","true"
"1","A1","13","Standard Curve","0.0888109803199768","0.0","1x10_6 tyz","true"
"1","A1","14","Standard Curve","0.09345219284296036","0.0","1x10_6 tyz","true"
"1","A1","15","Standard Curve","0.09154284000396729","0.0","1x10_6 tyz","true"
"1","A1","16","Standard Curve","0.0901690199971199","0.0","1x10_6 tyz","true"
"1","A1","17","Standard Curve","0.08945893496274948","0.0","1x10_6 tyz","true"
"1","A1","18","Standard Curve","0.09059087187051773","0.0","1x10_6 tyz","true"
"1","A1","19","Standard Curve","0.09630031138658524","0.0","1x10_6 tyz","true"
"1","A1","20","Standard Curve","0.0932239443063736","0.0","1x10_6 tyz","true"
"1","A1","21","Standard Curve","0.0875236913561821","0.0","1x10_6 tyz","true"
"1","A1","22","Standard Curve","0.08724091947078705","0.0","1x10_6 tyz","true"
"1","A1","23","Standard Curve","0.09209983795881271","0.0","1x10_6 tyz","true"
"1","A1","24","Standard Curve","0.09372448921203613","0.0","1x10_6 tyz","true"
"1","A1","25","Standard Curve","0.09590400755405426","0.0","1x10_6 tyz","true"
"1","A1","26","Standard Curve","0.09557916969060898","0.0","1x10_6 tyz","true"
"1","A1","27","Standard Curve","0.09344777464866638","0.0","1x10_6 tyz","true"
"1","A1","28","Standard Curve","0.09313976019620895","0.0","1x10_6 tyz","true"
"1","A1","29","Standard Curve","0.09783505648374557","0.0","1x10_6 tyz","true"
"1","A1","30","Standard Curve","0.10732781141996384","0.0","1x10_6 tyz","true"
"1","A1","31","Standard Curve","0.11218519508838654","0.0","1x10_6 tyz","true"
"1","A1","32","Standard Curve","0.11760295927524567","0.0","1x10_6 tyz","true"
"1","A1","33","Standard Curve","0.13393758237361908","0.0","1x10_6 tyz","true"
"1","A1","34","Standard Curve","0.15001101791858673","0.0","1x10_6 tyz","true"
"1","A1","35","Standard Curve","0.15621733665466309","0.0","1x10_6 tyz","true"
"1","A1","36","Standard Curve","0.1629844307899475","0.0","1x10_6 tyz","true"
"1","A1","37","Standard Curve","0.16673752665519714","0.0","1x10_6 tyz","true"
"1","A1","38","Standard Curve","0.17245306074619293","0.0","1x10_6 tyz","true"
"1","A1","39","Standard Curve","0.180173859000206","0.0","1x10_6 tyz","true"
"1","A1","40","Standard Curve","0.18316411972045898","0.0","1x10_6 tyz","true"
"2","A2","1","Standard Curve","0.03278425335884094","0.0","1x10_6 tyz","true"
"2","A2","2","Standard Curve","0.036172810941934586","0.0","1x10_6 tyz","true"
"2","A2","3","Standard Curve","0.03774135187268257","0.0","1x10_6 tyz","true"
"2","A2","4","Standard Curve","0.04068238288164139","0.0","1x10_6 tyz","true"
"2","A2","5","Standard Curve","0.042199671268463135","0.0","1x10_6 tyz","true"
"2","A2","6","Standard Curve","0.04254233464598656","0.0","1x10_6 tyz","true"
"2","A2","7","Standard Curve","0.04645311459898949","0.0","1x10_6 tyz","true"
"2","A2","8","Standard Curve","0.04950619861483574","0.0","1x10_6 tyz","true"
"2","A2","9","Standard Curve","0.05015789344906807","0.0","1x10_6 tyz","true"
"2","A2","10","Standard Curve","0.05310260131955147","0.0","1x10_6 tyz","true"
"2","A2","11","Standard Curve","0.053075455129146576","0.0","1x10_6 tyz","true"
"2","A2","12","Standard Curve","0.05338629335165024","0.0","1x10_6 tyz","true"
"2","A2","13","Standard Curve","0.05272958427667618","0.0","1x10_6 tyz","true"
"2","A2","14","Standard Curve","0.05282381549477577","0.0","1x10_6 tyz","true"
"2","A2","15","Standard Curve","0.0519421361386776","0.0","1x10_6 tyz","true"
"2","A2","16","Standard Curve","0.05131940171122551","0.0","1x10_6 tyz","true"
"2","A2","17","Standard Curve","0.05061592906713486","0.0","1x10_6 tyz","true"
"2","A2","18","Standard Curve","0.05265891179442406","0.0","1x10_6 tyz","true"
"2","A2","19","Standard Curve","0.0580894872546196","0.0","1x10_6 tyz","true"
"2","A2","20","Standard Curve","0.055867742747068405","0.0","1x10_6 tyz","true"
"2","A2","21","Standard Curve","0.04526963457465172","0.0","1x10_6 tyz","true"
"2","A2","22","Standard Curve","0.04331713169813156","0.0","1x10_6 tyz","true"
"2","A2","23","Standard Curve","0.04934658482670784","0.0","1x10_6 tyz","true"
"2","A2","24","Standard Curve","0.053046949207782745","0.0","1x10_6 tyz","true"
"2","A2","25","Standard Curve","0.0529741495847702","0.0","1x10_6 tyz","true"
"2","A2","26","Standard Curve","0.05269347503781319","0.0","1x10_6 tyz","true"
"2","A2","27","Standard Curve","0.05572833865880966","0.0","1x10_6 tyz","true"
"2","A2","28","Standard Curve","0.058181121945381165","0.0","1x10_6 tyz","true"
"2","A2","29","Standard Curve","0.06513654440641403","0.0","1x10_6 tyz","true"
"2","A2","30","Standard Curve","0.06806289404630661","0.0","1x10_6 tyz","true"
"2","A2","31","Standard Curve","0.07210659980773926","0.0","1x10_6 tyz","true"
"2","A2","32","Standard Curve","0.08413155376911163","0.0","1x10_6 tyz","true"
"2","A2","33","Standard Curve","0.0941266119480133","0.0","1x10_6 tyz","true"
"2","A2","34","Standard Curve","0.1040387749671936","0.0","1x10_6 tyz","true"
"2","A2","35","Standard Curve","0.11655676364898682","0.0","1x10_6 tyz","true"
"2","A2","36","Standard Curve","0.1252051144838333","0.0","1x10_6 tyz","true"
"2","A2","37","Standard Curve","0.1274920403957367","0.0","1x10_6 tyz","true"
"2","A2","38","Standard Curve","0.13512815535068512","0.0","1x10_6 tyz","true"
"2","A2","39","Standard Curve","0.1390366405248642","0.0","1x10_6 tyz","true"
"2","A2","40","Standard Curve","0.1455935537815094","0.0","1x10_6 tyz","true"
"3","A3","1","Standard Curve","0.007052931934595108","0.0","1x10_6 tyz","true"
"3","A3","2","Standard Curve","0.0070503391325473785","0.0","1x10_6 tyz","true"
"3","A3","3","Standard Curve","0.008991002105176449","0.0","1x10_6 tyz","true"
"3","A3","4","Standard Curve","0.009776031598448753","0.0","1x10_6 tyz","true"
"3","A3","5","Standard Curve","0.011718890629708767","0.0","1x10_6 tyz","true"
"3","A3","6","Standard Curve","0.01161580253392458","0.0","1x10_6 tyz","true"
"3","A3","7","Standard Curve","0.011181091889739037","0.0","1x10_6 tyz","true"
"3","A3","8","Standard Curve","0.011495175771415234","0.0","1x10_6 tyz","true"
"3","A3","9","Standard Curve","0.014880698174238205","0.0","1x10_6 tyz","true"
"3","A3","10","Standard Curve","0.01517468597739935","0.0","1x10_6 tyz","true"
"3","A3","11","Standard Curve","0.015157081186771393","0.0","1x10_6 tyz","true"
"3","A3","12","Standard Curve","0.014310230500996113","0.0","1x10_6 tyz","true"
"3","A3","13","Standard Curve","0.013314859941601753","0.0","1x10_6 tyz","true"
"3","A3","14","Standard Curve","0.01244781631976366","0.0","1x10_6 tyz","true"
"3","A3","15","Standard Curve","0.013508827425539494","0.0","1x10_6 tyz","true"
"3","A3","16","Standard Curve","0.019467679783701897","0.0","1x10_6 tyz","true"
"3","A3","17","Standard Curve","0.016474731266498566","0.0","1x10_6 tyz","true"
"3","A3","18","Standard Curve","0.015238829888403416","0.0","1x10_6 tyz","true"
"3","A3","19","Standard Curve","0.01738317869603634","0.0","1x10_6 tyz","true"
"3","A3","20","Standard Curve","0.016781441867351532","0.0","1x10_6 tyz","true"
"3","A3","21","Standard Curve","0.014642549678683281","0.0","1x10_6 tyz","true"
"3","A3","22","Standard Curve","0.013982873409986496","0.0","1x10_6 tyz","true"
"3","A3","23","Standard Curve","0.016249632462859154","0.0","1x10_6 tyz","true"
"3","A3","24","Standard Curve","0.019355408847332","0.0","1x10_6 tyz","true"
"3","A3","25","Standard Curve","0.020670657977461815","0.0","1x10_6 tyz","true"
"3","A3","26","Standard Curve","0.022361695766448975","0.0","1x10_6 tyz","true"
"3","A3","27","Standard Curve","0.02574923262000084","0.0","1x10_6 tyz","true"
"3","A3","28","Standard Curve","0.026566512882709503","0.0","1x10_6 tyz","true"
"3","A3","29","Standard Curve","0.017434174194931984","0.0","1x10_6 tyz","true"
"3","A3","30","Standard Curve","0.011196039617061615","0.0","1x10_6 tyz","true"
"3","A3","31","Standard Curve","0.004222531337291002","0.0","1x10_6 tyz","true"
"3","A3","32","Standard Curve","0.00395561009645462","0.0","1x10_6 tyz","true"
"3","A3","33","Standard Curve","0.011102383956313133","0.0","1x10_6 tyz","true"
"3","A3","34","Standard Curve","0.021555600687861443","0.0","1x10_6 tyz","true"
"3","A3","35","Standard Curve","0.031718816608190536","0.0","1x10_6 tyz","true"
"3","A3","36","Standard Curve","0.03790108859539032","0.0","1x10_6 tyz","true"
