# File Name: Plate_6.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-06-01 09:31:37 AM UTC
# Run End Date/Time: 2021-06-01 10:38:58 AM UTC
# Run Duration: 67 minutes 21 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Melt Stage Number: 3
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-06-01 10:39:54 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.1
# Plugin Name and Version: Primary Analysis v1.6.0, Standard Curve v1.5.1
# Exported By: guest
# Exported On: 2021-06-01 10:42:33 AM UTC
"Well","Well Position","Omit","Sample","Target","Task","Reporter","Quencher","Amp Status","Amp Score","Curve Quality","Result Quality Issues","Cq","Cq Confidence","Cq Mean","Cq SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End"
"4","A4","false","AA_0746 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"5","A5","false","AA_0746 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"6","A6","false","AA_0746 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"7","A7","false","AA_0766 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"8","A8","false","AA_0766 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"9","A9","false","AA_0766 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"10","A10","false","AA_0845 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"11","A11","false","AA_0845 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"12","A12","false","AA_0845 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"16","B4","false","AA_0750 R","Unknown","UNKNOWN","FAM","None","Amp","1.3609260637224805","","","32.28970091076961","0.9537028176662888","32.29373459408739","0.1636982051290715","true","0.09264752831052908","true","3","29"
"17","B5","false","AA_0750 R","Unknown","UNKNOWN","FAM","None","Amp","1.378778812640341","","","32.13209050756937","0.9495753563779337","32.29373459408739","0.1636982051290715","true","0.09264752831052908","true","3","28"
"18","B6","false","AA_0750 R","Unknown","UNKNOWN","FAM","None","Amp","1.3530113663356194","","","32.45941236392319","0.9836384608985835","32.29373459408739","0.1636982051290715","true","0.09264752831052908","true","3","28"
"19","B7","false","AA_0775 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"20","B8","false","AA_0775 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"21","B9","false","AA_0775 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
"22","B10","false","AA_0854 R","Unknown","UNKNOWN","FAM","None","No Amp","0.0","","","Undetermined","0.0","","","true","0.09264752831052908","true","3","39"
