Mouse_ID,Ct_1,Ct_2,Ct_mean,Oocyts_1,Oocyst_2,Oocyst_mean,Oocyst_calculated,Final_Oocyst_calculated
AA_0048,11.32,8.71,10.02,450000000,2290000000,1370000000,1103715503,1103715503
AA_0049,0,0,0,0,0,0,0,0
AA_0050,0,0,0,0,0,0,0,0
AA_0051,8,0,0,3590000000,0,0,0,0
AA_0052,6.57,0,0,8720000000,0,0,0,0
AA_0053,35.17,33.16,34.16,154,541,348,1973.504383,1974
AA_0054,8.96,0,0,1960000000,0,0,0,0
AA_0055,8.76,0,0,2230000000,0,0,0,0
AA_0056,24,36.79,30.39,165000,0,82400,15590.39587,15590
AA_0057,8.57,0,0,2500000000,0,0,0,0
AA_0058,9.24,0,0,1650000000,0,0,0,0
AA_0059,8.33,8.36,8.34,2920000000,2860000000,2890000000,2772407997,2772407997
AA_0060,7.27,0,0,5640000000,0,0,0,0
AA_0061,8.31,0,0,2940000000,0,0,0,0
AA_0062,6.21,0,0,10900000000,0,0,0,0
AA_0063,9.39,32.5,20.95,1500000000,813,752000000,2757250.286,2757250
AA_0065,5.95,0,0,12800000000,0,0,0,0
AA_0067,34.89,0,0,183,0,0,0,0
AA_0071,7.2,0,0,5910000000,0,0,0,0
AA_0072,9.03,0,0,1880000000,0,0,0,0
AA_0073,6.23,0,0,10800000000,0,0,0,0
AA_0074,7.59,0,0,4620000000,0,0,0,0
AA_0075,32.44,6.94,19.69,848,6950000000,3480000000,5501437.589,5501438
AA_0076,33.51,31.7,32.6,435,1345,890,0,0
AA_0077,8.36,8.99,8.68,2860000000,1920000000,2390000000,2300937181,2300937181
AA_0078,30.06,29.63,29.85,3735,4897,4316,20961.79992,20962
AA_0079,12.22,0,0,258000000,0,0,0,0
AA_0081,9.95,0,0,1060000000,0,0,0,0
AA_0082,8.78,0,0,2200000000,0,0,0,0
AA_0083,10.56,0,0,722000000,0,0,0,0
AA_0084,0,0,0,0,0,0,0,0
AA_0085,6.88,0,0,7190000000,0,0,0,0
AA_0086,8.93,0,0,2000000000,0,0,0,0
AA_0087,11.69,0,0,14600000000000,0,0,0,0
AA_0089,0,0,0,0,0,0,0,0
AA_0090,10.25,0,0,634000000000000,0,0,0,0
AA_0091,0,0,0,0,0,0,0,0
AA_0092,12.83,0,0,740000000000,0,0,0,0
AA_0093,11.42,0,0,29400000000000,0,0,0,0
AA_0094,10.81,0,0,146000000000000,0,0,0,0
AA_0095,11.96,0,0,7160000000000,0,0,0,0
AA_0096,39.73,0,0,2.35E+19,0,0,0,0
AA_0097,0,0,0,0,0,0,0,0
AA_0098,8.79,0,0,2.84E+16,0,0,0,0
AA_0099,33.56,31.6,32.58,2.29E-12,3.89E-10,1.95E-10,4692.762459,4693
AA_0101,29.3,30.09,29.7,0.000000158,1.97E-08,8.90E-08,22758.45926,22758
AA_0102,0,0,0,0,0,0,0,0
AA_0103,10.73,0,0,180000000000000,0,0,0,0
AA_0104,9.1,0,0,1.26E+16,0,0,0,0
AA_0105,3.05,0,0,9.25E+22,0,0,0,0
AA_0106,33.23,18.34,25.78,5.51E-12,4.24E+05,2.12E+05,195198.3717,195198
AA_0107,0,0,0,0,0,0,0,0
AA_0108,9.25,36.88,23.06,8.66E+15,4.00E-16,4.33E+15,867152.016,867152
AA_0109,8.45,7.9,8.18,6.85E+16,2.92E+17,1.80E+17,3026581555,3026581555
AA_0110,37.41,7.05,22.23,1.00E-16,2.68E+18,1.34E+18,1366829.318,1366829
AA_0111,8.42,35.76,22.09,7.41E+16,7.38E-15,3.71E+16,1475868.349,1475868
AA_0112,17.36,38.1,27.73,5500000,1.65E-17,2.75E+06,67017.8477,67018
AA_0113,13.17,0,0,308000000000,0,0,0,0
AA_0114,35.31,10.11,22.71,2.39E-14,9.15E+14,4.57E+14,1050578.652,1050579
AA_0115,12.31,0,0,2900000000000,0,0,0,0
AA_0117,22.05,0,0,25.9,0,0,0,0
AA_0118,33.71,32.66,33.18,1.56E-12,2.45E-11,1.30E-11,3377.313909,3377
AA_0119,29.83,29.74,29.78,3.96E-08,4.97E-08,4.46E-08,21781.87383,21782
AA_0120,11.02,38.91,24.96,8.50E+13,1.97E-18,4.25E+13,305994.9687,305995
AA_0121,32.64,29.57,31.11,2.54E-11,7.70E-08,3.85E-08,10505.78652,10506
AA_0122,0,0,0,0,0,0,0,0
AA_0123,8.7,39.65,24.18,3.61E+16,2.83E-19,1.80E+16,469276.2459,469276
AA_0124,0,0,0,0,0,0,0,0
AA_0125,9.39,0,0,5.92E+15,0,0,0,0
AA_0126,0,0,0,0,0,0,0,0
AA_0127,10.75,0,0,1.70E+14,0,0,0,0
