Mouse_ID,qPCR_Date,Tested_by,Machine,Measurements,Ct_1_Ep,Ct_2_Ep,Ct_3_Ep,Ct_4_Ep,Ct_5_Ep,Ct_6_Ep,Flag_Ct_1_Ep,Flag_Ct_2_Ep,Flag_Ct_3_Ep,Flag_Ct_4_Ep,Flag_Ct_5_Ep,Flag_Ct_6_Ep,Consistent_Ct_Ep,Corrected_Ct_Ep,Ct_mean_Ep,Ct_mean_ABI,Ct_mean,Ct_mean_1_ABI,Ct_mean_2_ABI,Ct_mean_3_ABI,Ct_1_ABI,Ct_2_ABI,Ct_3_ABI,Ct_4_ABI,Ct_5_ABI,Ct_6_ABI,Ct_7_ABI,Ct_8_ABI,Ct_9_ABI
AA_0681,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,38.17,0,NA,NA,NA
AA_0682,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0686,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0687,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0695,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0696,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0700,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,36.77,0,NA,NA,NA
AA_0704,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AA_0709,5/27/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0715,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0718,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0720,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0722,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0725,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0735,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0740,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0741,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0743,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0745,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0761,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0764,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0765,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0768,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0769,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0770,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
AA_0772,3/8/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,37.95971846,0,0,0,0,NA,NA,NA
AA_0774,3/9/2021,Tes-Tes,7300_RealTimePCR + Quantstudio1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,0,0,0,0,0,0,NA,NA,NA
