"","Mouse_ID","Tested_by","Machine","Measurements","Ct_mean","Ct_mean_Ep","Ct_mean_ABI","Oocyst_Predict","ILWE_DNA_Content_ng.microliter","ILWE_DNA_used_up","HI","Code","Transect","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","State","Arrival","Wean","Death","DaysInLab","Spleen","Lepid","Uterus","Ovaria","Grav","Litters","NN","Protocol","Aspiculuris_tetraptera","Syphacia_obvelata","Zfy2","Y","Mix_Syphacia_Aspiculuris","Worms_presence","Heligmosomoides_polygurus","SRY1","Hymenolepis","Taenia","Aspiculuris_Syphacia","Trichuris","Heterakis","Mastophorus","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","delta_ct_ilwe_MminusE","delta_ct_cewe_MminusE","n18S_Seq","COI_Seq","ORF470_Seq","eimeriaSpecies","Region","Sperm","Body_Weight","Body_Length","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Tail_Length"
"1","AA_0047",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.65,"HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","100/120","90/100","80","dm","dd","dm","dm","dm","mm",14,"DE",NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,0,NA,NA,NA,0,0,4,0,0,0,"Alice","April2018",14,17,18,16,NA,NA,NA,NA,16.25,0.1,1625000,4,-6.64,-9.3,"negative","negative","negative","Negative",NA,NA,18.3,78,NA,NA,1,NA,0.077,0.076,83
"2","AA_0048","YVT-Tes","Eppendorf + Quantstudio1",2,0,10.015,0,0,NA,NA,0.72,"HOPPE1","HZ_BR","F",13.676085,52.497666,2016,"d",NA,"mm","mm","mm","mm","mm","mm","100","95/100","100","100","90/100","80","mm","dm","dd","dd","dm","mm",13,"DE",NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0,NA,NA,NA,0,0,1,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-10.2533333333,-9.5633333333,"negative","negative","negative","Negative",NA,NA,19.825,88,NA,NA,1,NA,NA,NA,92
"3","AA_0049","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.85,"HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","100","95/100","100/125","120","90","80","mm","dm","dm","mm","mm","mm",14,"DE",NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,0,NA,NA,NA,0,0,4,0,3,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-10.5766666667,-10.4533333333,"negative","negative","negative","Negative",NA,NA,18.53,83,NA,NA,1,NA,0.096,0.049,79
"4","AA_0050","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.7,"HOPPE1","HZ_BR","M",13.676085,52.497666,2016,"d","m","m","m","m","m","m","m","94/100","100","100/125","120","90/100","80","dm","dd","dm","mm","dm","mm",14,"DE",NA,NA,NA,NA,29,NA,NA,NA,NA,NA,NA,NA,0,15,NA,NA,0,NA,NA,NA,0,0,15,0,0,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,-11.0466666667,-10.22,"negative","negative","negative","Negative",NA,NA,17.634,82,NA,NA,1,NA,0.073,0.074,78
"5","AA_0051","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.76,"ZINND","HZ_BR","F",13.9289,52.5028,2016,"d",NA,"mm","mm","mm","dd","mm","mm","100","95","100/125","120","100","80","mm","mm","dm","mm","dd","mm",13,"DE",NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,0,8,NA,NA,0,NA,NA,NA,0,0,8,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-9.56,-9.6133333333,"negative","negative","negative","Negative",NA,NA,14.226,76,NA,NA,1,NA,NA,NA,69
"6","AA_0052","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.5789474,"ZINND","HZ_BR","M",13.9289,52.5028,2016,"d","m",NA,"m","d","d","d","m","100","95","100/125","120","70/100","100","mm","mm","dm","mm","dm","dd",13,"DE",NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,0,4,NA,NA,0,NA,NA,NA,0,0,4,0,0,0,"Alice","April2018",1,1,3,2,0,3,0,1,1.375,0.1,137500,8,-9.9466666667,-10.19,"negative","negative","negative","Negative",NA,NA,17.039,83,NA,19,1,87,0.054,0.052,79
"7","AA_0053","YVT","Eppendorf",1,34.16,34.16,NA,385,NA,NA,0.6086957,"ZINND","HZ_BR","F",13.9289,52.5028,2016,"d",NA,"mm","mm","dd","dd","mm",NA,"100","100","100/125","120","70/100","80","mm","dd","dm","mm","dm","mm",12,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,338,NA,NA,NA,0,1,338,0,12,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.7433333333,-0.27,"Tissue","Tissue","Tissue","E_ferrisi",NA,NA,20.184,85,NA,NA,1,NA,NA,NA,78
"8","AA_0054","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0.7083333,"ZINND","HZ_BR","F",13.9289,52.5028,2016,NA,NA,"mm","mm","dd","dd","mm","mm","100","95","100","120","70/100","80","mm","mm","dd","mm","dm","mm",12,"DE",NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,0,26,NA,NA,0,NA,NA,NA,0,0,26,0,8,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,-1.5566666667,-7.1366666667,"positive","positive","negative","E_vermiformis",NA,NA,13.833,69,NA,NA,1,NA,NA,NA,72
"9","AA_0055","YVT","Eppendorf",1,0,0,NA,0,NA,NA,0,"FALK8C","HZ_BR","M",13.3064,52.91,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,"DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,-8.6033333333,-9.0233333333,"negative","negative","negative","Negative",NA,NA,15.181,80,NA,22,1,105,0.058,0.062,89
"10","AA_0056","YVT","Eppendorf",1,30.395,30.395,NA,4952,NA,NA,0.08,"FALK8C","HZ_BR","F",13.3064,52.91,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","90","100","dd","dd","dd","dd","mm","dd",13,"DE",NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,0,8,NA,NA,0,NA,NA,NA,0,0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.0766666667,-9.2466666667,"negative","negative","negative","Negative",NA,NA,8.751,62,NA,NA,NA,NA,NA,NA,80
