# Experiment File Name : Plate_5.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-05-27 04:43:54 PM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.179","-0.001","false","1.0","132652.72",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.184","0.002","false","2.0","132724.5",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.189","0.005","false","3.0","132825.39",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.183","-0.003","false","4.0","133157.7",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.184","-0.004","false","5.0","133001.1",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.19","-0.001","false","6.0","132976.86",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.19","-0.002","false","7.0","133338.67",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.198","0.003","false","8.0","133596.16",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.199","0.002","false","9.0","133698.02",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.201","0.003","false","10.0","133236.06",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.203","0.002","false","11.0","133125.19",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.202","-0.001","false","12.0","133378.5",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.207","0.002","false","13.0","133313.55",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.208","0.001","false","14.0","133039.98",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.206","-0.003","false","15.0","133020.25",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.206","-0.006","false","16.0","133423.34",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.214","0.001","false","17.0","133678.55",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.218","0.003","false","18.0","133606.14",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.229","0.011","false","19.0","133441.58",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.257","0.038","false","20.0","133301.9",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.301","0.079","false","21.0","133129.27",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.387","0.163","false","22.0","133104.61",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.523","0.297","false","23.0","133413.44",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","1.728","0.5","false","24.0","133694.25",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","2.005","0.775","false","25.0","133709.78",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","2.348","1.116","false","26.0","133245.89",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","2.709","1.475","false","27.0","133039.52",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","3.072","1.836","false","28.0","132892.83",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","3.429","2.191","false","29.0","132896.36",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","3.763","2.523","false","30.0","133179.39",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","4.066","2.824","false","31.0","133230.03",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","4.341","3.097","false","32.0","133360.31",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","4.582","3.336","false","33.0","133325.3",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","4.786","3.537","false","34.0","133282.17",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","4.966","3.715","false","35.0","133247.72",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","5.095","3.842","false","36.0","133325.75",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","5.205","3.95","false","37.0","133147.8",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","5.307","4.05","false","38.0","133102.9",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","5.368","4.109","false","39.0","133324.45",
"Plate_5.eds","","A1","Standard Curve","1x10_6 tyz","5.41","4.149","false","40.0","133312.27",
"Plate_5.eds","","A2","Standard Curve","1x10_6 tyz","1.108","0.004","false","1.0","143181.2",
"Plate_5.eds","","A2","Standard Curve","1x10_6 tyz","1.109","0.002","false","2.0","143268.89",
"Plate_5.eds","","A2","Standard Curve","1x10_6 tyz","1.109","0.0","false","3.0","143471.89",
"Plate_5.eds","","A2","Standard Curve","1x10_6 tyz","1.107","-0.004","false","4.0","144018.1",
"Plate_5.eds","","A2","Standard Curve","1x10_6 tyz","1.115","0.003","false","5.0","144066.97",
"Plate_5.eds","","A2","Standard Curve","1x10_6 tyz","1.118","0.004","false","6.0","144044.06",
