Over_Locus,Over_Locus,"tyz 
Locus Direction","par
Locus Direction","tyz 
Gene ID","tyz 
CDS ID","par 
Gene ID","par 
CDS ID"," tyz 
Chr"," par 
Chr","tyz 
Min position in Chr","tyz
Max position in Chr","par
Min position in Chr","par
Max position in Chr","tyz
Exons","par
Exons","tyz
 Gene Length (nt)","tyz
 CDS Length (nt)","par
 Gene Length (nt)","par
 CDS Length (nt)","Length
Consensus
Sequence",Identical Sites (nt),Pairwise Identity (nt) %,"SNPs Outside ORF 
(Intron SNPs)",SNPs in ORF (nt),Synonymous SNPs (nt),Non- Synonymous SNPs (nt),Indel distorts ORF TRUE,Indels in ORF Sum (nt),Indels outside ORF sum (nt),Insertions in ORF (nt),Insertion in ORF Sum (nt),Deletions in ORF (nt),Deletions in ORF Sum (nt),Insertions outside ORF (nt),Insertions outside ORF Sum (nt),Deletions outside ORF (nt),Deletions outside ORF sum (nt),NNNNN (unknown nt),# aa amplified,Identical Sites with parvum (aa),Pairwise Identity (nt) %,aa inserted sum,aa deleted sum,aa inserted,aa deleted,aa changes sum,X = aa exchanges,B = D/N exchange,J = I/L exchange,Z = E/Q exchange,"??? 
(unknown aa)"
Actin,Actin 1,Fwd,Rev,CTYZ_00004034,TRY49615.1,CPATCC_002443,QOY41841.1,0.03,5,102195,103325,974968,973828,1,1,1131,1131,1131,1131,1131,1119,98.9%,0,12,10,2,,0,0,0,0,0,0,0,0,0,0,0,376,374,99.5%,0,0,0,0,2,1,0,1,0,0
Actin,Actin 2,Fwd,Rev,CTYZ_00003679,TRY53238.1,CPATCC_000329,QOY43535.1,1,1,231500,233214,640964,639765,1,1,1715,1201,1200,1200,1201,1182,98.4%,0,18,15,3,,1,0,0,0,1 x 1,1,0,0,0,0,0,399,396,99.2%,0,0,0,0,3,3,0,0,0,0
Actin,Actin 3,Fwd,Fwd,CTYZ_00003222,TRY51749.1,CPATCC_002055,QOY41493.1,5,5,162292,163548,167791,163548,1,1,1257,1257,1257,1257,1257,1250,99.4%,0,7,4,3,,0,0,0,0,0,0,0,0,0,0,0,418,415,99.3%,0,0,0,0,3,2,1,0,0,0
Actin,Actin 4,Rev,Rev,CTYZ_00003405,TRY51539.1,CPATCC_002246,QOY41666.1,5,5,515210,516397,523759,524946,1,1,1188,1188,1188,1188,1188,1174,98.8%,0,14,13,1,,0,0,0,0,0,0,0,0,0,0,0,395,394,99.7%,0,0,0,0,1,1,0,0,0,0
Actin,Actin 5,Fwd,Fwd,CTYZ_00000116,TRY50009.1,CPATCC_003911,QOY39857.1,8,8,268513,269682,281359,269682,1,1,1170,1170,1170,1170,1170,1159,99.1%,0,11,5,6,,0,0,0,0,0,0,0,0,0,0,0,389,383,98.5%,0,0,0,0,6,5,1,0,0,0
Actin,Actin 6,Fwd,Fwd,CTYZ_00000239,TRY50230.1,CPATCC_004044,QOY39977.1,8,8,566567,567838,580460,581731,1,1,1272,1272,1272,1272,1272,1248,98.1%,0,24,20,4,,0,0,0,0,0,0,0,0,0,0,0,423,419,99.1%,0,0,0,0,4,4,0,0,0,0
COWP,COWP 3,Rev,Rev,CTYZ_00001833,TRY52169.1,CPATCC_001548,QOY41956.1,4,4,185204,188017,178379,182147,1,2,2814,2814,3769,2817,2817,2766,98.2%,0,48,29,19,,3,0,0,0,1 x 3,3,0,0,0,0,0,938,918,97.9%,0,1,0,1 x 1,20,18,0,1,0,0
COWP,COWP 4,Fwd,Fwd,CTYZ_00000367,TRY49793.1,CPATCC_004178,QOY40099.1,8,8,835071,837731,851711,853731,1,1,2661,2661,2664,2664,2664,2615,98.2%,0,46,24,22,,3,0,0,0,1 x 3,3,0,0,0,0,0,887,864,97.4%,0,1,0,1 x 1,23,21,1,0,0,0
COWP,COWP 6,Fwd,Rev,CTYZ_00002073,TRY51937.1,CPATCC_001735,QOY42130.1,4,4,700999,702615,618362,616746,1,1,1617,1617,1617,1617,1617,1585,98.0%,0,32,25,7,,0,0,0,0,0,0,0,0,0,0,0,538,531,98.7%,0,0,0,0,7,7,0,0,0,0
COWP,COWP 7,Fwd,Fwd,CTYZ_00001816,TRY51894.1,CPATCC_001529,QOY41939.1,4,4,135406,138557,129443,132596,9,9,3152,3152,3154,3154,3158,3100,98.2%,0,48,38,10,,0,10,0,0,0,0,"1 x 1
1 x 3",4,"1 x 3
1 x 1
1 x 2",6,0,840,805,95.8%,0,25,0,1 x 25,35,8,1,1,0,0
COWP,COWP 8,Rev,,CTYZ_00001196,TRY51096.1,CPATCC_002515,QOY40900.1,6,6,42873,43642,50275,51648,1,1,770,672,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
COWP,COWP 9,,,,,,,6,6,,51648,50275,51648,1,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
CP47,CP47,Fwd,Fwd,CTYZ_00001339,TRY51276.1,CPATCC_002680,QOY41038.1,6,6,360077,363649,369383,372913,1,1,3573,3573,3531,3531,3573,3458,96.8%,0,73,43,30,,42,0,"1 x 24
1 x 18",42,0,0,0,0,0,0,0,1190,1146,96.3%,14,0,"1 x 1
1 x 13",0,44,26,3,1,0,0
CP56,CP56,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
gp40,gp40,Rev,Rev,CTYZ_00001283,TRY50836.1,CPATCC_002619,QOY40985.1,6,6,254902,255906,254902,255906,1,1,1005,1005,981,981,1008,790,78.4%,0,188,97,91,,30,0,"1 x 3
1 x 21
1 x 2
1 x 1",27,1 x 3,3,0,0,0,0,0,335,234,69.9%,9,1,"2 x 1
1 x 7",1 x 1,101,85,2,0,4,0
GST,GST 1,Fwd,Fwd,CTYZ_00001095,TRY50269.1,CPATCC_003696,QOY40804.1,7,7,1078525,1079135,1072490,1073493,2,4,611,611,1004,905,1006,986,98.0%,0,20,13,7,,0,0,0,0,0,0,0,0,0,0,0,185,178,96.2%,0,0,0,0,7,7,0,0,0,0
GST,GST 2,Fwd,Fwd,CTYZ_00000322,TRY49858.1,CPATCC_004127,QOY40056.1,8,8,757431,758720,771404,772693,1,1,1290,1290,1290,1290,1290,1265,98.1%,0,25,15,10,,0,0,0,0,0,0,0,0,0,0,0,429,419,97.7%,0,0,0,0,10,10,0,0,0,0
GST,GST 3,Fwd,Rev,CTYZ_00002625,TRY52903.1,CPATCC_000537,QOY42855.1,2,2,825208,826375,149860,150666,1,1,1168,807,807,807,807,782,96.9%,0,25,12,13,,0,0,0,0,0,0,0,0,0,0,0,268,255,95.1%,0,0,0,0,13,12,0,1,0,0
Hsp90,Hsp90 1,Fwd,Fwd,CTYZ_00003102,TRY52403.1,CPATCC_001401,QOY42729.1,3,3,930134,932233,943171,945270,1,1,2100,2100,2100,2100,2100,2079,99.0%,0,21,20,1,,0,0,0,0,0,0,0,0,0,0,0,699,698,99.9%,0,0,0,0,1,1,0,0,0,0
Hsp90,Hsp90 2,Fwd,Fwd,CTYZ_00000973,TRY50665.1,CPATCC_003572,QOY40687.1,7,7,822752,825115,816540,818903,1,1,2364,2364,2364,2364,2364,2320,98.1%,0,44,32,12,,0,0,0,0,0,0,0,0,0,0,0,787,775,98.5%,0,0,0,0,12,12,0,0,0,0
MEDLE,MEDLE 1,Fwd,,CTYZ_00002702,TRY52803.1,,,2,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
MEDLE,MEDLE 2,Rev,Fwd,CTYZ_00002702,TRY52803.1,CPATCC_001987,QOY41434.1,5,5,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
MSC6-7,MSC6-7,Rev,Rev,CTYZ_00001179,TRY50827.1,CPATCC_002499,QOY40884.1,6,6,5130,5660,12247,12825,1,1,531,531,579,579,585,487,83.2%,0,38,8,30,,60,0,0,6,0,54,0,0,0,0,0,194,144,74.2%,2,18,1 x 2,"1 x 3
1 x 15",50,30,0,0,0,0
Mucin-1,Mucin-1,Rev,Rev,CTYZ_00001745,TRY51251.1,CPATCC_003131,QOY41425.1,6,6,1269434,1271289,1280432,1282435,1,1,1856,1856,2004,2004,2051,1683,82.1%,0,126,31,95,,242,0,"1 x 3
1 x 44",47,"2 x 3
1 x 189",195,0,0,0,0,57,631,440,69.7%,1,95,1 x 1,"2 x 1 
1 x 63
1 x 12
1 x 18",191,70,2,4,0,19
SKSR,SKSR 1,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
SKSR,SKSR 2,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
SKSR,SKSR 3,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
SKSR,SKSR 4,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
SKSR,SKSR 5,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
SKSR,SKSR 6,Rev,Fwd,CTYZ_00001847,TRY51940.1,CPATCC_001982,QOY42344.1,4,4,219093,221722,1102168,1099352,1,1,2630,876,2817,2817,877,838,95.6%,0,39,39,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
SKSR,SKSR 7,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
SKSR,SKSR 8,,,,,,,,,,,,,,,,,,,,,#DIV/0!,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,,#DIV/0!,0,0,0,0,0,0,0,0,0,0
