# Experiment File Name : Plate_5.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-05-27 04:43:54 PM
# Instrument Type : QuantStudio 1 System

"Well","Sample Name","Target Name","Amp Score","Amp Status","Task","Cq","Cq Mean","Cq Standard Deviation","Quantity","Quantity Mean","Quantity Standard Deviation","Intercept","R-Squared","Slope","Efficiency","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Omit","Custom_1",
"A1","1x10_6 tyz","Standard Curve","1.414","Amp","STANDARD","22.528","22.49","0.076","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","18.0","false","",
"A2","1x10_6 tyz","Standard Curve","1.42","Amp","STANDARD","22.540","22.49","0.076","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","18.0","false","",
"A3","1x10_6 tyz","Standard Curve","1.425","Amp","STANDARD","22.403","22.49","0.076","1000000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","15.0","false","",
"A4","AA_0788 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"A5","AA_0788 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"A6","AA_0788 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"A7","AA_0702 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"A8","AA_0702 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"A9","AA_0702 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"A10","AA_0726 R","Unknown","1.124","Inconclusive","UNKNOWN","38.000","38.0","-","-","-","-","-","-","-","-","true","0.265","true","3.0","32.0","false","",
"A11","AA_0726 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","38.0","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"A12","AA_0726 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","38.0","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B1","1.25x10_5 tyz","Standard Curve","1.401","Amp","STANDARD","25.525","25.578","0.065","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","20.0","false","",
"B2","1.25x10_5 tyz","Standard Curve","1.43","Amp","STANDARD","25.558","25.578","0.065","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","19.0","false","",
"B3","1.25x10_5 tyz","Standard Curve","1.43","Amp","STANDARD","25.650","25.578","0.065","125000.0","-","-","42.4147","0.9911","-3.345","99.0461","true","0.228","true","3.0","19.0","false","",
"B4","AA_0828 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B5","AA_0828 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B6","AA_0828 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B7","AA_0704 R","Unknown","0.337","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
"B8","AA_0704 R","Unknown","0.0","No Amp","UNKNOWN","Undetermined","-","-","-","-","-","-","-","-","-","true","0.265","true","3.0","39.0","false","",
