# Experiment File Name : Plate2_NQ.eds
# Created By :tlobnow@googlemail.com
# Last Modified Date : 2021-03-09 12:29:31 PM
# Instrument Type : QuantStudio 1 System

"Experiment Name","Barcode","Well","Target Name","Sample Name","Rn","dRn","Omit","Cycle Number","Passive Ref",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.54","0.006","false","1.0","113626.8",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.537","0.004","false","2.0","114072.63",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.534","0.001","false","3.0","114661.65",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.538","0.006","false","4.0","114686.62",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.537","0.005","false","5.0","114770.04",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.535","0.003","false","6.0","114870.74",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.529","-0.002","false","7.0","115324.586",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.53","-0.001","false","8.0","115391.86",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.518","-0.012","false","9.0","115627.75",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.517","-0.013","false","10.0","115626.36",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.524","-0.006","false","11.0","115678.15",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.53","0.001","false","12.0","115462.016",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.535","0.006","false","13.0","115360.805",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.531","0.002","false","14.0","115713.86",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.531","0.003","false","15.0","116016.62",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.532","0.005","false","16.0","116004.74",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.539","0.011","false","17.0","115970.02",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.558","0.031","false","18.0","115695.18",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.583","0.056","false","19.0","115517.14",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.634","0.107","false","20.0","115562.27",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.721","0.196","false","21.0","115588.586",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","1.875","0.349","false","22.0","115531.36",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","2.12","0.594","false","23.0","115498.92",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","2.458","0.933","false","24.0","115887.125",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","2.874","1.349","false","25.0","115956.39",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","3.339","1.815","false","26.0","115933.09",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","3.814","2.29","false","27.0","116084.766",
"Plate2_NQ.eds","","A1","Standard Curve","10_7","4.272","2.748","false","28.0","116239.14",
