# File Name: Trouble-Shooting.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-10-10 11:07:18 AM UTC
# Run End Date/Time: 2021-10-10 12:07:55 PM UTC
# Run Duration: 60 minutes 37 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-10-14 09:25:54 PM UTC
# Software Name and Version: Design & Analysis Software v2.6.1
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported By: guest
# Exported On: 2021-10-14 09:26:20 PM UTC
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"1","A1","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.888656913408497","18.433055722759406","0.8213893017853792","0.6659640379450639","","","true","0.10575605042467189","true","3","15","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"2","A2","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","18.741751880589483","18.433055722759406","0.8115873345933022","0.6659640379450639","","","true","0.10575605042467189","true","3","15","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"3","A3","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","17.668758374280237","18.433055722759406","0.7865397794815049","0.6659640379450639","","","true","0.10575605042467189","true","3","12","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"4","A4","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","18.433055722759406","0.0","0.6659640379450639","","","true","0.10575605042467189","true","3","39","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"5","A5","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","18.433055722759406","0.0","0.6659640379450639","","","true","0.10575605042467189","true","3","39","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"6","A6","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","18.433055722759406","0.0","0.6659640379450639","","","true","0.10575605042467189","true","3","39","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"7","A7","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","18.433055722759406","0.0","0.6659640379450639","","","true","0.10575605042467189","true","3","39","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"8","A8","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","18.433055722759406","0.0","0.6659640379450639","","","true","0.10575605042467189","true","3","39","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"9","A9","5x10_6","5000000.0","Standard Curve","FAM","STANDARD","FAM","None","No Amp","Undetermined","18.433055722759406","0.0","0.6659640379450639","","","true","0.10575605042467189","true","3","39","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
"13","B1","625.000","625000.0","Standard Curve","FAM","STANDARD","FAM","None","Amp","22.857896773020187","21.615055968713175","0.901106562821538","1.4557486579520458","","","true","0.10575605042467189","true","3","19","","","","","42.5813","0.9476936734424629","-3.5855","90.06597888983288","1.5015682211990768","0.20429762315360192","false"
