# File Name: Plate 3 NQ.eds
# Comment: 
# Operator: DEFAULT
# Barcode: 
# Instrument Type: QuantStudio™ 1 System
# Block Type: 96-Well 0.2-mL Block
# Instrument Name: 2721220100840
# Instrument Serial Number: 2721220100840
# Heated Cover Serial Number: 
# Block Serial Number: 
# Run Start Date/Time: 2021-03-10 11:25:49 AM UTC
# Run End Date/Time: 2021-03-10 12:27:38 PM UTC
# Run Duration: 61 minutes 49 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-03-14 09:34:19 AM UTC
# Software Name and Version: Design & Analysis Software v2.5.0
# Plugin Name and Version: Primary Analysis v1.5.0, Standard Curve v1.5.0
# Exported By: guest
# Exported On: 2021-03-14 09:34:53 AM UTC
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"10_1","Standard Curve","3","10.0","0","36.42484911434218","2.5237304864792494","1.4570764757308599",
"10_2","Standard Curve","3","100.0","0","26.363852045521543","0.02955005011599221","0.017060729389035037",
"10_3","Standard Curve","3","1000.0","0","25.026336812735412","0.16873780471458477","0.09742081697443203",
"10_4","Standard Curve","3","10000.0","0","23.948431026576795","0.0922163568384951","0.05324113844439174",
"10_5","Standard Curve","3","100000.0","0","23.341231481294432","0.10377516368154495","0.059914618686737454",
"10_6","Standard Curve","3","1000000.0","0","22.21537765291933","0.12454829953139608","0.07190799426156168",
"10_7","Standard Curve","3","1.0E7","0","22.177042642285937","0.043960718243178945","0.02538073251146866",
"AA_0711","Unknown","3","-","0","","","",
"AA_0714","Unknown","3","-","0","37.10906937293589","0.3657761882334805","0.2586428230964611",
"AA_0723","Unknown","3","-","0","","","",
"AA_0724","Unknown","3","-","0","","","",
"AA_0727","Unknown","3","-","0","","","",
"AA_0729","Unknown","3","-","0","","","",
"AA_0734","Unknown","1","-","0","","","",
"AA_0738","Unknown","3","-","0","","","",
"AA_0742","Unknown","1","-","0","","","",
"AA_0747","Unknown","3","-","0","","","",
"AA_0757","Unknown","3","-","0","","","",
"AA_0760","Unknown","3","-","0","","","",
"AA_0763","Unknown","3","-","0","","","",
"AA_0780","Unknown","3","-","0","","","",
"AA_0793","Unknown","3","-","0","29.44924938191819","0.43459738513437807","0.25091491729644066",
"AA_0794","Unknown","3","-","0","31.167558213115758","0.3733163033769159","0.2155342682475384",
"AA_0799","Unknown","3","-","0","","","",
"AA_0811","Unknown","3","-","0","","","",
"AA_0837","Unknown","3","-","0","","","",
"AA_0849","Unknown","3","-","0","","","",
"AA_0852","Unknown","3","-","0","","","",
"AA_0855","Unknown","3","-","0","","","",
"AA_0856","Unknown","1","-","0","","","",
"AA_0857","Unknown","3","-","0","","","",
"NTC","NTC","3","-","0","","","",
